    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0224027572624326e-01
     1.00     0.014    8.8399884639754386e-02    1.3258395256247002e-02
     2.00     0.023    4.2966150596882573e-02    1.4143792375289621e-03
     3.00     0.035    4.0155456409097852e-02    2.6413701282179715e-03
     4.00     0.049    3.7161343711257372e-02    7.2683258625971803e-04
     5.00     0.060    3.5348749188442052e-02    4.2715798829817686e-04
     6.00     0.072    3.3791467915360751e-02    2.4910362447516654e-04
     7.00     0.081    3.2360174370797731e-02    4.2098812069246705e-04
     8.00     0.096    3.0771332490772591e-02    2.4939002825963286e-04
     9.00     0.108    2.9428542261502065e-02    3.4590904881248719e-04
    10.00     0.120    2.7935970739792738e-02    4.3865061059733534e-04
    11.00     0.130    2.6483854332323441e-02    2.8166267844476067e-04
    12.00     0.140    2.5109596991087911e-02    2.5661261905796096e-04
    13.00     0.155    2.3866802321844661e-02    2.3173616590455026e-04
    14.00     0.166    2.2721337553336822e-02    2.1227920866095928e-04
    15.00     0.181    2.1665668837556180e-02    2.6739998317992786e-04
    16.00     0.191    2.0643705138948802e-02    2.1573843969413531e-04
    17.00     0.200    1.9707994995671219e-02    2.9062239330457373e-04
    18.00     0.214    1.8848860365343289e-02    2.8300892503985153e-04
    19.00     0.223    1.8067056584119716e-02    2.3368381340738154e-04
    20.00     0.237    1.7378152049227418e-02    2.9176431141131332e-04
    21.00     0.248    1.6745109756380164e-02    2.8588205241497633e-04
    22.00     0.259    1.6151347716598138e-02    2.9593004345862539e-04
    23.00     0.274    1.5589069185266036e-02    2.6946979622266554e-04
    24.00     0.283    1.5048511723148972e-02    2.6228518694004777e-04
    25.00     0.297    1.4533985199219692e-02    2.3732932029219000e-04
    26.00     0.307    1.4049706458707935e-02    2.6150109315992154e-04
    27.00     0.316    1.3600883035941433e-02    2.2597929921985838e-04
    28.00     0.331    1.3208260707555545e-02    2.0714480772277000e-04
    29.00     0.341    1.2873774022178952e-02    1.9340955720714703e-04
    30.00     0.352    1.2597186754673750e-02    1.6815295318295398e-04
    31.00     0.363    1.2373092950158791e-02    1.3263501945004474e-04
    32.00     0.374    1.2180610802693628e-02    1.2995384115363495e-04
    33.00     0.389    1.2015616060698406e-02    1.2298694675016986e-04
    34.00     0.398    1.1877555843502505e-02    1.2292391119400614e-04
    35.00     0.410    1.1747157285389493e-02    1.2282415723813278e-04
    36.00     0.420    1.1628705071779979e-02    1.1380338449917815e-04
    37.00     0.429    1.1532330218367391e-02    1.1109059169367441e-04
    38.00     0.444    1.1441121052223417e-02    1.0741123905466665e-04
    39.00     0.453    1.1355443600722622e-02    1.0308277250947739e-04
    40.00     0.463    1.1275267472588503e-02    9.7648075420675440e-05
    41.00     0.477    1.1200535660440620e-02    9.1247622432177877e-05
    42.00     0.486    1.1131229530739686e-02    8.4803529117216669e-05
    43.00     0.501    1.1067123475662950e-02    8.1117123281293502e-05
    44.00     0.511    1.1008184834249209e-02    7.7322004687907508e-05
    45.00     0.526    1.0954922197891652e-02    7.6195577620286059e-05
    46.00     0.537    1.0907474260487699e-02    6.9993717483951556e-05
    47.00     0.547    1.0863920771998025e-02    6.5883137275291048e-05
    48.00     0.561    1.0823593497791648e-02    6.6751994486913269e-05
    49.00     0.571    1.0785947177275365e-02    6.0842568795349550e-05
    50.00     0.586    1.0750600792483208e-02    6.1386744073188559e-05
    51.00     0.596    1.0717329244514944e-02    5.8113601996145903e-05
    52.00     0.608    1.0685941082452074e-02    5.5159584189001798e-05
    53.00     0.618    1.0656198717719237e-02    5.2853621435255960e-05
    54.00     0.628    1.0627949546798366e-02    4.9818569551773884e-05
    55.00     0.643    1.0601047113321896e-02    4.7491042432235009e-05
    56.00     0.653    1.0575373170080945e-02    5.0349717979514264e-05
    57.00     0.664    1.0551116172968545e-02    4.6217617661381549e-05
    58.00     0.675    1.0528142827669161e-02    4.5052745350271373e-05
    59.00     0.685    1.0506293637646092e-02    4.3284819707944955e-05
    60.00     0.699    1.0485397766262115e-02    4.0868886214281974e-05
    61.00     0.708    1.0468395889814561e-02    4.0463047868311008e-05
    62.00     0.718    1.0454858898619950e-02    4.2333217625367681e-05
    63.00     0.730    1.0442676336960360e-02    4.2148395257957105e-05
    64.00     0.740    1.0431472264329094e-02    4.2167114807201145e-05
    65.00     0.754    1.0421045561834586e-02    4.1302600300552328e-05
    66.00     0.764    1.0411227362452369e-02    4.0007087031002087e-05
    67.00     0.773    1.0401935407296043e-02    3.8956423417890740e-05
    68.00     0.788    1.0393113345452993e-02    3.7520430618886991e-05
    69.00     0.798    1.0384722962894846e-02    3.6196283165756959e-05
    70.00     0.811    1.0376720469236381e-02    3.4488217003025845e-05
    71.00     0.820    1.0369075598403832e-02    3.3177757152835774e-05
    72.00     0.830    1.0361744678015834e-02    3.2216034412835270e-05
    73.00     0.844    1.0354716183251303e-02    3.0903275820115539e-05
    74.00     0.854    1.0347967357402562e-02    2.9483851627265523e-05
    75.00     0.870    1.0341469655494309e-02    2.8310527708519384e-05
    76.00     0.879    1.0335721378160245e-02    2.7442846685321598e-05
    77.00     0.888    1.0330308168370137e-02    2.6294955125905073e-05
    78.00     0.903    1.0325123718857623e-02    2.5458060824157247e-05
    79.00     0.912    1.0320139280595747e-02    2.4378698603888527e-05
    80.00     0.923    1.0315339899700907e-02    2.3384531131209751e-05
    81.00     0.934    1.0310707716900031e-02    2.2666392297532312e-05
    82.00     0.944    1.0306221112361647e-02    2.2217219329156990e-05
    83.00     0.958    1.0301876925858223e-02    2.1969126141385686e-05
    84.00     0.967    1.0297665753415154e-02    2.1797507571363894e-05
    85.00     0.976    1.0293585256870104e-02    2.1546406349770564e-05
    86.00     0.990    1.0289608516402621e-02    2.1203450829787585e-05
    87.00     0.999    1.0285731846948072e-02    2.0826287735253857e-05
    88.00     1.012    1.0281947854715782e-02    2.0450892765921935e-05
    89.00     1.022    1.0278245341353884e-02    2.0161155267928166e-05
    90.00     1.031    1.0275017189602097e-02    1.8879363308244024e-05
    91.00     1.046    1.0272122674288040e-02    1.7668798489189896e-05
    92.00     1.054    1.0269654125463375e-02    1.6651704104475584e-05
    93.00     1.064    1.0267317784924512e-02    1.6162392811658322e-05
    94.00     1.077    1.0265086492259830e-02    1.6013101311607159e-05
    95.00     1.086    1.0262937480137929e-02    1.5679052318695597e-05
    96.00     1.101    1.0260856757152456e-02    1.5350792652135681e-05
    97.00     1.111    1.0258831547871879e-02    1.5295927790148767e-05
    98.00     1.126    1.0256852551010795e-02    1.5096934150804486e-05
    99.00     1.137    1.0254916263826807e-02    1.4904166816265274e-05
   100.00     1.147    1.0253020377318062e-02    1.4842799295422537e-05
   101.00     1.161    1.0251159725489265e-02    1.4694786290014861e-05
   102.00     1.170    1.0249328527801541e-02    1.4565224041085401e-05
   103.00     1.182    1.0247522952598506e-02    1.4360220685460945e-05
   104.00     1.192    1.0245739942055271e-02    1.4292867962950595e-05
   105.00     1.203    1.0243978592741048e-02    1.4206294123297880e-05
   106.00     1.217    1.0242237043624189e-02    1.4119645875609876e-05
   107.00     1.227    1.0240513387108432e-02    1.3985411156269834e-05
   108.00     1.243    1.0238805673467660e-02    1.3948287277187887e-05
   109.00     1.254    1.0237113082459443e-02    1.3891357625084311e-05
   110.00     1.263    1.0235435083170083e-02    1.3840495251216112e-05
   111.00     1.277    1.0233770673351072e-02    1.3771767047643380e-05
   112.00     1.286    1.0232120212825463e-02    1.3673077013720558e-05
   113.00     1.300    1.0230482010225431e-02    1.3602053391181812e-05
   114.00     1.309    1.0228855543885250e-02    1.3582956093216580e-05
   115.00     1.318    1.0227240538367398e-02    1.3541090650548426e-05
   116.00     1.333    1.0225636565515723e-02    1.3454187987704813e-05
   117.00     1.342    1.0224042881876051e-02    1.3408161487760140e-05
   118.00     1.356    1.0222459510946160e-02    1.3374354448814074e-05
   119.00     1.367    1.0220886169206142e-02    1.3318664478845221e-05
   120.00     1.377    1.0219322247403092e-02    1.3278192039223313e-05
   121.00     1.391    1.0217767658557603e-02    1.3232473762059271e-05
   122.00     1.400    1.0216222333549962e-02    1.3224297607195012e-05
   123.00     1.412    1.0214686056745789e-02    1.3162682494183287e-05
   124.00     1.421    1.0213158519771299e-02    1.3103452912943681e-05
   125.00     1.430    1.0211639610155700e-02    1.3095443852861877e-05
   126.00     1.445    1.0210129248637016e-02    1.3033941877793609e-05
   127.00     1.454    1.0208627327476450e-02    1.2986505568690632e-05
   128.00     1.464    1.0207133361431558e-02    1.2953137103366430e-05
   129.00     1.480    1.0205647207876690e-02    1.2934302494826966e-05
   130.00     1.491    1.0204168985122837e-02    1.2899784058717501e-05
   131.00     1.511    1.0202698387947410e-02    1.2869205551879759e-05
   132.00     1.528    1.0201249443625129e-02    1.2849671213288616e-05
   133.00     1.545    1.0199952039682074e-02    1.2680768056938518e-05
   134.00     1.565    1.0198690575892337e-02    1.2397200336522474e-05
   135.00     1.581    1.0197462837295336e-02    1.2027470326358980e-05
   136.00     1.598    1.0196267258088362e-02    1.1739820200418194e-05
   137.00     1.617    1.0195102179103889e-02    1.1463714580273177e-05
   138.00     1.629    1.0193966662804062e-02    1.1378138914164282e-05
   139.00     1.643    1.0192858231496566e-02    1.1150210873278610e-05
   140.00     1.654    1.0191776284297648e-02    1.1242459470928168e-05
   141.00     1.667    1.0190719319926872e-02    1.1002781765245828e-05
   142.00     1.680    1.0189686939157951e-02    1.1118899029272100e-05
   143.00     1.689    1.0188677689011348e-02    1.0951699700445516e-05
   144.00     1.703    1.0187690555241968e-02    1.0694006610467710e-05
   145.00     1.713    1.0186725262458339e-02    1.0925411823237141e-05
   146.00     1.722    1.0185780746511826e-02    1.0466402657005602e-05
   147.00     1.736    1.0184856898876982e-02    1.0646740778885722e-05
   148.00     1.746    1.0183952660983559e-02    1.0382358932470304e-05
   149.00     1.761    1.0183067533616370e-02    1.0230697238045039e-05
   150.00     1.772    1.0182200795574452e-02    1.0522314446981262e-05
   151.00     1.783    1.0181352593931037e-02    1.0098675887970643e-05
   152.00     1.797    1.0180522065737484e-02    9.8790689669892018e-06
   153.00     1.806    1.0179708006601403e-02    1.0066024634713955e-05
   154.00     1.820    1.0178910501762636e-02    9.9271724292027130e-06
   155.00     1.830    1.0178128936647095e-02    9.8530837764343460e-06
   156.00     1.839    1.0177362972615824e-02    9.6630833850142039e-06
   157.00     1.854    1.0176611982695196e-02    9.6231877241281794e-06
   158.00     1.863    1.0175875643402789e-02    9.4375809176483472e-06
   159.00     1.876    1.0175153741483048e-02    9.4972791145897517e-06
   160.00     1.887    1.0174446000515048e-02    9.3439348924917454e-06
   161.00     1.896    1.0173751551835879e-02    9.1665526046336154e-06
