    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0224027572624326e-01
     1.00     0.017    1.6566017336746133e-02    3.8669716177591740e-04
     2.00     0.026    1.4104823017821981e-02    5.8265879458737485e-04
     3.00     0.039    1.3069350592541426e-02    4.7983672537579641e-04
     4.00     0.049    1.2574938557443620e-02    7.6877117329061939e-04
     5.00     0.059    1.2099952611679746e-02    1.9489010120897921e-04
     6.00     0.075    1.2056600876935025e-02    1.0529146979334318e-03
     7.00     0.085    1.1792219069748524e-02    6.3696390965667718e-04
     8.00     0.102    1.1583194169027191e-02    2.0654609587202944e-04
     9.00     0.114    1.1520637635672662e-02    4.8845611257065610e-04
    10.00     0.132    1.1496780626303290e-02    5.7269275516189447e-04
    11.00     0.143    1.1404497443618194e-02    3.9907450021040361e-04
    12.00     0.154    1.1333629784745699e-02    3.0038152997957819e-04
    13.00     0.165    1.1314460247574506e-02    2.9208208024979893e-04
    14.00     0.175    1.1264402757917520e-02    3.6947278188193791e-04
    15.00     0.192    1.1287065860417857e-02    6.6817729220137231e-04
    16.00     0.202    1.1238466258821944e-02    5.3853924691921618e-04
    17.00     0.218    1.1231697987839712e-02    6.1492948204755309e-04
    18.00     0.230    1.1168695457276501e-02    1.8161938885393283e-04
    19.00     0.244    1.1194866077021096e-02    4.9815192450919019e-04
    20.00     0.255    1.1174830232947418e-02    6.1108076859542337e-04
    21.00     0.266    1.1125395612988817e-02    4.4630386390550952e-04
    22.00     0.277    1.1097143991167419e-02    1.7788890256452178e-04
    23.00     0.291    1.1113570213539245e-02    4.1262423639821556e-04
    24.00     0.307    1.1101679011851587e-02    5.2127666226692163e-04
    25.00     0.317    1.1066579092613330e-02    1.8323566194207344e-04
    26.00     0.333    1.1061313029580022e-02    3.2211738756763404e-04
    27.00     0.344    1.1050426735859807e-02    1.8018899201189636e-04
    28.00     0.359    1.1061058725094185e-02    4.0691800010644354e-04
    29.00     0.370    1.1047552238262343e-02    3.7199084356108166e-04
    30.00     0.380    1.1025393776611592e-02    3.0392008441061603e-04
    31.00     0.395    1.1017198192451517e-02    3.1093467698480363e-04
    32.00     0.405    1.1008561892764300e-02    2.2301855644921934e-04
    33.00     0.421    1.0999948500467807e-02    2.0714958343960761e-04
    34.00     0.432    1.0999461329065589e-02    2.3049051631434379e-04
    35.00     0.449    1.1003273994280575e-02    4.5179442601904376e-04
    36.00     0.460    1.1018304917691023e-02    4.4596137756071569e-04
    37.00     0.471    1.0978130078823024e-02    2.3189689716117921e-04
    38.00     0.485    1.0975841464490979e-02    2.7851201072822459e-04
    39.00     0.495    1.0970052837795423e-02    2.6430999765729110e-04
    40.00     0.511    1.0959562090819103e-02    1.9978947833958335e-04
    41.00     0.521    1.0954035809778107e-02    1.9312880776884556e-04
    42.00     0.536    1.0955392643360585e-02    2.1589602342474363e-04
    43.00     0.549    1.0992869822289794e-02    4.8999682883757792e-04
    44.00     0.561    1.0943131985774955e-02    1.9881948864006063e-04
    45.00     0.577    1.0968460766410230e-02    4.0227804417634211e-04
    46.00     0.589    1.0941780727981913e-02    2.7664636594647697e-04
    47.00     0.602    1.0937645580603143e-02    2.4350214358186822e-04
    48.00     0.613    1.0933797443904531e-02    3.1738819541262558e-04
