    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0224027572624326e-01
     2.00     1.966    1.3385518775073499e-01    4.7921394986962795e-02
     3.00     2.366    5.0990727247703156e-02    1.6666321300612630e-02
     4.00     2.858    2.4368450372067335e-02    5.9592997730391062e-03
     5.00     3.423    1.5194453331557053e-02    2.1111681000514082e-03
     6.00     4.012    1.1917119432636009e-02    7.2779581526027926e-04
     7.00     4.652    1.0634452431625739e-02    2.3538225612895758e-04
     8.00     5.421    1.0238403218143826e-02    9.8725557574397271e-05
     9.00     6.119    1.0153597550276193e-02    3.1111984704068618e-05
    10.00     6.694    1.0144388266240688e-02    3.6690987705867428e-06
    11.00     6.998    1.0144272865128281e-02    4.1200674871788578e-08
    12.00     7.057    1.0144272844532266e-02    9.7736929660641181e-11
