    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0224027572624326e-01
     2.00     0.058    4.1002884681059526e-01    1.3084197119203039e-01
     3.00     0.089    2.2831842562114299e-01    6.0354501405164185e-02
     4.00     0.118    1.3655195202927153e-01    2.7983179515334466e-02
     5.00     0.149    7.0986498556148594e-02    9.8528026812623182e-03
     6.00     0.180    3.1354049088844649e-02    4.3598173768657489e-03
     7.00     0.212    1.7321204407090684e-02    1.8366420166033848e-03
     8.00     0.246    1.2417516349418893e-02    6.3475479468166895e-04
     9.00     0.293    1.0561750983021393e-02    2.0947043418662048e-04
    10.00     0.334    1.0203686010012432e-02    6.2643698379383217e-05
    11.00     0.388    1.0146636546269600e-02    1.6287098151712698e-05
    12.00     0.436    1.0144278387710617e-02    8.5617958067718547e-07
    13.00     0.502    1.0144272844652618e-02    1.9987567156931618e-09
    14.00     0.765    1.0144272844531394e-02    1.2256862191861728e-13
