    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8298395896736979e-01
     1.00     0.306    2.6382423670134675e-01    6.4073322130611565e-02
     2.00     0.607    9.5365187853799160e-02    3.4913354151631104e-03
     3.00     0.887    7.9483546663497426e-02    2.8789723830291436e-03
     4.00     1.172    5.5463403864025283e-02    2.0116739242652670e-03
     5.00     1.436    4.7019789532841860e-02    2.0987564195360520e-03
     6.00     1.675    3.2655384338863509e-02    2.5795367763592481e-04
     7.00     1.896    2.7880122707442303e-02    1.2770473242831315e-03
     8.00     2.116    2.1960257235121464e-02    6.2195741744375255e-04
     9.00     2.334    1.9222790022669144e-02    1.2903041378073965e-03
    10.00     2.553    1.6353961646819792e-02    4.6677922125049065e-04
    11.00     2.778    1.5281430314548882e-02    9.0319312624487225e-05
    12.00     3.004    1.4588944834323493e-02    2.8145520414302183e-04
    13.00     3.234    1.4043861363242378e-02    6.9432995471352399e-05
    14.00     3.462    1.3677550771321045e-02    1.9414782017546095e-04
    15.00     3.690    1.3395808249621614e-02    7.5320419099078606e-05
    16.00     3.909    1.3177951784522074e-02    1.0873321404059055e-04
    17.00     4.124    1.3011095354732397e-02    1.8619771169881005e-04
    18.00     4.340    1.2869350015343360e-02    4.4991970170826789e-05
    19.00     4.558    1.2766534592554628e-02    4.0610296051735162e-05
    20.00     4.777    1.2687489490294589e-02    7.6372390684475988e-05
    21.00     5.074    1.2623490455677126e-02    4.8958335299165157e-05
    22.00     5.377    1.2572797781310633e-02    2.9068791408848327e-05
    23.00     5.696    1.2532283180789786e-02    2.4109438022446028e-05
    24.00     5.994    1.2498499096946163e-02    3.8548132535121127e-05
    25.00     6.291    1.2469232797130995e-02    2.2094856903187576e-05
    26.00     6.601    1.2444599664517638e-02    6.4107061128026999e-05
    27.00     7.082    1.2422070060531752e-02    3.9330132342918489e-05
    28.00     7.543    1.2401918872947833e-02    2.1215415228148515e-05
    29.00     8.001    1.2383742829638569e-02    2.6888972730620964e-05
    30.00    10.057    1.2366973532108347e-02    2.0839112313653096e-05
    31.00    11.298    1.2351466526925380e-02    1.5830799790450545e-05
    32.00    12.118    1.2337018251045079e-02    3.1078535577030997e-05
    33.00    12.743    1.2325402928367887e-02    1.5029712347569557e-05
    34.00    13.397    1.2315945626503750e-02    1.7989582834943008e-05
    35.00    14.052    1.2306998122669447e-02    2.2529544027705128e-05
    36.00    14.682    1.2298452673323697e-02    1.4799827163791690e-05
    37.00    15.309    1.2290323132231842e-02    1.3553572827618154e-05
    38.00    15.759    1.2282554948649101e-02    1.8046187326703489e-05
    39.00    16.205    1.2275118625702047e-02    1.3918566011739131e-05
    40.00    16.674    1.2268013991285921e-02    1.7430838436638396e-05
    41.00    17.125    1.2261161304518252e-02    1.6982338854720780e-05
    42.00    17.590    1.2254600592091257e-02    1.6088699005933904e-05
    43.00    18.054    1.2248262601637460e-02    1.3884596360203005e-05
    44.00    18.511    1.2242172164513050e-02    1.3874722647688742e-05
    45.00    18.886    1.2236341351745920e-02    2.0753633194203758e-05
    46.00    19.240    1.2230623611242272e-02    1.4558386081997554e-05
    47.00    19.592    1.2225149124078717e-02    1.9672642744605895e-05
    48.00    19.963    1.2219839766205677e-02    1.7895515270538453e-05
    49.00    20.321    1.2214729325320322e-02    2.7327472973848188e-05
    50.00    20.675    1.2209681323673716e-02    1.1464923783677250e-05
    51.00    21.042    1.2205057485629211e-02    1.2707650615340071e-05
    52.00    21.416    1.2200660542572982e-02    1.0203891661397790e-05
    53.00    21.780    1.2196394046015142e-02    8.4701008375986930e-06
    54.00    22.134    1.2192248878181334e-02    1.0757586480947268e-05
    55.00    22.430    1.2188213108755955e-02    1.1063740033678826e-05
    56.00    22.720    1.2184287832202965e-02    1.5090979036624930e-05
    57.00    23.015    1.2180445399139851e-02    1.3405420836942739e-05
    58.00    23.312    1.2176734498028531e-02    1.5402621575288933e-05
    59.00    23.607    1.2173201677699539e-02    1.0970270358123813e-05
    60.00    23.902    1.2169760455709123e-02    7.8655684596640185e-06
    61.00    24.158    1.2166401426996275e-02    8.1182090738707302e-06
    62.00    24.408    1.2163212252527783e-02    7.5622925059803947e-06
    63.00    24.658    1.2160096079538905e-02    8.7524549914341776e-06
    64.00    24.909    1.2157095676260414e-02    1.3060937543940554e-05
    65.00    25.168    1.2154228711999285e-02    9.9915539522044128e-06
    66.00    25.431    1.2151428990304353e-02    7.0838427617125888e-06
    67.00    25.682    1.2148692543199391e-02    8.1930586226519608e-06
    68.00    25.899    1.2146017945347412e-02    1.0403442036732713e-05
    69.00    26.118    1.2143390805053368e-02    9.6650288199384704e-06
    70.00    26.346    1.2140815198772661e-02    9.2634014166037559e-06
    71.00    26.564    1.2138287047368135e-02    6.7412529318744419e-06
    72.00    26.783    1.2135811225668494e-02    6.5204635433246949e-06
    73.00    27.002    1.2133382657319967e-02    7.8051799334843963e-06
    74.00    27.219    1.2130994509598158e-02    6.8345562175137209e-06
    75.00    27.444    1.2128649828497921e-02    7.1181461815464364e-06
    76.00    27.663    1.2126659300202848e-02    1.2803196661970162e-05
    77.00    27.886    1.2124887810357022e-02    6.1950440706226573e-06
    78.00    28.104    1.2123155450876820e-02    5.9935384761899968e-06
    79.00    28.329    1.2121449381797461e-02    6.0093230427327171e-06
    80.00    28.546    1.2119768836275668e-02    6.2392522597320976e-06
    81.00    28.766    1.2118113492198350e-02    5.9077975098631441e-06
    82.00    28.986    1.2116482590819220e-02    7.4763535860000729e-06
    83.00    29.212    1.2114873423174187e-02    7.2206614849523731e-06
    84.00    29.439    1.2113288588926678e-02    8.8701491300913204e-06
    85.00    29.661    1.2111721539247635e-02    7.3755759337768012e-06
    86.00    29.880    1.2110177557957128e-02    5.9402924286189318e-06
    87.00    30.104    1.2108654773719861e-02    6.7406924237900512e-06
    88.00    30.325    1.2107148173108796e-02    5.9953161279935330e-06
    89.00    30.551    1.2105664153063437e-02    7.9764337286292175e-06
    90.00    30.770    1.2104196138124338e-02    6.6619593055428084e-06
    91.00    30.999    1.2102747098499836e-02    6.0096449896462900e-06
    92.00    31.226    1.2101316462424112e-02    5.2317558143499809e-06
    93.00    31.464    1.2099902016163630e-02    5.5566516312666181e-06
    94.00    31.682    1.2098504639743955e-02    5.4330714185368834e-06
    95.00    31.900    1.2097123295329984e-02    5.6385371376421745e-06
    96.00    32.117    1.2095758388353856e-02    6.8604461627153057e-06
    97.00    32.336    1.2094408454255313e-02    7.1225659229456895e-06
