    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8298395896736979e-01
     1.00     0.311    2.3131202825872617e-02    1.8910604852702129e-03
     2.00     0.625    1.6930783122285676e-02    5.2425337624839585e-04
     3.00     0.935    1.6703460149331020e-02    1.9159704328219895e-03
     4.00     1.246    1.6312102081495035e-02    2.0866550219980073e-03
     5.00     1.565    1.4155366241940099e-02    1.0154282871424058e-03
     6.00     1.903    1.5779361319449400e-02    2.2546383812054316e-03
     7.00     2.229    1.3084533163445853e-02    1.1707519198906891e-03
     8.00     2.547    1.2893540681008120e-02    8.7889751968184271e-04
     9.00     2.860    1.6836531437102974e-02    6.2605753681472809e-03
    10.00     3.156    1.2573461647842286e-02    8.1813578829414979e-05
    11.00     3.417    1.4898601549900525e-02    2.2615828124459281e-03
    12.00     3.687    1.2539543632638810e-02    2.1590099155988085e-04
    13.00     3.951    1.2920956590826727e-02    1.6275825775902142e-03
    14.00     4.214    1.2554176930511876e-02    6.4927364104683249e-04
    15.00     4.476    1.2595699644854389e-02    7.8613965115148510e-04
    16.00     4.762    1.2997621736926751e-02    1.3988763514241054e-03
    17.00     5.027    1.2549476149475627e-02    8.2424515484724736e-04
    18.00     5.306    1.2484936150865811e-02    7.6788971691654773e-04
    19.00     5.564    1.3420754455603633e-02    1.7306896975373132e-03
    20.00     5.821    1.3480932192605898e-02    1.8305416066788371e-03
    21.00     6.080    1.3134082615871061e-02    1.6158949593415572e-03
    22.00     6.339    1.2465337380355671e-02    8.4123643596278885e-04
    23.00     6.594    1.5472937029043472e-02    2.6218167958109717e-03
    24.00     6.815    1.2557873018718449e-02    1.0418657157122979e-03
    25.00     7.039    1.3471350141676745e-02    3.0144141204868635e-03
    26.00     7.263    1.2452532154140356e-02    8.1419217131473154e-04
    27.00     7.485    1.2755769912366622e-02    1.2817177578565708e-03
    28.00     7.708    1.2315146714782616e-02    2.6625140026947935e-04
    29.00     7.930    1.2344534290754305e-02    5.8831970976058745e-04
    30.00     8.155    1.2288163366552113e-02    3.1160388129769512e-04
    31.00     8.378    1.2261273483817231e-02    3.9394015959115514e-04
    32.00     8.599    1.2240811879029876e-02    1.9628368861268619e-04
    33.00     8.822    1.2242593741703153e-02    2.2243391160747805e-04
    34.00     9.049    1.2579372996979978e-02    1.1366432739824406e-03
    35.00     9.272    1.2265541672029801e-02    4.3009828920104187e-04
    36.00     9.497    1.7644102021754232e-02    7.9272060443301706e-03
    37.00     9.721    1.2505039367053170e-02    1.0392427213755662e-03
    38.00     9.949    1.2523998763615969e-02    1.0842113291084088e-03
    39.00    10.174    1.2353104124337029e-02    7.6810359247891924e-04
    40.00    10.396    1.2280770405699052e-02    5.5535222043323618e-04
    41.00    10.619    1.3164867653871669e-02    1.7340858597543196e-03
    42.00    10.850    1.2364136214426807e-02    7.9032306704251987e-04
    43.00    11.074    1.2237924589008976e-02    2.6819322044913108e-04
    44.00    11.300    1.2198981319640352e-02    1.7147204165823826e-04
    45.00    11.526    1.2519801679770830e-02    1.1021456202688906e-03
    46.00    11.747    1.2204802174012555e-02    3.2566016024060396e-04
    47.00    11.970    1.2330677212644777e-02    7.4985330582688636e-04
    48.00    12.191    1.2702565707309545e-02    1.8409337601589248e-03
    49.00    12.411    1.2457872617940888e-02    1.0331185737177950e-03
    50.00    12.638    1.2450074029767860e-02    1.2564654465099245e-03
    51.00    12.860    1.2488689383098222e-02    1.0869902489379912e-03
    52.00    13.086    1.2413792364885339e-02    9.6430433100314072e-04
    53.00    13.310    1.2550808328648680e-02    1.5381610994773531e-03
    54.00    13.531    1.2629222649975680e-02    1.2847353477540846e-03
    55.00    13.779    1.2202396711582722e-02    3.2378467232585528e-04
    56.00    14.007    1.2274639146792910e-02    6.4185605447242278e-04
    57.00    14.232    1.2264577552469702e-02    6.1223448875236119e-04
    58.00    14.457    1.2215686858495459e-02    4.8867540738262161e-04
    59.00    14.677    1.2316129873520395e-02    7.7473881637435404e-04
    60.00    14.900    1.2179607790244445e-02    2.2675942366889856e-04
    61.00    15.123    1.2397128158919557e-02    9.5615088018974337e-04
    62.00    15.346    1.2174446020633138e-02    1.6264111978436802e-04
    63.00    15.573    1.2226123517134393e-02    5.5115021672336173e-04
    64.00    15.799    1.2373210113293117e-02    9.0343789712998834e-04
    65.00    16.027    1.2266741834357652e-02    6.2701372264706290e-04
    66.00    16.251    1.2183808049428974e-02    2.3579909209381356e-04
    67.00    16.476    1.2388183119495058e-02    1.1234580354929635e-03
    68.00    16.700    1.2268348961991185e-02    7.3899138784949692e-04
    69.00    16.924    1.2601795067135206e-02    1.6452345503478183e-03
    70.00    17.150    1.2190646453440536e-02    2.9225249074360526e-04
    71.00    17.378    1.2169096609341290e-02    7.4850763410516663e-05
    72.00    17.601    1.2301376141582051e-02    8.8930343569115777e-04
    73.00    17.827    1.2755280644499946e-02    1.9535406379262987e-03
    74.00    18.049    1.2227185704874828e-02    5.0601708559794289e-04
    75.00    18.281    1.3449093836321398e-02    3.1248683125284504e-03
    76.00    18.508    1.2163854345354712e-02    9.6254965239340323e-05
    77.00    18.742    1.2282659203030552e-02    8.2128692227034783e-04
    78.00    18.978    1.2265874439283408e-02    6.6230313474691105e-04
    79.00    19.202    1.2442415513646903e-02    1.3108552609919499e-03
    80.00    19.430    1.2480867340298725e-02    1.3937947419438990e-03
    81.00    19.662    1.2201882612494948e-02    4.2621300590484079e-04
    82.00    19.891    1.2744678912810349e-02    1.9477527609289558e-03
    83.00    20.115    1.2407662396701904e-02    9.5028912225292306e-04
    84.00    20.339    1.2184556295775129e-02    2.7351786713580850e-04
    85.00    20.563    1.2184960607835409e-02    3.1133590128062938e-04
    86.00    20.788    1.2176712050641853e-02    2.6573184197853372e-04
    87.00    21.012    1.2368456694560631e-02    9.0471155141724768e-04
    88.00    21.235    1.2275720552015392e-02    8.2067529883433910e-04
    89.00    21.467    1.2556218282775686e-02    1.2082439272508294e-03
    90.00    21.691    1.2463191147432814e-02    1.0769785953868016e-03
    91.00    21.920    1.2181986682788601e-02    3.6640306853208404e-04
    92.00    22.151    1.2153969196678048e-02    4.1121749090766713e-05
    93.00    22.419    1.2204902743253001e-02    5.1254366256303641e-04
    94.00    22.682    1.2170555169700340e-02    3.0970214646696814e-04
    95.00    22.947    1.2176238786070824e-02    3.5579796499507488e-04
    96.00    23.209    1.2291532387314090e-02    7.6312093366015521e-04
    97.00    23.475    1.2226661058009805e-02    5.6531258275205332e-04
    98.00    23.756    1.2581264244947505e-02    1.2598159096910422e-03
    99.00    24.022    1.2293263460922752e-02    7.6504201545907202e-04
   100.00    24.250    1.2505894092921580e-02    1.1557001281036761e-03
   101.00    24.479    1.2184692602807797e-02    3.8302653653604635e-04
   102.00    24.705    1.2173666256342605e-02    3.4236663368425457e-04
   103.00    24.929    1.2269665572259159e-02    7.2057557176291587e-04
   104.00    25.155    1.2154740942774720e-02    1.9865724456802347e-04
   105.00    25.382    1.2266455749260129e-02    6.8472939648300812e-04
   106.00    25.611    1.2173897338062591e-02    3.2545137986833561e-04
   107.00    25.838    1.2168385790392929e-02    3.2092766818447860e-04
   108.00    26.066    1.2221733509500553e-02    5.7141485084234766e-04
   109.00    26.290    1.2151587421092977e-02    2.1011836352996527e-04
   110.00    26.517    1.2157290873639004e-02    2.0761725734369518e-04
