    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8298395896736979e-01
     0.10     0.094    3.3572797447853291e-02    1.2475458083037072e-02
     0.20     0.182    2.6593432984143378e-02    1.1436623538808643e-02
     0.30     0.270    2.3788410473559524e-02    9.1431121882193933e-03
     0.40     0.357    2.2139973002232773e-02    7.4492438222719670e-03
     0.50     0.448    2.1139229954645535e-02    6.1371527047986429e-03
     0.60     0.539    2.0252773192440017e-02    5.6442232723918906e-03
     0.70     0.628    1.9637169496141724e-02    5.4238437085028651e-03
     0.80     0.716    1.9045175581543089e-02    5.0769352497699316e-03
     0.90     0.805    1.8578285709459397e-02    4.7049794507705300e-03
     1.00     0.893    1.8231796316682466e-02    4.3904522752495900e-03
     1.10     0.983    1.5980725137217985e-02    2.6495661023004935e-03
     1.20     1.071    1.5237374416443248e-02    2.1739318503901650e-03
     1.30     1.158    1.4801215570286906e-02    1.8693129301974309e-03
     1.40     1.245    1.4450643672587651e-02    1.6138555725153658e-03
     1.50     1.335    1.4191963027712780e-02    1.4179255223001341e-03
     1.60     1.426    1.3923617582036229e-02    1.2554174627359416e-03
     1.70     1.516    1.3694868145210001e-02    1.1432494913581337e-03
     1.80     1.604    1.3419175198117144e-02    1.0118432487580264e-03
     1.90     1.693    1.3179138558361810e-02    8.1319593222950459e-04
     2.00     1.781    1.2956647497432283e-02    6.3445480008983424e-04
     2.10     1.876    1.2788539184667339e-02    5.2674557842458114e-04
     2.20     1.980    1.2664163418275979e-02    4.5646950096056571e-04
     2.30     2.101    1.2557742259209401e-02    4.0391083013258111e-04
     2.40     2.258    1.2467166695981103e-02    3.4607570023137413e-04
     2.50     2.483    1.2381293631211945e-02    2.9039568707744934e-04
     2.60     2.745    1.2294987163109424e-02    2.5849154894785897e-04
     2.70     3.002    1.2243064641819396e-02    2.2694514471055527e-04
     2.80     3.406    1.2172272224026700e-02    1.9725823739591419e-04
     2.90     3.860    1.2127233742605896e-02    1.6156115445653541e-04
     3.00     4.438    1.2089398120982267e-02    1.3933444981373277e-04
     3.10     5.003    1.2065240657973110e-02    1.2189188178690635e-04
     3.20     5.216    1.2057714655453043e-02    9.3149024323890828e-05
     3.30     5.651    1.2046147947374073e-02    7.8994249837038844e-05
     3.40     6.109    1.2038106161202754e-02    6.2431519126993074e-05
     3.50     6.599    1.2032838628638718e-02    4.7098533248024488e-05
     3.60     7.071    1.2028731580275341e-02    3.3473258341132350e-05
     3.70     7.463    1.2027230490402947e-02    2.5236211552481791e-05
     3.80     8.094    1.2025473620662528e-02    1.6931705095757366e-05
     3.90     8.648    1.2024771599131255e-02    1.1377100669562878e-05
     4.00     9.381    1.2024309954279598e-02    8.2756786987658870e-06
     4.10    10.098    1.2024104650876681e-02    6.1159640107888436e-06
     4.20    10.526    1.2024036591566733e-02    4.1166064441711114e-06
     4.30    11.266    1.2023959402180952e-02    2.8044252164960426e-06
     4.40    11.942    1.2023927100360500e-02    1.9858270459138794e-06
     4.50    12.900    1.2023902844691250e-02    1.1845012259925625e-06
     4.60    13.727    1.2023894389380051e-02    6.1694702857550965e-07
     4.70    14.388    1.2023892778374424e-02    3.6127597091706320e-07
     4.80    15.265    1.2023891941152717e-02    1.8871445739421233e-07
     4.90    15.905    1.2023891787161746e-02    9.8218958299867154e-08
     5.00    16.666    1.2023891717929837e-02    5.3369472396980200e-08
     5.10    17.424    1.2023891699461976e-02    2.8904397098017398e-08
     5.20    17.695    1.2023891697283082e-02    1.3972427437280999e-08
     5.30    18.650    1.2023891693751053e-02    6.1116809391137394e-09
     5.40    19.313    1.2023891693143907e-02    2.9107583010556937e-09
     5.50    20.351    1.2023891692819255e-02    1.0517542392562973e-09
     5.60    21.254    1.2023891692782779e-02    2.2737434157704683e-10
