    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8298395896736979e-01
     2.00     0.549    1.0441928652905828e-01    8.7316300088076115e-03
     3.00     0.823    1.0260924828952409e-01    8.7303124298992452e-03
     4.00     1.098    1.0079956662105219e-01    8.7288277824768556e-03
     5.00     1.372    9.8990346216523251e-02    8.7271459797949591e-03
     6.00     1.648    9.7181638271741283e-02    8.7252304333175212e-03
     7.00     1.924    9.5373517388888510e-02    8.7230366366077838e-03
     8.00     2.194    9.3566088349625556e-02    8.7205105608731959e-03
     9.00     2.463    9.1759483398925937e-02    8.7175864219075083e-03
    10.00     2.737    8.9953863184569549e-02    8.7141840398600179e-03
    11.00     3.014    8.8149423104830496e-02    8.7102056085032742e-03
    12.00     3.294    8.6346434856158102e-02    8.7055318002449700e-03
    13.00     3.575    8.4545178659979875e-02    8.7000167978100729e-03
    14.00     3.850    8.2745983966132031e-02    8.6934825683631090e-03
    15.00     4.126    8.0949282064403660e-02    8.6857116915939336e-03
    16.00     4.399    7.9155599180581002e-02    8.6764387313191249e-03
    17.00     4.692    7.7365577320268580e-02    8.6653398332546261e-03
    18.00     4.973    7.5579999452846602e-02    8.6520202512065936e-03
    19.00     5.274    7.3799924692694752e-02    8.6360002386113854e-03
    20.00     5.553    7.2026481037503504e-02    8.6166954488185454e-03
    21.00     5.830    7.0261008869953789e-02    8.5933983995915564e-03
    22.00     6.104    6.5692410001059576e-02    8.5067959778845625e-03
    23.00     6.375    6.1237019007271055e-02    8.3647672254146266e-03
    24.00     6.644    5.3564394082054448e-02    7.8344203543711244e-03
    25.00     6.911    4.7262864747295505e-02    6.6880765531443509e-03
    26.00     7.180    4.3234302650144607e-02    4.8936606409986580e-03
    27.00     7.446    4.0002027802986909e-02    3.7356248866164954e-03
    28.00     7.720    2.9293559241682064e-02    2.2694069539891948e-03
    29.00     7.994    2.3406997186548307e-02    1.2232201468053150e-03
    30.00     8.260    1.8726727023734274e-02    8.0834096961290847e-04
    31.00     8.554    1.5677550632707923e-02    6.4721814557033852e-04
    32.00     8.845    1.4664760317821775e-02    2.8668288086342031e-04
    33.00     9.128    1.2803381767589286e-02    6.9763455212923375e-04
    34.00     9.411    1.2732164076773557e-02    2.0142642021703239e-04
    35.00     9.691    1.2462820989155837e-02    6.5675485407368228e-05
    36.00    10.007    1.2038247437843444e-02    1.7134032791997586e-04
    37.00    10.285    1.2032850920632172e-02    2.3283870524082317e-05
    38.00    10.605    1.2024143265483298e-02    3.3799787473188375e-06
    39.00    10.905    1.2023898873903731e-02    1.8218390018809316e-07
    40.00    11.230    1.2023891712372056e-02    7.6097577128564353e-09
    41.00    11.550    1.2023891692832177e-02    1.3725487413296378e-10
