    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8298395896736979e-01
     2.00     2.968    1.3895454267933860e-01    1.1362455870307997e-01
     3.00     5.170    5.6126614691223230e-02    3.9052898546934500e-02
     4.00     6.407    2.8924362857055953e-02    1.3759671925528849e-02
     5.00     7.947    1.8638477808698609e-02    4.9694498865022751e-03
     6.00    10.081    1.4332179200522233e-02    1.9651094372932221e-03
     7.00    12.459    1.2639731319000652e-02    8.0435230791131573e-04
     8.00    14.753    1.2114563337616645e-02    2.8136668717282376e-04
     9.00    16.774    1.2027099400329359e-02    5.4919022304034115e-05
    10.00    17.880    1.2023897676991076e-02    2.4364607433824403e-06
    11.00    18.294    1.2023891692813716e-02    4.9070951746443825e-09
    12.00    18.566    1.2023891692795769e-02    9.9976027456705197e-11
