    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8298395896736979e-01
     2.00     0.839    8.4658149023450771e-02    5.1733744113241609e-02
     3.00     1.251    5.6364500527512289e-02    2.0140350931488443e-02
     4.00     1.667    4.7266433922445027e-02    7.0787700158111144e-03
     5.00     2.080    2.8967103361464144e-02    4.3360621206844918e-03
     6.00     2.489    2.3410005459869272e-02    1.6525311496060624e-03
     7.00     2.903    1.7295749176310798e-02    1.2761899101196850e-03
     8.00     3.311    1.5695275588201670e-02    5.0367779887627862e-04
     9.00     3.669    1.3133034097866822e-02    7.6889952121339533e-04
    10.00     4.025    1.3046758462550632e-02    1.4458487553348220e-04
    11.00     4.424    1.2123741458058859e-02    2.7214945920217559e-04
    12.00     4.782    1.2100448026715128e-02    3.1440437481933259e-05
    13.00     5.187    1.2025495042243754e-02    2.1121777384891516e-05
    14.00     5.552    1.2024044679911777e-02    8.1199166857004457e-07
    15.00     6.050    1.2023891703411654e-02    9.7297540690988171e-08
    16.00     6.438    1.2023891692819033e-02    7.6749273603127222e-11
