    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2835419783665922e-01
     0.10     0.032    5.5200343423230991e-01    9.3559246340775282e-03
     0.20     0.059    5.4635636627181272e-01    8.2023479519903464e-03
     0.30     0.088    5.4491372878334143e-01    6.2875242072499282e-03
     0.40     0.116    5.4434420713462583e-01    2.6717185988325010e-03
     0.50     0.149    5.4421535772269236e-01    3.9065081617029873e-03
     0.60     0.192    5.4402429364416882e-01    6.0661329562318907e-03
     0.70     0.247    5.4369835184152160e-01    2.6586149301721408e-03
     0.80     0.301    5.4360110062941380e-01    2.9899410515739008e-03
     0.90     0.354    5.4351619434917264e-01    1.7567276588108527e-03
     1.00     0.419    5.4344342403187740e-01    1.2257721471350957e-03
     1.10     0.484    5.4334119557601346e-01    3.1566548836295394e-04
     1.20     0.544    5.4333361194481222e-01    1.8984601767169096e-04
     1.30     0.614    5.4333106267645503e-01    1.2813752068849271e-04
     1.40     0.678    5.4332987809199851e-01    9.5174247575241511e-05
     1.50     0.768    5.4332915761605938e-01    6.4001299761640151e-05
     1.60     0.824    5.4332878718691235e-01    4.0666254049886996e-05
     1.70     0.880    5.4332861964234813e-01    2.5797336319188791e-05
     1.80     0.935    5.4332853409485660e-01    1.6199162618246721e-05
     1.90     0.990    5.4332847400644024e-01    8.6158607655595354e-06
     2.00     1.074    5.4332842776397738e-01    2.6530012438019668e-06
     2.10     1.181    5.4332841296311529e-01    7.0718362488175757e-07
     2.20     1.268    5.4332841082296224e-01    3.6659733382293780e-07
     2.30     1.354    5.4332841017566735e-01    1.7432823451457580e-07
     2.40     1.435    5.4332841002813059e-01    9.5358633656061897e-08
     2.50     1.523    5.4332840998183907e-01    4.6824509492005006e-08
     2.60     1.635    5.4332840996764187e-01    2.5516882162790466e-08
     2.70     1.750    5.4332840996320786e-01    1.2942070970467512e-08
     2.80     1.862    5.4332840996182319e-01    6.3452802456787083e-09
     2.90     1.996    5.4332840996136988e-01    1.6062270680183843e-09
     3.00     2.111    5.4332840996135467e-01    1.4873424714068051e-10
