    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2835419783665922e-01
     1.00     0.109    6.0312939449961456e-01    4.3364061183267633e-02
     2.00     0.215    5.9035639349320079e-01    8.8045137482903185e-02
     3.00     0.319    5.5270156996490227e-01    2.0123506952673370e-02
     4.00     0.422    5.5623040907875465e-01    3.3347477525940798e-02
     5.00     0.526    5.5434735263447255e-01    4.3170859614459989e-02
     6.00     0.631    5.5343294746675842e-01    4.4944000410046814e-02
     7.00     0.716    5.4609323235480522e-01    1.8251432173092406e-02
     8.00     0.800    5.4379033413870814e-01    7.1210299946760647e-03
     9.00     0.887    5.4367987127017769e-01    8.1093943241583588e-03
    10.00     0.974    5.4342356870190489e-01    3.3679731674614508e-03
    11.00     1.059    5.4345693313143162e-01    3.7775276550751739e-03
    12.00     1.145    5.4336433313605048e-01    2.8496787392939815e-03
    13.00     1.237    5.4335008894155401e-01    1.4135165649160619e-03
    14.00     1.325    5.4335480130073810e-01    2.3973081982098243e-03
    15.00     1.410    5.4333371921432594e-01    4.9659628003543427e-04
    16.00     1.496    5.4333459463809142e-01    1.0225166995960766e-03
    17.00     1.591    5.4332981718854645e-01    3.0069300754712036e-04
    18.00     1.687    5.4332964459909561e-01    2.9276338810457769e-04
    19.00     1.775    5.4332996767628372e-01    5.9124447195979535e-04
    20.00     1.863    5.4332889521374961e-01    2.5028240874864875e-04
    21.00     1.949    5.4332859714361004e-01    1.0313742947720694e-04
    22.00     2.034    5.4332858035586162e-01    1.6371213583876894e-04
    23.00     2.119    5.4332864501245892e-01    2.5204826584498963e-04
    24.00     2.203    5.4332843552906007e-01    3.4267286875657929e-05
    25.00     2.290    5.4332843104350848e-01    4.3523728310665422e-05
    26.00     2.375    5.4332843145964738e-01    4.9772390482830109e-05
    27.00     2.462    5.4332841854540370e-01    2.7249757915898468e-05
    28.00     2.551    5.4332841854308178e-01    2.8600214453659845e-05
    29.00     2.637    5.4332841688810696e-01    3.7667950551781293e-05
    30.00     2.721    5.4332841564545997e-01    3.3869307900391554e-05
    31.00     2.805    5.4332841213901784e-01    2.2249328891499331e-05
    32.00     2.890    5.4332841081404271e-01    1.0096241940482642e-05
    33.00     2.974    5.4332841122560682e-01    1.3093092517887928e-05
    34.00     3.059    5.4332841056800640e-01    1.0259414069065803e-05
    35.00     3.149    5.4332841066004001e-01    9.7568625063507164e-06
    36.00     3.236    5.4332841032833934e-01    6.7097962212492313e-06
    37.00     3.320    5.4332841014802791e-01    4.1628151833394966e-06
    38.00     3.403    5.4332841010332333e-01    5.2030572533501296e-06
    39.00     3.487    5.4332841016106703e-01    6.2621558363229468e-06
    40.00     3.570    5.4332841061955750e-01    1.5142121174815948e-05
    41.00     3.653    5.4332841013536637e-01    6.3896785781336618e-06
    42.00     3.737    5.4332841003842025e-01    3.1073407755072280e-06
    43.00     3.819    5.4332841005868460e-01    5.6363610316800816e-06
    44.00     3.901    5.4332840998036769e-01    1.2465314248866211e-06
    45.00     3.984    5.4332840996785481e-01    6.6853293564927974e-07
    46.00     4.073    5.4332840997423393e-01    1.4535177644825481e-06
    47.00     4.201    5.4332840996813125e-01    1.1747782646988336e-06
    48.00     4.335    5.4332840996390308e-01    6.7677469574832505e-07
    49.00     4.460    5.4332840996457510e-01    6.7993230046248243e-07
    50.00     4.586    5.4332840996591680e-01    1.1390699084928846e-06
    51.00     4.712    5.4332840996238141e-01    3.5031121694076295e-07
    52.00     4.843    5.4332840996392529e-01    8.6337572691164155e-07
    53.00     4.990    5.4332840996197140e-01    2.9363431086853846e-07
    54.00     5.115    5.4332840996251064e-01    5.9148406438003232e-07
    55.00     5.244    5.4332840996161214e-01    1.7128894689265317e-07
    56.00     5.369    5.4332840996161935e-01    2.0607902218722218e-07
    57.00     5.491    5.4332840996153076e-01    1.4661985082639606e-07
    58.00     5.616    5.4332840996162712e-01    2.1130667881251453e-07
    59.00     5.745    5.4332840996142673e-01    8.5109835235019915e-08
    60.00     6.015    5.4332840996142762e-01    8.1689716421862180e-08
    61.00     6.356    5.4332840996138754e-01    7.0800664832303996e-08
    62.00     6.712    5.4332840996137499e-01    3.6924685881817298e-08
    63.00     7.041    5.4332840996136356e-01    3.3009940336725663e-08
    64.00     7.311    5.4332840996136589e-01    3.6628172050967578e-08
    65.00     7.559    5.4332840996135745e-01    2.6008802625487881e-08
    66.00     7.787    5.4332840996135645e-01    7.7056728081670300e-09
    67.00     7.970    5.4332840996136411e-01    1.4232684662773831e-08
    68.00     8.169    5.4332840996136111e-01    2.5025391536814823e-08
    69.00     8.352    5.4332840996135212e-01    1.6324964819411716e-08
    70.00     8.533    5.4332840996136345e-01    1.3888812655515892e-08
    71.00     8.723    5.4332840996135967e-01    6.5002672133829265e-09
    72.00     8.908    5.4332840996135801e-01    9.6539060079336991e-09
    73.00     9.091    5.4332840996135723e-01    8.2084645747215745e-09
    74.00     9.252    5.4332840996135945e-01    8.7367884038513921e-09
    75.00     9.387    5.4332840996135778e-01    5.4580809455417878e-09
    76.00     9.522    5.4332840996135656e-01    3.8863625650975564e-09
    77.00     9.656    5.4332840996136189e-01    3.9894334086243433e-09
    78.00     9.793    5.4332840996136034e-01    2.6971972953704348e-09
    79.00     9.933    5.4332840996135534e-01    1.1064093301477521e-09
    80.00    10.069    5.4332840996135778e-01    1.0048472887103088e-09
    81.00    10.201    5.4332840996136422e-01    7.9267272259930799e-10
