    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2835419783665922e-01
     1.00     0.132    2.9654584769959773e+00    2.5012031630211029e-01
     2.00     0.253    1.8407923147128071e+00    2.1988163573093139e-01
     3.00     0.369    1.6957720976119330e+00    3.4381174972514117e-01
     4.00     0.464    9.4902098572391658e-01    1.0898521941771172e-01
     5.00     0.565    9.3666629183443806e-01    1.4964853335093253e-01
     6.00     0.668    8.0544347199555721e-01    1.2335652392996646e-01
     7.00     0.769    7.6961632874763319e-01    7.6919903229226372e-02
     8.00     0.870    6.9114492793358651e-01    5.8593806960648642e-02
     9.00     0.968    9.0519402710647667e-01    2.6052783121149570e-01
    10.00     1.066    6.9617132597911446e-01    7.8472899214132683e-02
    11.00     1.161    7.0992440169795268e-01    1.4616238354498667e-01
    12.00     1.257    9.2970516581481133e-01    2.7187920203431071e-01
    13.00     1.352    6.1192903254585695e-01    7.3307787784063994e-02
    14.00     1.449    8.0832974427070881e-01    2.2489004618209008e-01
    15.00     1.544    7.5000395736545999e-01    2.2386146453984312e-01
    16.00     1.644    6.4484761655266798e-01    9.1281913230198242e-02
    17.00     1.741    7.5404861677314594e-01    1.6443156530428638e-01
    18.00     1.839    5.8388237038149560e-01    5.6780674765189276e-02
    19.00     1.936    6.4022893603579623e-01    1.4624206411868962e-01
    20.00     2.034    7.3033164958691899e-01    1.9885620949740479e-01
    21.00     2.131    6.2555815162304851e-01    9.9881212668611191e-02
    22.00     2.227    6.2182664352432182e-01    9.1266704018690414e-02
    23.00     2.321    6.1482332926335226e-01    7.5534641896326749e-02
    24.00     2.420    6.5105989508262796e-01    1.5555543624996770e-01
    25.00     2.517    6.0024366688367436e-01    1.1859893041541512e-01
    26.00     2.612    5.6518299060160815e-01    3.7308402642447572e-02
    27.00     2.707    6.6262827795376833e-01    1.4610679175961705e-01
    28.00     2.804    5.8215851612338698e-01    8.5721931765990356e-02
    29.00     2.903    7.1525455724714060e-01    2.2226214728612836e-01
    30.00     3.004    5.6373189338060037e-01    5.5248868994113520e-02
    31.00     3.104    5.7986008092802854e-01    9.0644540263866868e-02
    32.00     3.204    6.6567260836454467e-01    1.6319385750433774e-01
    33.00     3.304    5.7714412507955348e-01    8.4509683256487389e-02
    34.00     3.399    5.6453329951467235e-01    5.6437762651738235e-02
    35.00     3.494    5.7306566558568106e-01    7.8710561233269333e-02
    36.00     3.594    5.9258310341613818e-01    9.8073452921437876e-02
    37.00     3.695    5.6038536215435764e-01    3.7020264557824673e-02
    38.00     3.801    5.8606030282609178e-01    9.2622602381837796e-02
    39.00     3.972    5.6404734835358417e-01    5.7347695647806840e-02
    40.00     4.146    6.2224147283733822e-01    1.5296567207292724e-01
    41.00     4.318    5.6785642905814826e-01    4.1384876818201743e-02
    42.00     4.493    5.5561127816909417e-01    3.3866197042472374e-02
    43.00     4.675    7.6127711944771925e-01    2.5138088326556618e-01
    44.00     4.849    5.7510081354905429e-01    8.5419120688745881e-02
    45.00     5.036    5.6755040535357137e-01    7.4079212543765816e-02
    46.00     5.217    5.5147054438396903e-01    2.6925033852855884e-02
    47.00     5.394    6.0186711477046551e-01    1.2637336255176571e-01
    48.00     5.539    5.6170262815897687e-01    4.9746879414794123e-02
    49.00     5.663    5.6890148281671216e-01    6.0544449385999288e-02
    50.00     5.785    5.9166548045971423e-01    1.1119656545469922e-01
    51.00     5.910    5.6883341499680784e-01    7.4829226696466758e-02
    52.00     6.034    5.8932101799045589e-01    1.1670221620868922e-01
    53.00     6.159    5.6329557770338146e-01    4.4291047916310514e-02
