    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6790287241954610e-01
     1.00     0.311    2.6924357814067579e-01    5.5441829553135591e-03
     2.00     0.615    2.1000384809978154e-01    6.3693536880258250e-03
     3.00     0.922    1.6022197746163216e-01    2.2043421613286984e-03
     4.00     1.227    1.4524238234031836e-01    2.9911623748671845e-03
     5.00     1.539    1.3699025340331075e-01    2.1786206378633377e-03
     6.00     1.847    1.3250827010772842e-01    1.5838763591152216e-03
     7.00     2.171    1.3004774680671524e-01    7.4023926997740519e-04
     8.00     2.490    1.2878129576842853e-01    6.1683967186754174e-04
     9.00     2.808    1.2789395325402794e-01    4.3048711269566553e-04
    10.00     3.122    1.2731828305703349e-01    2.0354369045327836e-04
    11.00     3.430    1.2691955723726236e-01    1.7831038673477018e-04
    12.00     3.733    1.2659494460225451e-01    2.4824505285381271e-04
    13.00     4.037    1.2629686263813814e-01    1.2328852871945628e-04
    14.00     4.343    1.2604419507722955e-01    1.2135938612622965e-04
    15.00     4.654    1.2582290172670713e-01    1.1696853786880013e-04
    16.00     4.971    1.2562249483786159e-01    1.1138883088257501e-04
    17.00     5.292    1.2543930539199394e-01    1.0700815083541926e-04
    18.00     5.603    1.2527072138168044e-01    1.0180212924826293e-04
    19.00     5.910    1.2511681926348547e-01    9.8999103902208674e-05
    20.00     6.214    1.2497582178725671e-01    9.5247124797914751e-05
    21.00     6.539    1.2484576336960866e-01    9.2770257106522536e-05
    22.00     6.844    1.2472383305043021e-01    8.8467003140912936e-05
    23.00     7.150    1.2461001282392195e-01    8.5654800810353038e-05
    24.00     7.455    1.2450352972213646e-01    8.2280540331325369e-05
    25.00     7.761    1.2440380009322394e-01    8.1626376539745138e-05
    26.00     8.066    1.2430997786000268e-01    8.0963403323863758e-05
    27.00     8.372    1.2422182355954890e-01    8.0179162075921795e-05
    28.00     8.678    1.2413869549810730e-01    7.9559295524056495e-05
    29.00     8.983    1.2406030734264184e-01    7.8849019007343202e-05
    30.00     9.291    1.2398595045502907e-01    7.8169324168264609e-05
    31.00     9.596    1.2391529344109999e-01    7.7430400873268468e-05
    32.00     9.901    1.2384819546811414e-01    7.6679316101113670e-05
    33.00    10.117    1.2378454172287924e-01    7.5877753165087825e-05
    34.00    10.336    1.2372388983316113e-01    7.5103455107417005e-05
    35.00    10.557    1.2366614408233675e-01    7.4360723476551982e-05
    36.00    10.776    1.2361101993631549e-01    7.3660045534218455e-05
    37.00    10.997    1.2355831913002413e-01    7.2815780491453097e-05
    38.00    11.218    1.2350786053955662e-01    7.1941602207026278e-05
    39.00    11.436    1.2345964450063814e-01    7.1141074275082872e-05
    40.00    11.653    1.2341337119245331e-01    7.0316328061537092e-05
    41.00    11.872    1.2336889715888552e-01    6.9426226729341067e-05
    42.00    12.089    1.2332621596143070e-01    6.8539344857398987e-05
    43.00    12.304    1.2328528712164370e-01    6.7734054222334805e-05
    44.00    12.519    1.2324604813004075e-01    6.6927170003339143e-05
    45.00    12.742    1.2320836497840248e-01    6.6038330874818030e-05
    46.00    12.968    1.2317212049960420e-01    6.5056719481759728e-05
    47.00    13.187    1.2313728654276691e-01    6.4319508531696101e-05
    48.00    13.406    1.2310379506785459e-01    6.3350971115205823e-05
    49.00    13.622    1.2307148358480829e-01    6.2501945699011685e-05
    50.00    13.839    1.2304039905568508e-01    6.1475090264551113e-05
    51.00    14.058    1.2301049383777805e-01    6.0735392357180729e-05
    52.00    14.274    1.2298169363615212e-01    5.9811038628510005e-05
    53.00    14.489    1.2295388571988339e-01    5.8924084806122323e-05
    54.00    14.708    1.2292708471263289e-01    5.8012402295304355e-05
    55.00    14.926    1.2290119133434238e-01    5.7082513206019314e-05
    56.00    15.143    1.2287622677465632e-01    5.6309572521229256e-05
    57.00    15.365    1.2285213394003566e-01    5.5331404642977589e-05
    58.00    15.592    1.2282880039451956e-01    5.4520085337905755e-05
    59.00    15.806    1.2280628724390159e-01    5.3633928914109674e-05
    60.00    16.018    1.2278449128718663e-01    5.2678108300341364e-05
    61.00    16.236    1.2276339270778157e-01    5.1881474135484495e-05
    62.00    16.451    1.2274329102595902e-01    5.1006870819492178e-05
    63.00    16.671    1.2272395888836596e-01    5.0216960904236885e-05
    64.00    16.889    1.2270525851422466e-01    4.9361017405047392e-05
    65.00    17.199    1.2268716384593469e-01    4.8629787439580241e-05
    66.00    17.506    1.2266963025957378e-01    4.7727052386647983e-05
    67.00    17.814    1.2265270193856107e-01    4.6788821421728244e-05
    68.00    18.123    1.2263631630905650e-01    4.6097820160184710e-05
    69.00    18.439    1.2262045466997122e-01    4.5246800391751663e-05
    70.00    18.748    1.2260510224044711e-01    4.4517721995873671e-05
    71.00    19.058    1.2259024235950979e-01    4.3745578960141529e-05
    72.00    19.365    1.2257587568694316e-01    4.3031688679917579e-05
    73.00    19.674    1.2256194112388633e-01    4.2315539031889671e-05
    74.00    19.994    1.2254843180013784e-01    4.1431569661298795e-05
    75.00    20.302    1.2253534544204878e-01    4.0873516773842766e-05
    76.00    20.608    1.2252267285175766e-01    4.0056745829630813e-05
    77.00    20.916    1.2251038890581363e-01    3.9431327939709604e-05
    78.00    21.223    1.2249847364347229e-01    3.8474473472049908e-05
    79.00    21.531    1.2248688881891691e-01    3.7707574602308114e-05
    80.00    21.840    1.2247567374544806e-01    3.7136614716715144e-05
    81.00    22.148    1.2246481383996478e-01    3.6436460744582178e-05
    82.00    22.455    1.2245426729722456e-01    3.5828596141485036e-05
    83.00    22.765    1.2244404049899969e-01    3.5055644024950539e-05
    84.00    23.073    1.2243411047773541e-01    3.4332213393994948e-05
    85.00    23.381    1.2242447244435825e-01    3.3786056524931496e-05
    86.00    23.692    1.2241511280609987e-01    3.3154162775161922e-05
    87.00    24.013    1.2240602420492531e-01    3.2440996891480722e-05
    88.00    24.324    1.2239723170973252e-01    3.1732712844956268e-05
    89.00    24.633    1.2238870676763583e-01    3.1255187089129777e-05
    90.00    24.940    1.2238042159943609e-01    3.0676695610409865e-05
    91.00    25.253    1.2237238419190490e-01    3.0126530774055027e-05
    92.00    25.673    1.2236456933919598e-01    2.9865224517422462e-05
    93.00    26.044    1.2235697115308926e-01    2.9523445647328117e-05
    94.00    26.406    1.2234959303023493e-01    2.9196972114675646e-05
    95.00    26.780    1.2234243061382960e-01    2.8990851038912524e-05
    96.00    27.143    1.2233545464859234e-01    2.8658953134197418e-05
    97.00    27.489    1.2232867513810317e-01    2.8436042578405818e-05
    98.00    27.844    1.2232209339762032e-01    2.8132277003933837e-05
    99.00    28.185    1.2231568695350206e-01    2.7835076986448826e-05
   100.00    28.513    1.2230945782158356e-01    2.7609242826187597e-05
   101.00    28.823    1.2230339841374563e-01    2.7379722796538886e-05
   102.00    29.128    1.2229749958093697e-01    2.7104318997217547e-05
   103.00    29.435    1.2229175370062349e-01    2.6871955148166649e-05
   104.00    29.742    1.2228616301571228e-01    2.6610027585860507e-05
   105.00    30.048    1.2228071942076915e-01    2.6346785011455154e-05
   106.00    30.353    1.2227542100353722e-01    2.6019641548913341e-05
   107.00    30.659    1.2227026072826772e-01    2.5783165133574926e-05
   108.00    30.964    1.2226524919159298e-01    2.5534990360398524e-05
   109.00    31.269    1.2226037327942703e-01    2.5319660545974898e-05
   110.00    31.576    1.2225562110497552e-01    2.5142220339446908e-05
   111.00    31.882    1.2225098930087469e-01    2.4936881166226499e-05
   112.00    32.187    1.2224647730291337e-01    2.4681119455749467e-05
   113.00    32.494    1.2224207680128266e-01    2.4522941371785123e-05
   114.00    32.801    1.2223778767566444e-01    2.4296675084301000e-05
   115.00    33.106    1.2223360445272957e-01    2.4066421637769508e-05
   116.00    33.414    1.2222957163227106e-01    2.3896385346944271e-05
   117.00    33.722    1.2222564881464404e-01    2.3692799013375065e-05
   118.00    34.032    1.2222182093844901e-01    2.3513365558613941e-05
   119.00    34.339    1.2221808614974806e-01    2.3323680357734133e-05
   120.00    34.647    1.2221444278803527e-01    2.3072851673688888e-05
   121.00    34.957    1.2221088775280435e-01    2.2896003974537393e-05
   122.00    35.267    1.2220742114316606e-01    2.2771993110737299e-05
   123.00    35.575    1.2220403778868226e-01    2.2583416088295394e-05
   124.00    35.883    1.2220073199843136e-01    2.2394422176219564e-05
   125.00    36.193    1.2219750348383807e-01    2.2174511855155288e-05
   126.00    36.524    1.2219434979222249e-01    2.2030890720614593e-05
   127.00    36.831    1.2219126859569129e-01    2.1789800063842790e-05
   128.00    37.137    1.2218825349222195e-01    2.1555226041414244e-05
   129.00    37.454    1.2218530430386149e-01    2.1334108948778407e-05
   130.00    37.765    1.2218242499141026e-01    2.1195546766605844e-05
   131.00    38.076    1.2217961076624395e-01    2.1070887116891868e-05
   132.00    38.385    1.2217686004160461e-01    2.0932005428520029e-05
   133.00    38.696    1.2217417195498567e-01    2.0773292511933050e-05
   134.00    39.004    1.2217154099922876e-01    2.0571708418515300e-05
   135.00    39.311    1.2216896672067269e-01    2.0447013302060668e-05
   136.00    39.618    1.2216644866799353e-01    2.0296926953378147e-05
   137.00    39.925    1.2216398423381540e-01    2.0136961387251517e-05
   138.00    40.233    1.2216157091363990e-01    1.9951817570529329e-05
   139.00    40.541    1.2215920908756935e-01    1.9792468556545373e-05
   140.00    40.859    1.2215689488870887e-01    1.9649982812453004e-05
   141.00    41.181    1.2215462765283600e-01    1.9497089610354124e-05
   142.00    41.490    1.2215240901262035e-01    1.9375770232699097e-05
   143.00    41.798    1.2215023322936032e-01    1.9193762035740747e-05
   144.00    42.106    1.2214810013808648e-01    1.9096109793892424e-05
   145.00    42.415    1.2214600790140528e-01    1.8894129688362682e-05
   146.00    42.723    1.2214395597190178e-01    1.8792887237495393e-05
   147.00    43.031    1.2214212112231240e-01    1.8558862295847689e-05
   148.00    43.340    1.2214040901793229e-01    1.8321859270642449e-05
   149.00    43.649    1.2213873788633203e-01    1.8038446773616101e-05
   150.00    43.958    1.2213712170050853e-01    1.7790980786358546e-05
   151.00    44.267    1.2213556648520008e-01    1.7522663076974254e-05
   152.00    44.581    1.2213405205472830e-01    1.7274928870492090e-05
   153.00    44.897    1.2213257521452958e-01    1.7094237136916490e-05
   154.00    45.209    1.2213113543036089e-01    1.6917048666797996e-05
   155.00    45.520    1.2212973416162207e-01    1.6749799756965444e-05
   156.00    45.836    1.2212836486854520e-01    1.6530273606818469e-05
   157.00    46.151    1.2212702914967619e-01    1.6346360878216615e-05
   158.00    46.466    1.2212572369316298e-01    1.6124347901325109e-05
   159.00    46.777    1.2212445006814159e-01    1.5953954672909276e-05
   160.00    47.088    1.2212320793463155e-01    1.5747288468759280e-05
   161.00    47.404    1.2212199585212477e-01    1.5591537463777172e-05
   162.00    47.718    1.2212081262185311e-01    1.5367601156057731e-05
   163.00    48.053    1.2211965888353496e-01    1.5242101621737447e-05
   164.00    48.383    1.2211853262636981e-01    1.5060247575249264e-05
   165.00    48.723    1.2211743147417982e-01    1.4928941068248491e-05
   166.00    49.050    1.2211635901359864e-01    1.4762051176120394e-05
   167.00    49.380    1.2211531280890987e-01    1.4591619038384351e-05
   168.00    49.715    1.2211429002396285e-01    1.4434534779894648e-05
   169.00    50.052    1.2211329170902940e-01    1.4264792840279483e-05
   170.00    50.412    1.2211231585227438e-01    1.4103106259710785e-05
   171.00    50.758    1.2211136212158345e-01    1.3961565390019359e-05
   172.00    51.095    1.2211043090065571e-01    1.3849499815421495e-05
   173.00    51.434    1.2210952229671160e-01    1.3703160941958004e-05
   174.00    51.784    1.2210863547639556e-01    1.3564656514475359e-05
