    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6790287241954610e-01
     1.00     0.276    1.4419789502533811e-01    1.1274475434391307e-03
     2.00     0.549    1.3386622759892916e-01    1.1761968297752667e-03
     3.00     0.828    1.3317465028229653e-01    3.3703187036467908e-03
     4.00     1.101    1.2866659193740035e-01    1.7496331261592779e-03
     5.00     1.375    1.2826347979405395e-01    1.5349313098946826e-03
     6.00     1.647    1.2590191159861369e-01    6.9558890963300479e-04
     7.00     1.920    1.2870336738078128e-01    1.5048415449994204e-03
     8.00     2.192    1.2608758576094395e-01    7.8877864912801909e-04
     9.00     2.464    1.2450418561686204e-01    5.3095853155460393e-04
    10.00     2.740    1.2434691722240172e-01    4.9202285871219331e-04
    11.00     3.018    1.2430225247688440e-01    4.3691198992543145e-04
    12.00     3.340    1.2410851945160714e-01    1.0109591299178877e-03
    13.00     3.728    1.2389241890108359e-01    5.2312383193708900e-04
    14.00     4.129    1.2377702661207504e-01    4.8629900514463031e-04
    15.00     4.521    1.2420210806470050e-01    4.7172088386188138e-04
    16.00     4.918    1.2343187575917997e-01    5.0880627445121229e-04
    17.00     5.551    1.2506647422823342e-01    1.2091842041802581e-03
    18.00     6.228    1.2333104829446613e-01    5.1664341900847788e-04
    19.00     6.906    1.2316432407070664e-01    2.4460500922801609e-04
    20.00     7.404    1.2378207445038261e-01    5.9854122095265305e-04
    21.00     7.906    1.2348821917698270e-01    5.9130549727751114e-04
    22.00     8.425    1.2343300918174548e-01    4.5009263462691962e-04
    23.00     8.959    1.2338483581328155e-01    6.1954131505605192e-04
    24.00     9.474    1.2310082845552135e-01    7.4652235006583689e-04
    25.00    10.003    1.2323807878507079e-01    4.8916275878874149e-04
    26.00    10.507    1.2410138015494832e-01    1.0361250260373378e-03
    27.00    10.900    1.2303418036409050e-01    4.0753089356448946e-04
    28.00    11.313    1.2323020343673377e-01    6.6082181106952298e-04
    29.00    11.711    1.2306343157928819e-01    5.7220582392480956e-04
    30.00    12.108    1.2441765194750874e-01    1.8238687812819343e-03
    31.00    12.513    1.2312002894393516e-01    3.8284228521634489e-04
    32.00    12.904    1.2340809863226682e-01    8.8314907254755104e-04
    33.00    13.305    1.2313562256168351e-01    6.7286866334484441e-04
    34.00    13.699    1.2281368995405598e-01    4.0784113269309863e-04
    35.00    14.069    1.2285777018273926e-01    3.5369559692055574e-04
    36.00    14.391    1.2268183839651049e-01    4.3258006868258231e-04
    37.00    14.726    1.2291578774056963e-01    5.3248719115317478e-04
    38.00    15.049    1.2286759450870625e-01    4.6411667317813876e-04
    39.00    15.365    1.2275227498793206e-01    4.4895093267546815e-04
    40.00    15.684    1.2266698620046762e-01    3.0288268706338273e-04
    41.00    16.015    1.2299428067951595e-01    4.9834539882009921e-04
    42.00    16.338    1.2279109703247491e-01    3.9621691827806949e-04
    43.00    16.657    1.2285230880899504e-01    3.3278596553198980e-04
    44.00    16.979    1.2283811571539277e-01    4.9781017437600106e-04
    45.00    17.300    1.2286821354565208e-01    3.8396125650241864e-04
    46.00    17.608    1.2270411446524597e-01    3.3691344254738187e-04
    47.00    17.880    1.2275778755468281e-01    3.8372819180587658e-04
    48.00    18.166    1.2256894654335526e-01    2.1918308265356234e-04
    49.00    18.451    1.2259120517158632e-01    2.3201420141027995e-04
    50.00    18.723    1.2255638511441705e-01    2.8794275186272422e-04
    51.00    18.996    1.2269318334079125e-01    5.9055867576807142e-04
    52.00    19.272    1.2259047237164614e-01    3.0491091993939401e-04
    53.00    19.550    1.2280878307522594e-01    3.6105650281603729e-04
    54.00    19.835    1.2266207019907348e-01    2.9964157398909563e-04
    55.00    20.109    1.2270342335935808e-01    5.4859780633170763e-04
    56.00    20.402    1.2274504986359623e-01    5.9327387138913279e-04
    57.00    20.679    1.2258880680207354e-01    4.5762769859081232e-04
    58.00    20.954    1.2285577066262723e-01    5.5024817139148752e-04
    59.00    21.209    1.2244522606678819e-01    1.5324444978470630e-04
    60.00    21.443    1.2263114295821381e-01    4.9954732109874778e-04
    61.00    21.678    1.2250862113171630e-01    2.2022970126323038e-04
    62.00    21.912    1.2254981882950168e-01    3.2708000333181442e-04
    63.00    22.147    1.2253389988173323e-01    3.1485687392084072e-04
    64.00    22.381    1.2258035594649092e-01    4.6439897711736400e-04
    65.00    22.618    1.2256278627797372e-01    4.0353612813759376e-04
    66.00    22.855    1.2246076541798888e-01    2.1236218199299772e-04
    67.00    23.096    1.2276468062683897e-01    4.9387860907174064e-04
    68.00    23.335    1.2254547337088390e-01    3.2448056666600777e-04
    69.00    23.571    1.2286805558569719e-01    8.0097091084330163e-04
    70.00    23.803    1.2244756547010692e-01    4.2278124838901476e-04
    71.00    24.035    1.2249830624365332e-01    4.0397890642285272e-04
    72.00    24.270    1.2264847104197645e-01    8.7550507409583922e-04
    73.00    24.504    1.2242584789455700e-01    2.1926597098365086e-04
    74.00    24.736    1.2249613171525518e-01    2.2315760239732807e-04
    75.00    24.971    1.2248294174875826e-01    4.0291090493571602e-04
    76.00    25.208    1.2251139038682538e-01    1.9954073988326382e-04
    77.00    25.442    1.2264347336963705e-01    5.9848891490643652e-04
    78.00    25.685    1.2253145827927252e-01    2.5535492435328072e-04
    79.00    25.934    1.2247976739714944e-01    1.8287511483183749e-04
    80.00    26.170    1.2254221351742491e-01    4.6349922046738656e-04
    81.00    26.405    1.2242311731891983e-01    3.2289508972427328e-04
    82.00    26.641    1.2259001770808785e-01    5.9840895666996019e-04
    83.00    26.875    1.2236363864255104e-01    2.2431830867120084e-04
    84.00    27.110    1.2257562521141130e-01    5.4092231085134390e-04
    85.00    27.346    1.2240530478413389e-01    2.1331995698981032e-04
    86.00    27.579    1.2242547881349659e-01    3.5364973166673863e-04
    87.00    27.812    1.2242529186078206e-01    2.3367280565245174e-04
    88.00    28.047    1.2254631208961639e-01    3.4830576745372528e-04
    89.00    28.286    1.2238855077940410e-01    2.1213817990363426e-04
    90.00    28.525    1.2238272684587784e-01    1.6621967433576995e-04
    91.00    28.766    1.2283603347529704e-01    8.3240337958279120e-04
    92.00    29.007    1.2243834839593340e-01    3.3237010027581393e-04
    93.00    29.239    1.2247190655280614e-01    3.1373657990307890e-04
    94.00    29.473    1.2242789837848550e-01    2.4958829445742570e-04
    95.00    29.705    1.2242711374214466e-01    3.6579043208569140e-04
    96.00    29.940    1.2243351693954002e-01    2.3676760398280705e-04
    97.00    30.174    1.2247764590094799e-01    4.2427099164164817e-04
    98.00    30.419    1.2249375867119361e-01    4.4966044479077816e-04
    99.00    30.664    1.2250151446245670e-01    3.0163468186017450e-04
   100.00    30.916    1.2241952245063231e-01    3.3469111839856680e-04
   101.00    31.160    1.2249917539240025e-01    6.3669655107800871e-04
   102.00    31.403    1.2243145822566862e-01    2.8771742216021634e-04
   103.00    31.644    1.2242588496434006e-01    2.4995725457907514e-04
   104.00    31.918    1.2237672897474808e-01    1.9841987736324285e-04
   105.00    32.253    1.2237304334559332e-01    1.7731233309348227e-04
   106.00    32.575    1.2232585421846685e-01    1.4118854591038676e-04
   107.00    32.894    1.2231344509347788e-01    2.7358764470974961e-04
   108.00    33.216    1.2230034815072063e-01    2.2234412931587677e-04
   109.00    33.537    1.2238803131169523e-01    1.9908746066865657e-04
   110.00    33.811    1.2233271115867374e-01    2.8528433154129118e-04
   111.00    34.084    1.2240456077731780e-01    3.3091521716754890e-04
   112.00    34.356    1.2231353375994636e-01    1.9455626413194746e-04
   113.00    34.630    1.2232095554376832e-01    1.8007530544084105e-04
   114.00    34.903    1.2245397661930062e-01    3.8163896399501240e-04
   115.00    35.179    1.2238476514317945e-01    3.2071161842317508e-04
   116.00    35.450    1.2239874524783069e-01    2.1529694313340841e-04
   117.00    35.730    1.2237253723459675e-01    3.7662388972045657e-04
   118.00    36.011    1.2236782305798717e-01    2.5313302659757397e-04
   119.00    36.288    1.2232420905734560e-01    2.4969572572541843e-04
   120.00    36.580    1.2234384586151144e-01    2.2640643720017728e-04
   121.00    36.863    1.2233949828817588e-01    2.5834862918983070e-04
   122.00    37.138    1.2240592513279132e-01    4.3725742213363006e-04
   123.00    37.373    1.2241549742745385e-01    4.7096337921126441e-04
   124.00    37.620    1.2238194106384320e-01    3.6690950650047904e-04
   125.00    37.854    1.2230050952328289e-01    1.5484842305205082e-04
