    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6790287241954610e-01
     0.10     0.285    4.0698208663253471e-01    6.2302677078828334e-02
     0.20     0.577    3.4780132193121993e-01    4.7324681381283942e-02
     0.30     0.861    2.5184504193996804e-01    2.9537856345991653e-02
     0.40     1.151    2.3378812202538127e-01    2.5055434769850615e-02
     0.50     1.436    2.1608307656350478e-01    1.8812641191736534e-02
     0.60     1.729    2.0644531317947393e-01    1.6085156206073759e-02
     0.70     2.040    1.9922772383137224e-01    1.3802943867478157e-02
     0.80     2.326    1.9424395340026607e-01    1.2540572964369945e-02
     0.90     2.609    1.9118366135155609e-01    1.1896796775324070e-02
     1.00     2.895    1.8834204823865203e-01    1.1007208215634501e-02
     1.10     3.182    1.7456556103664209e-01    8.0868543497417678e-03
     1.20     3.471    1.6798012275946544e-01    7.2520843350803998e-03
     1.30     3.754    1.5892388888095524e-01    6.1016288530282292e-03
     1.40     4.046    1.5469833035912614e-01    5.5487421495674649e-03
     1.50     4.337    1.5104763957529369e-01    4.6094301877893651e-03
     1.60     4.628    1.4786899084991484e-01    3.9495511361368196e-03
     1.70     4.923    1.4528034828910294e-01    3.3760793226866870e-03
     1.80     5.223    1.4258799486124990e-01    2.8953937736323487e-03
     1.90     5.511    1.3982516235346054e-01    2.5378097616542972e-03
     2.00     5.801    1.3734772357643085e-01    1.9747981753996946e-03
     2.10     6.203    1.3492793004322706e-01    1.6626486566212462e-03
     2.20     6.656    1.3305124983058503e-01    1.5238040054358359e-03
     2.30     7.142    1.3089252430946899e-01    1.3045176137466141e-03
     2.40     7.605    1.2927833458639293e-01    1.2027993085990119e-03
     2.50     8.022    1.2834124613787801e-01    9.9233829953648822e-04
     2.60     8.553    1.2739118502326657e-01    8.2852410023814826e-04
     2.70     9.295    1.2648530371928079e-01    6.5144790577220668e-04
     2.80    10.267    1.2558160627152382e-01    5.0202775444385672e-04
     2.90    11.218    1.2484028138721640e-01    4.1862988524599132e-04
     3.00    12.297    1.2441228535519605e-01    2.9091021507299253e-04
     3.10    14.256    1.2381798221677949e-01    3.1086041309802415e-04
     3.20    15.595    1.2349559712444788e-01    2.5270164293478281e-04
     3.30    17.156    1.2310100179632251e-01    1.9960491138271141e-04
     3.40    19.047    1.2264785355173025e-01    1.6810089518226601e-04
     3.50    20.329    1.2256129031011968e-01    1.2862985238681901e-04
     3.60    21.772    1.2246971387983986e-01    1.0091787072674663e-04
     3.70    23.862    1.2240333604295392e-01    6.2686265812184061e-05
     3.80    26.731    1.2232614274715997e-01    3.6991212897241610e-05
     3.90    30.884    1.2222825113412086e-01    3.0954443235642337e-05
     4.00    33.289    1.2221580353420064e-01    2.8879351154031951e-05
     4.10    38.101    1.2217821607648986e-01    2.6263077270494151e-05
     4.20    40.926    1.2216793892376759e-01    2.4777366183226235e-05
     4.30    46.569    1.2211815791380223e-01    1.6090449608263668e-05
     4.40    54.517    1.2207121020221705e-01    8.3665970416202384e-06
     4.50    56.947    1.2207035672754875e-01    5.9862545129796274e-06
     4.60    60.392    1.2206971612966797e-01    5.9862545040978432e-06
     4.70    63.938    1.2206942514904634e-01    5.9862545040978432e-06
     4.80    67.261    1.2206730844585738e-01    5.7460681657239832e-06
     4.90    74.084    1.2206343808794740e-01    3.4670621678056790e-06
     5.00    74.859    1.2206335953642813e-01    3.6241544982829055e-06
     5.10    94.741    1.2206277426901836e-01    2.5108290988562487e-06
     5.20    97.870    1.2206276389303936e-01    2.5108290988562487e-06
     5.30   104.884    1.2206176462420898e-01    1.1178552137280917e-06
     5.40   117.728    1.2206147947164271e-01    1.8478417107559153e-07
     5.50   119.097    1.2206147933325374e-01    1.8470323448482873e-07
     5.60   120.034    1.2206147931046854e-01    1.8470321050401139e-07
     5.70   120.681    1.2206147930109588e-01    1.8470320961583298e-07
     5.80   122.184    1.2206147721007704e-01    1.7297793331039202e-07
     5.90   125.716    1.2206147491917498e-01    9.6480682998389966e-08
     6.00   126.056    1.2206147490324425e-01    9.6497500656766988e-08
     6.10   127.909    1.2206147443391940e-01    3.3620014772139939e-08
     6.20   128.252    1.2206147443390819e-01    3.3620014772139939e-08
     6.30   132.715    1.2206147432257169e-01    4.4067678395265375e-09
     6.40   139.931    1.2206147431899247e-01    1.5455081658899417e-10
