    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6790287241954610e-01
     2.00     4.536    3.1755984782162600e-01    4.7020969100613152e-02
     3.00     7.415    2.1910890368799746e-01    1.8599598482314406e-02
     4.00    10.734    1.6850180476752025e-01    7.5573268738737820e-03
     5.00    13.619    1.4162596613353412e-01    3.0004010718434060e-03
     6.00    15.972    1.2862714221209567e-01    1.0820175802668253e-03
     7.00    17.945    1.2361006470041852e-01    3.0690177127490337e-04
     8.00    19.800    1.2228033363734367e-01    6.0682198619321781e-05
     9.00    22.159    1.2207646946043674e-01    8.2308544580023124e-06
    10.00    29.672    1.2206172003470162e-01    1.2403294014085020e-06
    11.00    34.068    1.2206147479842133e-01    3.6702219041728767e-08
    12.00    37.323    1.2206147439624106e-01    1.9057607896291739e-09
    13.00    40.185    1.2206147432344912e-01    1.7891679938270531e-09
    14.00    42.377    1.2206147431898857e-01    2.0505375175616791e-11
