    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6790287241954610e-01
     2.00     2.918    4.1889096691183253e-01    7.0852211351042055e-02
     3.00     4.211    3.1696665455475415e-01    3.4444387221703898e-02
     4.00     5.476    2.5548665099709694e-01    1.4884048334342426e-02
     5.00     6.763    2.1072272801978195e-01    4.6466381073272389e-03
     6.00     8.050    1.6846511650136267e-01    3.3389609885916549e-03
     7.00     9.315    1.4487303403457913e-01    1.2944940947723360e-03
     8.00    10.582    1.3027994467857923e-01    6.0530869765229589e-04
     9.00    11.915    1.2386924702587029e-01    2.8957046259603381e-04
    10.00    13.277    1.2231257273218851e-01    3.8050631826269665e-05
    11.00    14.684    1.2208347333922766e-01    1.0629126133476774e-05
    12.00    16.295    1.2206215556438058e-01    1.7093571420545572e-06
    13.00    18.930    1.2206150383480516e-01    1.1471054306433359e-07
    14.00    24.836    1.2206147431975012e-01    4.7928760960047612e-09
    15.00    27.315    1.2206147431898860e-01    7.9714013168086240e-13
