    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059754332e-01    5.7864606222974825e-02
     4.00    41.468    5.3400032818296561e-01    2.8494826322494154e-02
     8.00    83.269    5.0675205905797316e-01    1.0416199021080963e-02
    12.00   125.088    4.9500934707643501e-01    6.6788512214891746e-03
    16.00   166.892    4.8824642311732303e-01    6.1801186731613644e-03
    20.00   208.715    4.8372994053737839e-01    4.8232770798398517e-03
    24.00   250.510    4.8055150445787770e-01    3.5958280571707626e-03
    28.00   292.313    4.7820428601004911e-01    2.7368962862864186e-03
    32.00   334.110    4.7621635393834028e-01    2.6488179081315911e-03
    36.00   375.921    4.7514612731262568e-01    2.0887860023766401e-03
    40.00   417.727    4.7413583240939916e-01    1.6044571726074868e-03
    44.00   459.533    4.7343395658357013e-01    1.4395573632347343e-03
    48.00   501.328    4.7274309783141372e-01    1.6251349816153525e-03
    52.00   543.123    4.7196292668284906e-01    1.4194232787069982e-03
    56.00   584.907    4.7144000161242788e-01    1.1811807384031795e-03
    60.00   626.706    4.7102696357663637e-01    1.3185694404855301e-03
    64.00   668.498    4.7064705733033141e-01    9.4498196393950592e-04
    68.00   710.305    4.7030916627167618e-01    1.1810776831709896e-03
    72.00   752.087    4.7006364019282793e-01    1.0989982056689041e-03
    76.00   793.885    4.6985999801874950e-01    9.3440218079024907e-04
    80.00   835.676    4.6965442862343570e-01    1.0679605344116601e-03
    84.00   877.484    4.6947265047910175e-01    1.2626340113768221e-03
    88.00   919.285    4.6931906528701178e-01    1.0633097359877572e-03
    92.00   961.077    4.6918507319085789e-01    7.3598538272932196e-04
    96.00  1002.880    4.6905731114347765e-01    6.1142184233344888e-04
   100.00  1044.674    4.6893419303259692e-01    5.6334330067885324e-04
   104.00  1086.468    4.6884080186791921e-01    5.8502236145512759e-04
   108.00  1128.268    4.6876395813578614e-01    6.4653899512008301e-04
   112.00  1170.066    4.6868903761122188e-01    6.5133195081608808e-04
   116.00  1211.865    4.6861131945029577e-01    4.6208393700662259e-04
   120.00  1253.659    4.6853695791014494e-01    4.4849670711039779e-04
   124.00  1295.460    4.6847918186896470e-01    6.6485479572111442e-04
   128.00  1337.255    4.6841845679331723e-01    6.1695344996205682e-04
   132.00  1379.057    4.6836003088357697e-01    2.9204718559634719e-04
   136.00  1420.844    4.6831346259272433e-01    4.1114860036030727e-04
   140.00  1462.630    4.6828137139150161e-01    4.4735938051573425e-04
   144.00  1504.441    4.6824800270261302e-01    3.2469916037456846e-04
   148.00  1546.231    4.6820315319834310e-01    2.9149749862557409e-04
   152.00  1588.023    4.6816877587875866e-01    3.2569236580808200e-04
   156.00  1629.805    4.6813910449341101e-01    3.2234469551877312e-04
   160.00  1671.596    4.6811033722824208e-01    3.1053059256931723e-04
   164.00  1713.387    4.6807577241107529e-01    2.4157174923458905e-04
   168.00  1755.197    4.6805124741540050e-01    2.8644945073068122e-04
   172.00  1797.001    4.6803318441229996e-01    1.6880143438450281e-04
   176.00  1838.812    4.6800560896499999e-01    2.4220362662355166e-04
   180.00  1880.600    4.6797169989101683e-01    2.4662995077677041e-04
   184.00  1922.392    4.6794633700839189e-01    2.2295578792968590e-04
   188.00  1964.185    4.6792429106278621e-01    2.4441008842243742e-04
   192.00  2005.979    4.6789952177692401e-01    2.0747524511817775e-04
   196.00  2047.754    4.6787772662821658e-01    2.8079959136548765e-04
   200.00  2089.541    4.6785930108043883e-01    1.7364311296256624e-04
   204.00  2131.326    4.6783822604960906e-01    1.8108664245450261e-04
   208.00  2173.130    4.6781835212065448e-01    2.1554566594695956e-04
   212.00  2214.910    4.6780242243328235e-01    1.7165698353523520e-04
   216.00  2256.708    4.6778231608596088e-01    1.8573419672544481e-04
   220.00  2298.478    4.6776634792658278e-01    1.3517472906728341e-04
   224.00  2340.267    4.6775644437499375e-01    1.6840895742814584e-04
   228.00  2382.033    4.6774329337005799e-01    1.2225672547448447e-04
   232.00  2423.805    4.6773074116151769e-01    1.5122302169132547e-04
   236.00  2465.579    4.6772368164216582e-01    1.2943812038020947e-04
   240.00  2507.352    4.6771315774599737e-01    1.1382350807477417e-04
   244.00  2549.135    4.6769848922021157e-01    1.6319582543693184e-04
   248.00  2590.910    4.6769250125255390e-01    1.1444531101406702e-04
   252.00  2632.695    4.6768354608802726e-01    8.3649847531173753e-05
   256.00  2674.498    4.6767461327960114e-01    9.4407622448828096e-05
   260.00  2716.295    4.6767010781475282e-01    8.6817631217141767e-05
   264.00  2758.098    4.6766357558117500e-01    9.5764152079706887e-05
   268.00  2799.887    4.6765562519213316e-01    1.4845559335139490e-04
   272.00  2841.672    4.6765103680921888e-01    8.5348173919630159e-05
   276.00  2883.460    4.6764041227271658e-01    7.1410394534441882e-05
   280.00  2925.239    4.6763654427803097e-01    7.3548597390681866e-05
   284.00  2967.066    4.6762971104759338e-01    1.0168367898362147e-04
   288.00  3008.856    4.6762299294831133e-01    8.4621390099717396e-05
   292.00  3050.663    4.6761947042155205e-01    8.3932631136136865e-05
   296.00  3092.449    4.6761024942174406e-01    6.8365915100578877e-05
   300.00  3134.254    4.6760545252439495e-01    8.6564421436019363e-05
   304.00  3176.049    4.6760143037469010e-01    7.1836822513035757e-05
   308.00  3217.840    4.6759423189639859e-01    8.3426451825197926e-05
   312.00  3259.637    4.6759153331892134e-01    6.8984832438200106e-05
   316.00  3301.421    4.6758633547950351e-01    6.3372759185786098e-05
   320.00  3343.206    4.6758049095913401e-01    8.1378131332217256e-05
   324.00  3384.994    4.6757757331695021e-01    6.9433690632624275e-05
   328.00  3426.792    4.6757187590773419e-01    6.5024382230484737e-05
   332.00  3468.593    4.6756796223725094e-01    8.4905903293318061e-05
   336.00  3510.394    4.6756277494634157e-01    5.9229597953772324e-05
   340.00  3552.230    4.6755807713115488e-01    6.4626152613912990e-05
   344.00  3594.032    4.6755605630157987e-01    5.6015018997998492e-05
   348.00  3635.822    4.6755118671650514e-01    6.4398464239982315e-05
   352.00  3677.625    4.6754873552012033e-01    6.7375064901769314e-05
   356.00  3719.423    4.6754611275936325e-01    6.2463403958755364e-05
   360.00  3761.216    4.6754087206396205e-01    6.4727387927104697e-05
   364.00  3803.014    4.6753907992035459e-01    4.9595570939119741e-05
   368.00  3844.796    4.6753522103116413e-01    4.4259817694962702e-05
   372.00  3886.596    4.6753248477140930e-01    7.0873299733864584e-05
   376.00  3928.404    4.6752909938275883e-01    4.3661843166100078e-05
   380.00  3970.187    4.6752448696105309e-01    6.4185041783073511e-05
   384.00  4011.990    4.6752247069686592e-01    5.1544430440112339e-05
   388.00  4053.777    4.6751842127526144e-01    4.6515729984264921e-05
   392.00  4095.575    4.6751641452054776e-01    5.8503674370672544e-05
   396.00  4137.376    4.6751246825105985e-01    3.9648976697474664e-05
   400.00  4179.170    4.6750938542001896e-01    5.9594945530973530e-05
   404.00  4220.963    4.6750739377620804e-01    4.0999069200652619e-05
   408.00  4262.763    4.6750204842102661e-01    6.0492685125127193e-05
   412.00  4304.556    4.6750030823211847e-01    4.5664643558941186e-05
   416.00  4346.347    4.6749550343416901e-01    6.0514216701593841e-05
   420.00  4388.147    4.6749298637165515e-01    5.2168923989180049e-05
   424.00  4429.943    4.6748958222991366e-01    6.3974113721807275e-05
   428.00  4471.748    4.6748520246216169e-01    5.5454039077174115e-05
   432.00  4513.553    4.6748334561260857e-01    4.1808611423457108e-05
   436.00  4555.374    4.6747877189059056e-01    5.6592473156171520e-05
   440.00  4597.194    4.6747739390318405e-01    4.4367092798881552e-05
   444.00  4639.002    4.6747285605241012e-01    4.2852143983492415e-05
   448.00  4680.815    4.6747121200189512e-01    4.7977334939890213e-05
   452.00  4722.623    4.6746824564486128e-01    3.7539678740848621e-05
   456.00  4764.422    4.6746619643465470e-01    4.6041200289217254e-05
   460.00  4806.249    4.6746402183109326e-01    2.9085009849567454e-05
   464.00  4848.040    4.6746150236324308e-01    3.7934300592595065e-05
   468.00  4889.922    4.6746035052766916e-01    2.7698258657220813e-05
   472.00  4931.743    4.6745762882283048e-01    3.4509917207975469e-05
   476.00  4973.566    4.6745678458962797e-01    2.9426514445323407e-05
   480.00  5015.367    4.6745383266045842e-01    3.3871608152442760e-05
   484.00  5057.174    4.6745290283635121e-01    2.5745520189772285e-05
   488.00  5098.969    4.6745039944869660e-01    3.0786919501498047e-05
   492.00  5140.787    4.6744915553697020e-01    2.9067047208191018e-05
   496.00  5182.585    4.6744742812223045e-01    2.8462445699353244e-05
   500.00  5224.400    4.6744561767596104e-01    3.6514978060436795e-05
