    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059754332e-01    5.7864606222974825e-02
     4.00    41.498    6.5126081576168038e-01    3.9090579851693938e-02
     8.00    83.495    5.1851419114633679e-01    1.4820145531240446e-02
    12.00   125.464    5.0358071498180323e-01    1.0864961283050647e-02
    16.00   167.428    4.9350627738608210e-01    7.5068017398185229e-03
    20.00   209.407    4.8372929589795882e-01    3.5411063465701793e-03
    24.00   251.374    4.8040896306122066e-01    4.3669973922166091e-03
    28.00   293.322    4.7871308196444140e-01    2.3503591836066353e-03
    32.00   335.284    4.7552460492390053e-01    1.4879448141176771e-03
    36.00   377.199    4.7442115556371450e-01    1.4971811053483724e-03
    40.00   419.115    4.7403699653690456e-01    2.8875167744904910e-03
    44.00   461.056    4.7327834803371355e-01    1.3729747059899264e-03
    48.00   503.000    4.7228999406724209e-01    2.8105022155270852e-03
    52.00   544.965    4.7149462577331325e-01    1.2424797029175225e-03
    56.00   586.938    4.7130041402755402e-01    1.0337517673803356e-03
    60.00   628.923    4.7071218196332520e-01    1.7868607575377176e-03
    64.00   670.884    4.7067744127521655e-01    2.7480279200503849e-03
    68.00   712.818    4.7038092989963831e-01    1.4982496009333841e-03
    72.00   754.766    4.7009121993745950e-01    8.9279484200975459e-04
    76.00   796.733    4.6981301480274762e-01    2.3630537636728779e-03
    80.00   838.672    4.6968319228496702e-01    4.8986726028303021e-04
    88.00   922.580    4.6939458917789401e-01    6.5903349430493504e-04
    92.00   964.496    4.6927248501856583e-01    1.8089952380455259e-03
    96.00  1006.429    4.6914149734019178e-01    5.5259996594792470e-04
   100.00  1048.381    4.6895280258305244e-01    6.7033584686817149e-04
   108.00  1132.284    4.6876232294012066e-01    6.7238383499742768e-04
   112.00  1174.207    4.6867513444089942e-01    5.4690447433561546e-04
   116.00  1216.161    4.6857264426042117e-01    3.2652969304711106e-04
   120.00  1258.145    4.6853680249579754e-01    3.6913035318501553e-04
   124.00  1300.101    4.6846911383056650e-01    6.4828560503566563e-04
   128.00  1342.070    4.6837898317554411e-01    6.8364042132680819e-04
   132.00  1384.046    4.6832896079588299e-01    1.2137289025544137e-03
   136.00  1426.001    4.6829077781503153e-01    3.6495759998509254e-04
   140.00  1467.954    4.6825288818777189e-01    3.0332963750784282e-04
   148.00  1551.734    4.6820515096228232e-01    5.5637527285468601e-04
   152.00  1593.684    4.6817199383386277e-01    4.1436265698398695e-04
   164.00  1719.539    4.6809806057733971e-01    3.4822404501368593e-04
   172.00  1803.373    4.6803568946077462e-01    2.9880660176088769e-04
   180.00  1887.226    4.6797424177988378e-01    3.0194870886556744e-04
   184.00  1929.191    4.6795595251132477e-01    7.3535636794647293e-04
   188.00  1971.118    4.6791894108164173e-01    2.8838150667417607e-04
   192.00  2013.095    4.6790068867895346e-01    5.0639144339706117e-04
   196.00  2054.987    4.6787579414986186e-01    2.2695243840321457e-04
   200.00  2096.942    4.6786471012781894e-01    1.5833403250695244e-04
   208.00  2180.778    4.6782024230396269e-01    2.0283422063162318e-04
   212.00  2222.698    4.6779605052096879e-01    4.4186918915470954e-04
   216.00  2264.616    4.6777671470065380e-01    2.1255779847809608e-04
   220.00  2306.439    4.6776716275522112e-01    2.0416408311943433e-04
   224.00  2348.266    4.6775487762803164e-01    2.2609913765062235e-04
   236.00  2473.657    4.6772894409775490e-01    1.4668273321324389e-04
