    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059754332e-01    5.7864606222974825e-02
     0.10   331.874    4.6763230382946286e-01    9.7066326161773157e-04
     0.20   663.792    4.6745049534845085e-01    4.8989932366161999e-04
     0.30   995.554    4.6740389010836991e-01    3.7398180254963082e-04
     0.40  1327.229    4.6738760160859338e-01    2.5453445846381769e-04
     0.50  1658.754    4.6737636443408825e-01    1.8833570225123178e-04
     0.60  1990.299    4.6736290265126224e-01    1.5985045816068220e-04
     0.70  2321.886    4.6735537531227089e-01    1.3318392380346747e-04
     0.80  2653.552    4.6735114106609804e-01    1.1642967359684011e-04
     0.90  2990.846    4.6734742918768407e-01    1.2275870845886681e-04
     1.00  3332.722    4.6734530238854866e-01    1.1112587615526466e-04
     1.10  3664.415    4.6734338485982235e-01    2.5943410233056117e-06
     1.20  3996.338    4.6734333393453031e-01    1.5851157153536337e-06
     1.30  4328.120    4.6734331114233540e-01    1.0772848544447321e-06
     1.40  4659.803    4.6734330181125017e-01    7.4438606138212278e-07
     1.50  4991.347    4.6734329644812678e-01    4.8619716485853902e-07
     1.60  5322.912    4.6734329357937621e-01    2.9838467196348537e-07
     1.70  5654.522    4.6734329218446613e-01    1.7789394391948735e-07
     1.80  5986.213    4.6734329169452343e-01    9.8139978828202932e-08
     1.90  6323.459    4.6734329144983805e-01    4.3561726039989896e-08
     2.00  6665.316    4.6734329135662828e-01    8.9293907266111602e-09
     2.10  6997.018    4.6734329134261371e-01    4.2488863692633224e-09
     2.20  7328.915    4.6734329133904468e-01    2.1931299090737249e-09
     2.30  7660.699    4.6734329133792318e-01    1.0461688057537409e-09
     2.40  7992.386    4.6734329133772873e-01    5.2458581251725442e-10
