    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059754332e-01    5.7864606222974825e-02
     1.00   361.841    5.3426329425878893e-01    3.3193584969222450e-02
     2.00   596.410    4.9251995769943235e-01    1.7900651829156213e-02
     3.00   830.429    4.9924030082377585e-01    4.3959882427198928e-02
     4.00  1064.447    4.7407388874667550e-01    1.1109294506323777e-02
     5.00  1298.511    4.7123338585573377e-01    5.8796578608912463e-03
     6.00  1532.356    4.7016372261486400e-01    1.0848693427283704e-02
     7.00  1766.027    4.6858991022279634e-01    7.8040521994388115e-03
     8.00  1999.564    4.6773959323910802e-01    1.5970536128446745e-03
     9.00  2232.856    4.6763178258433669e-01    3.3518683483830490e-03
    10.00  2465.869    4.6759591575524612e-01    3.2848800838198976e-03
    11.00  2698.850    4.6759181936964261e-01    4.0179840611882468e-03
    12.00  2931.804    4.6740223539410297e-01    1.3132000299517028e-03
    13.00  3164.778    4.6737150300891389e-01    5.7930782265497511e-04
    14.00  3397.887    4.6735681725809869e-01    2.9363279938023583e-04
    15.00  3630.403    4.6735184473417501e-01    2.9532629794035197e-04
    16.00  3862.621    4.6735003817080223e-01    1.9296714128296308e-04
    17.00  4094.419    4.6734866995307611e-01    2.0234732962226654e-04
    18.00  4326.162    4.6734825505226135e-01    2.8075729113805883e-04
    19.00  4557.851    4.6734699921996675e-01    6.5580311494612079e-05
    20.00  4789.243    4.6734661448192971e-01    7.7844125607400371e-05
    21.00  5020.297    4.6734631201261251e-01    4.6697987262183697e-05
    22.00  5250.971    4.6734599619361861e-01    3.5643953562369437e-05
    23.00  5481.281    4.6734580245052498e-01    3.8056355852948992e-05
    24.00  5711.360    4.6734561065678293e-01    1.6425739915951530e-05
    25.00  5941.151    4.6734544210345341e-01    8.4824007669978699e-06
    26.00  6170.903    4.6734529776167971e-01    1.2872676567934941e-05
    27.00  6400.624    4.6734516643556062e-01    6.1256142243175850e-06
    28.00  6630.873    4.6734504540677690e-01    6.4312169246562052e-06
    29.00  6860.698    4.6734493484211476e-01    2.1059295896631481e-06
    30.00  7090.538    4.6734483358255152e-01    4.8774310412328277e-06
    31.00  7320.850    4.6734474002712562e-01    2.1185520182418543e-06
    32.00  7550.645    4.6734465380250406e-01    1.7952024355218774e-06
    33.00  7780.394    4.6734457398721652e-01    3.3046899282524215e-06
    34.00  8010.104    4.6734449988251692e-01    1.9297548007711164e-06
    35.00  8239.919    4.6734443107822221e-01    1.3064366939387595e-06
    36.00  8469.717    4.6734436702620591e-01    1.2083573699298963e-06
    37.00  8699.452    4.6734430742520300e-01    2.9327809683641489e-06
    38.00  8929.233    4.6734425175458094e-01    1.1425928280265423e-06
    39.00  9158.972    4.6734419981537278e-01    2.3816831825360945e-06
    40.00  9389.070    4.6734415110573019e-01    6.7005204662739599e-07
    41.00  9618.969    4.6734410556825445e-01    1.1287088934920843e-06
    42.00  9848.841    4.6734406285517893e-01    7.8169241856280214e-07
    43.00 10079.058    4.6734402281975618e-01    8.1929608045611867e-07
    44.00 10308.817    4.6734398526805604e-01    2.1840144765126635e-06
    45.00 10538.585    4.6734394993677719e-01    1.9424712918391968e-06
    46.00 10768.386    4.6734391668928543e-01    1.3186912853580635e-06
    47.00 10998.183    4.6734388538895261e-01    1.1166239523172317e-06
    48.00 11227.950    4.6734385591995781e-01    1.2068884646797112e-06
    49.00 11457.753    4.6734382811337805e-01    6.9477730592524812e-07
    50.00 11687.518    4.6734380189597302e-01    6.9999990470232419e-07
    51.00 11917.356    4.6734377714918396e-01    1.1409876405932687e-06
    52.00 12147.150    4.6734375378447163e-01    2.1355357050098704e-06
    53.00 12376.917    4.6734373168258631e-01    1.8297076902792695e-06
    54.00 12606.647    4.6734371072995140e-01    8.9700422821892057e-07
    55.00 12836.383    4.6734369092994321e-01    3.5245956589668361e-07
    56.00 13066.088    4.6734367219184531e-01    1.2442664187553720e-06
    57.00 13295.865    4.6734365443087922e-01    1.2885130960206251e-06
    58.00 13525.613    4.6734363759831926e-01    1.2719508969049541e-06
    59.00 13755.434    4.6734362160470416e-01    4.4604152378877281e-07
    60.00 13985.198    4.6734360646142886e-01    1.2360985847393467e-06
    61.00 14214.979    4.6734359206783121e-01    3.6514782299631101e-07
    62.00 14444.719    4.6734357842118679e-01    1.0216396424711450e-06
    63.00 14674.499    4.6734356545531097e-01    1.5441204808013861e-06
    64.00 14904.303    4.6734355313852383e-01    1.9724058681922897e-06
    65.00 15134.088    4.6734354137154122e-01    7.8520161225259172e-07
