    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059754332e-01    5.7864606222974825e-02
     1.00   320.079    4.8696106664940203e-01    3.2998444690232144e-02
     2.00   639.318    4.7677154142547568e-01    1.8527594219726627e-02
     3.00   958.460    4.7549278208963558e-01    2.2240321070355212e-02
     4.00  1277.439    4.7986460214079957e-01    2.8023019948456896e-02
     5.00  1596.364    4.7226403344948792e-01    1.8041683071489990e-02
     6.00  1915.281    4.7153152630457285e-01    1.0901551060156833e-02
     7.00  2234.230    4.7577123295013463e-01    2.2471804426353683e-02
     8.00  2553.104    4.7036568441904097e-01    8.3189734793366783e-03
     9.00  2872.095    4.6964560011870399e-01    1.0726497476421553e-02
    10.00  3191.121    4.7206287761511401e-01    1.7812363265276968e-02
    11.00  3510.334    4.7180909999455972e-01    1.6686656437328189e-02
    12.00  3829.598    4.6917082481220990e-01    5.4153519166664551e-03
    13.00  4148.907    4.6901496626471118e-01    5.9701311354322080e-03
    14.00  4468.214    4.6998118704492581e-01    9.9102933216100048e-03
    15.00  4787.441    4.6843332967723078e-01    3.9869652227126386e-03
    16.00  5106.628    4.6866343719018944e-01    5.9428814552906642e-03
    17.00  5425.741    4.6860567367228800e-01    4.4878306368526929e-03
    18.00  5744.864    4.6909458620791461e-01    1.0248957540122904e-02
    19.00  6063.957    4.7101022348551141e-01    1.5588156255886632e-02
    20.00  6382.990    4.7129390211003930e-01    1.5839618556934377e-02
    21.00  6702.022    4.6825213918227160e-01    3.1778070856125847e-03
    22.00  7021.072    4.6916562947120938e-01    9.9925061397239043e-03
    23.00  7340.114    4.6836628425348303e-01    6.7955534523185691e-03
    24.00  7659.156    4.6923483079084349e-01    1.1461805220942223e-02
    25.00  7978.376    4.6997076661023995e-01    1.4412594886615362e-02
    26.00  8297.592    4.6818242781118613e-01    5.9366291913446039e-03
    27.00  8616.846    4.7025887532790261e-01    1.5982126828317747e-02
    28.00  8936.095    4.6891469107184158e-01    9.6119392964703638e-03
    29.00  9255.332    4.6813093770625308e-01    5.6350828233498167e-03
    30.00  9574.611    4.6902871079446423e-01    9.5878660996288004e-03
    31.00  9893.917    4.6825494533129602e-01    4.4596994168847491e-03
    32.00 10213.169    4.6832154206252075e-01    5.8783437021139853e-03
    33.00 10532.407    4.6896787423838593e-01    1.0247868259354930e-02
    34.00 10851.631    4.6837383947076067e-01    6.9506193063701063e-03
    35.00 11170.934    4.6787020617399477e-01    1.9231458010252986e-03
    36.00 11490.225    4.6797098164755269e-01    2.4913896967538704e-03
    37.00 11809.464    4.6969622837413216e-01    1.2657854589860039e-02
    38.00 12128.461    4.6780362102799483e-01    2.2787733264648482e-03
    39.00 12446.687    4.6815907781177046e-01    4.9030207627306244e-03
    40.00 12764.391    4.6778631248196656e-01    1.8386672348567434e-03
    41.00 13081.544    4.6816258650374482e-01    7.2839242380294666e-03
    42.00 13398.282    4.6846207722896843e-01    9.1645793043628361e-03
    43.00 13714.475    4.6842520970681550e-01    7.6974058970328170e-03
    44.00 14029.756    4.6859238515225349e-01    8.7797168147183656e-03
    45.00 14344.693    4.6793422868912748e-01    4.7092984710030939e-03
    46.00 14659.298    4.6771011449421002e-01    1.7040944451837241e-03
    47.00 14973.247    4.6797727208552931e-01    5.3456500159282322e-03
    48.00 15286.576    4.6794635903073506e-01    4.5282887332486494e-03
    49.00 15599.346    4.6773058277627716e-01    2.5597619203320361e-03
    50.00 15911.724    4.6770762516157854e-01    2.3528099042719936e-03
    51.00 16223.324    4.6770947874451746e-01    3.4365428009336344e-03
    52.00 16534.173    4.6781547312820421e-01    4.4330660652078047e-03
    53.00 16844.842    4.6822569671084929e-01    7.0958785152815725e-03
    54.00 17155.524    4.6790952351210180e-01    5.4918772674754030e-03
    55.00 17465.981    4.6897541473555265e-01    1.0340947973459521e-02
    56.00 17775.797    4.6781711708227031e-01    3.9897279148875487e-03
    57.00 18085.064    4.6786244555071049e-01    4.6293452508459777e-03
    58.00 18393.920    4.6775063720353960e-01    4.3247953331529412e-03
    59.00 18702.482    4.6764752619527827e-01    1.9637202013648206e-03
    60.00 19010.392    4.6786733395497099e-01    5.1780171409003045e-03
    61.00 19317.755    4.6838913863100395e-01    8.4078113943832685e-03
    62.00 19624.890    4.6798922603466886e-01    6.0563874390909562e-03
    63.00 19931.809    4.6794345805488241e-01    5.6118962260836023e-03
    64.00 20238.354    4.6778298690631953e-01    2.5263918769418423e-03
