    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0236336779911376e-01
     4.00     0.007    1.9214633536634773e-01    4.5933035576947424e-02
     8.00     0.014    9.3425979959831720e-02    9.8761615022143114e-03
    12.00     0.023    7.6784197931963991e-02    1.1773120798549218e-02
    16.00     0.029    5.6215899840048926e-02    7.4873332563056517e-03
    20.00     0.035    4.7604508013043251e-02    5.3737815265560047e-03
    24.00     0.044    2.9308455040282209e-02    3.9268846376042830e-03
    28.00     0.050    2.7327723856280899e-02    3.2073820648806728e-03
    32.00     0.056    2.4998468042089425e-02    4.2306470376406525e-03
    36.00     0.064    2.3177112367747523e-02    2.4947251173153971e-03
    40.00     0.070    1.8649994526379721e-02    2.3072109897433668e-03
    44.00     0.075    1.8077216321753672e-02    1.6190534794484767e-03
    48.00     0.088    1.6311844506164290e-02    7.1553015530607033e-04
    52.00     0.094    1.6237559916989216e-02    6.3547680702032432e-04
    56.00     0.099    1.5353687034757651e-02    7.8385204428453278e-04
    60.00     0.111    1.5245655326926563e-02    2.9336503428871902e-04
    64.00     0.117    1.5154119239392682e-02    3.9041476269528866e-04
    68.00     0.123    1.4806261431388325e-02    2.1558369934490882e-04
    72.00     0.131    1.4797263992625365e-02    1.6078399628147261e-04
    76.00     0.139    1.4701174313003130e-02    2.0826536130687831e-04
    80.00     0.145    1.4604189192616284e-02    1.7237343660466030e-04
    84.00     0.153    1.4598014920185984e-02    1.2463355309000882e-04
    88.00     0.161    1.4545116434663802e-02    8.7798453471945285e-05
    92.00     0.167    1.4541652310777940e-02    7.1355205434313871e-05
    96.00     0.175    1.4527913256479386e-02    5.6600896389986909e-05
   100.00     0.184    1.4515452567342144e-02    7.9966527028042342e-05
   104.00     0.189    1.4513569106941912e-02    4.0591644578357166e-05
   108.00     0.197    1.4500534680387343e-02    5.7307610898356016e-05
   112.00     0.205    1.4500001943174492e-02    5.5537928215275516e-05
   116.00     0.211    1.4494619746017602e-02    3.5372550968024459e-05
   120.00     0.218    1.4491540870056382e-02    2.7529904222252467e-05
   124.00     0.226    1.4491160063490750e-02    2.2632426998683735e-05
   128.00     0.233    1.4487807299580902e-02    1.5052873804800371e-05
   132.00     0.239    1.4487648686110178e-02    9.5108242294371878e-06
   136.00     0.246    1.4487281640263923e-02    7.0745294261272299e-06
   140.00     0.253    1.4486535256872348e-02    8.4041349787159277e-06
   144.00     0.259    1.4486518237081532e-02    5.8861552762485750e-06
   148.00     0.270    1.4486192765755114e-02    5.5708188940573842e-06
   152.00     0.276    1.4486096444097405e-02    4.1759640998159788e-06
   156.00     0.281    1.4486071081061213e-02    3.0647065643484026e-06
   160.00     0.290    1.4485955208029051e-02    3.6038669844379093e-06
   164.00     0.296    1.4485952883207066e-02    3.1158901086454012e-06
   168.00     0.302    1.4485916558160731e-02    1.9372800178505938e-06
   172.00     0.311    1.4485892057244817e-02    1.8063467249627712e-06
   176.00     0.320    1.4485890706113429e-02    1.6449044657632645e-06
   180.00     0.326    1.4485876959088130e-02    1.5007949381672087e-06
   184.00     0.334    1.4485876030194616e-02    8.1090615833856483e-07
   188.00     0.342    1.4485873870806099e-02    5.6394146044561965e-07
   192.00     0.348    1.4485869689207162e-02    4.8216341730820223e-07
   196.00     0.355    1.4485869627528444e-02    3.9251929704179521e-07
   200.00     0.363    1.4485868096507468e-02    3.1998145220418868e-07
   204.00     0.369    1.4485867204624223e-02    2.9963597438297738e-07
   208.00     0.376    1.4485867142887927e-02    2.2998218407218593e-07
   212.00     0.383    1.4485866452609051e-02    1.9058459652261504e-07
   216.00     0.390    1.4485866397994394e-02    1.4709867979188074e-07
   220.00     0.397    1.4485866364351251e-02    1.0121928208835511e-07
   224.00     0.403    1.4485866197130239e-02    5.8598898959523775e-08
   228.00     0.410    1.4485866195010619e-02    5.0258316400111425e-08
   232.00     0.416    1.4485866179173768e-02    3.8232472737445055e-08
   236.00     0.423    1.4485866143770280e-02    3.4407075124083953e-08
   240.00     0.430    1.4485866143473500e-02    2.7484203508551519e-08
   244.00     0.436    1.4485866136216698e-02    1.7521246634644128e-08
   248.00     0.444    1.4485866131373541e-02    1.4268606490619966e-08
   252.00     0.453    1.4485866131240262e-02    1.4449199300728546e-08
   256.00     0.458    1.4485866129390217e-02    7.4956606224382046e-09
   260.00     0.465    1.4485866129147745e-02    7.2604246192830755e-09
   264.00     0.474    1.4485866129036547e-02    5.3004834379879583e-09
   268.00     0.480    1.4485866128516642e-02    4.9086970112598676e-09
   272.00     0.487    1.4485866128510688e-02    3.6545452264909249e-09
   276.00     0.495    1.4485866128458359e-02    2.4175341304435429e-09
   280.00     0.502    1.4485866128377597e-02    1.8307199753278113e-09
   284.00     0.512    1.4485866128376722e-02    1.6489955333826543e-09
   288.00     0.518    1.4485866128356522e-02    1.0716008619807258e-09
   292.00     0.524    1.4485866128346540e-02    1.1749791256870489e-09
   296.00     0.533    1.4485866128345928e-02    7.2886278387534684e-10
