    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0236336779911376e-01
     2.00     0.009    2.7308301932285539e-01    7.5016793568936285e-02
     3.00     0.014    1.1754442091164838e-01    2.2576063023916713e-02
     4.00     0.025    4.0381289485303590e-02    9.1944588158659746e-03
     5.00     0.034    2.1069869491193438e-02    3.4409843734130230e-03
     6.00     0.043    1.5986984695526715e-02    1.1784187779392418e-03
     7.00     0.058    1.4742979894707570e-02    2.9505250742765081e-04
     8.00     0.074    1.4505119986772841e-02    6.9104968850896274e-05
     9.00     0.096    1.4485957601657339e-02    5.4850740441780756e-06
    10.00     0.128    1.4485866131400960e-02    3.0683003309980861e-08
    11.00     0.164    1.4485866128334253e-02    2.5826315302383655e-12
