    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0236336779911376e-01
     4.00     0.008    1.5123543858275859e-01    3.2099325778277232e-02
     8.00     0.014    3.3682278911177470e-02    4.5516301277507103e-03
    12.00     0.022    1.5784656893453142e-02    1.3037908820691983e-03
    16.00     0.030    1.4957319136758950e-02    5.4925825158735095e-04
    20.00     0.036    1.4573169026240992e-02    1.4767063741359597e-04
    24.00     0.042    1.4500092548451650e-02    4.5626720618449976e-05
    28.00     0.050    1.4488954703060435e-02    5.7926585283231013e-05
    32.00     0.056    1.4486969441718817e-02    1.7526199089243126e-05
    36.00     0.062    1.4486329047168189e-02    8.0014042536301707e-06
    40.00     0.071    1.4485953710997385e-02    3.2863952647550784e-06
    44.00     0.078    1.4485910973011742e-02    3.4472259465147865e-06
    48.00     0.084    1.4485875744386178e-02    8.1971191941998487e-07
    52.00     0.091    1.4485867528150891e-02    4.5076422518662012e-07
    56.00     0.100    1.4485866586060943e-02    4.5175931075630603e-07
    60.00     0.106    1.4485866274757515e-02    1.5478550349521465e-07
    64.00     0.114    1.4485866151447823e-02    5.1324418170543729e-08
    68.00     0.124    1.4485866134185447e-02    2.3973504911269095e-08
    72.00     0.130    1.4485866130778740e-02    3.8681948035363095e-08
    76.00     0.138    1.4485866128513740e-02    8.0295242585993906e-09
    80.00     0.146    1.4485866128385212e-02    4.5504642494289816e-09
    84.00     0.152    1.4485866128349015e-02    1.1366023866039203e-09
    88.00     0.159    1.4485866128337140e-02    1.0456734139056671e-09
    92.00     0.166    1.4485866128334801e-02    3.3497848161219597e-10
