    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0236336779911376e-01
     1.00     0.008    7.9570111756045780e-02    1.1071945905727507e-02
     2.00     0.015    6.6920866355546713e-02    2.2717068490657514e-03
     3.00     0.023    5.8746235031251703e-02    1.5395112330796545e-03
     4.00     0.030    4.6373771481432610e-02    1.7539945154994832e-03
     5.00     0.039    3.5608317030332570e-02    2.0817019168061575e-03
     6.00     0.047    2.5863795554789508e-02    1.1227732448566216e-03
     7.00     0.054    2.0232844792833368e-02    1.0249128740188916e-03
     8.00     0.061    1.6762027114616308e-02    4.3363749094377371e-04
     9.00     0.069    1.5367336264993779e-02    8.4770483934935761e-04
    10.00     0.075    1.4801102900946281e-02    1.1097743132687113e-04
    11.00     0.082    1.4666895619736301e-02    1.7353003606575176e-04
    12.00     0.089    1.4581638342342083e-02    1.9188757516415555e-04
    13.00     0.097    1.4534381283981044e-02    1.4140633083435978e-04
    14.00     0.104    1.4513975768376755e-02    1.8118185390759845e-04
    15.00     0.111    1.4499913501935798e-02    4.6266360125634040e-05
    16.00     0.118    1.4494119048178183e-02    6.0950321933615173e-05
    17.00     0.124    1.4490400690615813e-02    1.9419714644679844e-05
    18.00     0.132    1.4488558763311328e-02    1.1505734283890289e-05
    19.00     0.140    1.4487485800907331e-02    7.7190216424018990e-06
    20.00     0.146    1.4486853766756787e-02    6.0358398623932739e-06
    21.00     0.155    1.4486481401058135e-02    8.2005991348923292e-06
    22.00     0.163    1.4486257604875256e-02    1.0443220418525256e-05
    23.00     0.169    1.4486107941237444e-02    7.1941819217290265e-06
    24.00     0.177    1.4486017155065516e-02    5.2285740048720741e-06
    25.00     0.186    1.4485960347314870e-02    2.0246330242603140e-06
    26.00     0.192    1.4485926017456491e-02    1.4826181898695852e-06
    27.00     0.199    1.4485904282449622e-02    1.2123275722236862e-06
    28.00     0.210    1.4485890556695469e-02    9.9118672371234512e-07
    29.00     0.216    1.4485881834861745e-02    8.1062518968523771e-07
    30.00     0.223    1.4485876272577221e-02    6.6357069421743641e-07
    31.00     0.231    1.4485872685239973e-02    5.4321464755465774e-07
    32.00     0.238    1.4485870382542737e-02    4.4487055221062224e-07
    33.00     0.244    1.4485868895352277e-02    3.6428059119169822e-07
    34.00     0.251    1.4485867931530354e-02    2.9834068765711150e-07
    35.00     0.259    1.4485867307860795e-02    2.4430820960183825e-07
    36.00     0.264    1.4485866901046699e-02    2.0022997513208696e-07
    37.00     0.272    1.4485866636121959e-02    1.6408071566349835e-07
    38.00     0.282    1.4485866461976840e-02    1.3454491793838834e-07
    39.00     0.287    1.4485866348281130e-02    1.1031791557308354e-07
    40.00     0.295    1.4485866273482589e-02    9.0468958453526925e-08
    41.00     0.305    1.4485866224219691e-02    7.4180578208979041e-08
    42.00     0.311    1.4485866191789371e-02    6.0850141179538375e-08
    43.00     0.319    1.4485866170367720e-02    4.9914446786586806e-08
    44.00     0.327    1.4485866156209663e-02    4.0946146546315924e-08
    45.00     0.334    1.4485866146843059e-02    3.3594010622740594e-08
    46.00     0.342    1.4485866140635899e-02    2.7559275744305778e-08
    47.00     0.349    1.4485866136517790e-02    2.2616970417664052e-08
    48.00     0.356    1.4485866133787533e-02    1.8564527818357586e-08
    49.00     0.363    1.4485866131970714e-02    1.5235281473478345e-08
    50.00     0.370    1.4485866130760340e-02    1.2506185515068641e-08
    51.00     0.377    1.4485866129953836e-02    1.0265051148411282e-08
    52.00     0.383    1.4485866129416065e-02    8.4251560705743429e-09
    53.00     0.390    1.4485866129057202e-02    6.9163474070315137e-09
    54.00     0.398    1.4485866128817741e-02    5.6779012287382740e-09
    55.00     0.404    1.4485866128657880e-02    4.6620132547321224e-09
    56.00     0.416    1.4485866128550911e-02    3.8285402745916170e-09
    57.00     0.421    1.4485866128479373e-02    3.1435886874648102e-09
    58.00     0.427    1.4485866128431493e-02    2.5816874079991930e-09
    59.00     0.438    1.4485866128399437e-02    2.1202358645601506e-09
    60.00     0.444    1.4485866128378022e-02    1.7411204948535891e-09
    61.00     0.450    1.4485866128363587e-02    1.4307671027531531e-09
    62.00     0.459    1.4485866128353942e-02    1.1750462348157346e-09
    63.00     0.466    1.4485866128347444e-02    9.6540115032995940e-10
