    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055994540e-01    2.0236336779911376e-01
     0.12     0.009    6.9314379178259689e-01    2.0236274603742621e-01
     0.20     0.015    2.8339462446787400e-01    7.9062651993313943e-02
     0.32     0.027    2.2908210843848789e-01    7.3657256320797254e-02
     0.40     0.034    1.6620100123115270e-01    3.5098606191639493e-02
     0.52     0.044    1.3114697153359109e-01    2.1553207305460873e-02
     0.60     0.051    9.1292041249568051e-02    1.1183884376739943e-02
     0.72     0.062    7.7441489081486320e-02    1.3287579530390881e-02
     0.80     0.070    6.9896249049572284e-02    8.7765439726843458e-03
     0.92     0.081    4.0862061386453326e-02    6.0675114730485112e-03
     1.00     0.088    3.8581661373728003e-02    4.4518852347070889e-03
     1.12     0.102    3.4335344136563480e-02    1.0998228083059104e-02
     1.20     0.109    2.7695381939297256e-02    1.6575021657824509e-03
     1.32     0.119    2.0915358405722565e-02    1.6123139482714336e-03
     1.40     0.127    2.0141979420030438e-02    3.3520077056569202e-03
     1.52     0.140    1.8533816454691179e-02    2.7137255249967329e-03
     1.60     0.148    1.5927125717936873e-02    5.9305129528501826e-04
     1.72     0.160    1.5770262818104275e-02    9.4952404175030556e-04
     1.80     0.169    1.5449007666666650e-02    6.0155461676485676e-04
     1.92     0.181    1.5255748498718988e-02    5.1509789002303222e-04
     2.00     0.189    1.5001975265896831e-02    6.4297182727023809e-04
     2.12     0.200    1.4901488753185491e-02    4.8646869642832104e-04
     2.20     0.207    1.4877604894221918e-02    4.1780811940626426e-04
     2.32     0.218    1.4813973939680352e-02    2.9439970078592802e-04
     2.40     0.225    1.4804723888064641e-02    3.5580193205489647e-04
     2.52     0.235    1.4782895490188967e-02    2.7755933265533603e-04
     2.60     0.242    1.4780809364250112e-02    3.2862925508120761e-04
     2.72     0.252    1.4761871893254605e-02    2.8115693844603937e-04
     2.80     0.260    1.4755051069217625e-02    2.4400306794120427e-04
     2.92     0.270    1.4757338542013457e-02    2.5478964720678242e-04
     3.00     0.277    1.4753078411821028e-02    2.3071674354081047e-04
     3.12     0.302    1.4742278880285568e-02    2.4042263514375365e-04
     3.20     0.308    1.4738069004214862e-02    2.3736340624352275e-04
     3.32     0.318    1.4734212504203148e-02    2.0984976126949624e-04
     3.40     0.326    1.4729976158759145e-02    1.6768848519983575e-04
     3.52     0.339    1.4723914791387334e-02    1.6213076671222867e-04
     3.60     0.347    1.4721809024720745e-02    1.7662542198005579e-04
     3.72     0.359    1.4711299765621272e-02    1.5147831707040021e-04
     3.80     0.367    1.4697024482745406e-02    1.2833290643477318e-04
     3.92     0.379    1.4690017622073621e-02    1.2288250904257490e-04
     4.00     0.388    1.4681456476602524e-02    1.2229085139681573e-04
     4.12     0.399    1.4669192939462890e-02    1.2183930327706642e-04
     4.20     0.414    1.4652392505965898e-02    1.1904471182156256e-04
     4.32     0.426    1.4607804865007271e-02    1.0380529967314822e-04
     4.40     0.433    1.4589301652704268e-02    1.0773504914743647e-04
     4.52     0.446    1.4586161391498636e-02    9.6106709975830057e-05
     4.60     0.454    1.4580000868234832e-02    9.4952914236659449e-05
     4.72     0.468    1.4568024157802076e-02    9.0629403453541276e-05
     4.80     0.476    1.4563996342234389e-02    8.9782845218214512e-05
     4.92     0.489    1.4555814203534228e-02    8.7179418184951159e-05
     5.00     0.497    1.4549036611701007e-02    7.9739214833459050e-05
