    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0236336779911376e-01
     1.00     0.006    8.4381188850238625e-02    9.6338977616401787e-03
     2.00     0.011    6.8189235780797608e-02    7.9923721425823151e-03
     3.00     0.019    6.0623749052852949e-02    6.9594956570384588e-03
     4.00     0.028    5.5965684913309818e-02    6.0674620299221793e-03
     5.00     0.033    5.2501815580952391e-02    5.5156537324579768e-03
     6.00     0.042    5.0133007570874598e-02    5.1538936504551139e-03
     7.00     0.049    4.8220127958535051e-02    5.0569278594634641e-03
     8.00     0.055    4.6830266474288160e-02    5.0624432660503170e-03
     9.00     0.062    4.5342305390101312e-02    4.6380905314307996e-03
    10.00     0.069    4.4378246902185725e-02    4.5709866045495892e-03
    11.00     0.077    4.3461267960954536e-02    4.3594183453174650e-03
    12.00     0.083    4.2693596605357292e-02    4.3799616207638829e-03
    13.00     0.090    4.1962612591566251e-02    4.2299513377129661e-03
    14.00     0.098    4.1378661090145714e-02    3.9325386802832761e-03
    15.00     0.103    4.0793045708050188e-02    3.9628032081829899e-03
    16.00     0.111    4.0286844278205794e-02    3.9130584498899496e-03
    17.00     0.121    3.9872541547243304e-02    4.0199326390048485e-03
    18.00     0.127    3.9435101443729775e-02    3.9945075961388002e-03
    19.00     0.134    3.9003230127812774e-02    3.8344043899216540e-03
    20.00     0.143    3.8624851354561084e-02    3.7312987814942158e-03
    21.00     0.149    3.8337063776875901e-02    3.8416414505367379e-03
    22.00     0.156    3.8016313991646108e-02    3.7421714475344959e-03
    23.00     0.166    3.7734941704548969e-02    3.6407533128459913e-03
    24.00     0.172    3.7434604700341087e-02    3.6098648064682823e-03
    25.00     0.178    3.7164000090032435e-02    3.5424725892757975e-03
    26.00     0.189    3.6925593234634485e-02    3.5977603140967596e-03
    27.00     0.196    3.6726347954553248e-02    3.6574405217813266e-03
    28.00     0.201    3.6471962585836418e-02    3.5500994360441662e-03
    29.00     0.211    3.6257831040284461e-02    3.5481182778471080e-03
    30.00     0.216    3.6058464707433076e-02    3.5183305386364918e-03
    31.00     0.222    3.5859514430809453e-02    3.4235829521788671e-03
    32.00     0.231    3.5656756279332583e-02    3.4292888585199886e-03
    33.00     0.237    3.5467008894548971e-02    3.3503357855890650e-03
    34.00     0.244    3.5303607524528137e-02    3.3009042115589140e-03
