    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0236336779911376e-01
     0.10     0.007    1.2090243414445687e+00    3.7862651445966344e-01
     0.20     0.013    1.3523121805170946e+00    3.9558896141476069e-01
     0.30     0.019    2.3947663119456891e-01    1.0837565598122169e-01
     0.40     0.026    2.1610534391552716e-01    7.7971049324122590e-02
     0.50     0.033    1.1066588037487395e-01    4.1301764580778930e-02
     0.60     0.039    9.6937323012856472e-02    2.7282069829053221e-02
     0.70     0.046    1.2376770999812307e-01    3.4382061345159858e-02
     0.80     0.053    2.3449210814018181e-02    6.0566919846815909e-03
     0.90     0.060    1.8923647926176013e-02    2.6384275848181432e-03
     1.00     0.066    1.8142036967528540e-02    1.8955848482046813e-03
     1.10     0.073    1.7022776887658388e-02    1.5698718881340726e-03
     1.20     0.080    1.6678174609583735e-02    1.4885964597956519e-03
     1.30     0.086    1.6441905847999847e-02    1.5721383573903012e-03
     1.40     0.093    1.6241699534651211e-02    1.3647329136182269e-03
     1.50     0.101    1.6083838931448963e-02    1.2831079715273249e-03
     1.60     0.107    1.5727794931987706e-02    1.0285231839134231e-03
     1.70     0.114    1.5420377015532926e-02    8.0550194387612453e-04
     1.80     0.120    1.5016785897789271e-02    6.0222707854899640e-04
     1.90     0.127    1.4746719030538591e-02    3.4974384275745222e-04
     2.00     0.134    1.4636231200467774e-02    2.1884367508295187e-04
     2.10     0.141    1.4594103859157780e-02    2.0593792993605029e-04
     2.20     0.147    1.4541439812242048e-02    1.7944934633670932e-04
     2.30     0.155    1.4532583073432231e-02    1.8030005729931164e-04
     2.40     0.161    1.4528465119948781e-02    1.6070507351906890e-04
     2.50     0.168    1.4525221419056414e-02    1.3795421023573870e-04
     2.60     0.174    1.4520466955145531e-02    1.2401238306154814e-04
     2.70     0.181    1.4510940277441937e-02    9.5667440290499010e-05
     2.80     0.188    1.4494158138771567e-02    4.9109546588035609e-05
     2.90     0.194    1.4487442568602484e-02    2.3838594497304288e-05
     3.00     0.201    1.4486264843774410e-02    9.5840519736409757e-06
     3.10     0.208    1.4486059281806086e-02    7.0496860103109690e-06
     3.20     0.214    1.4485931438012425e-02    5.6980459889671362e-06
     3.30     0.221    1.4485929445785049e-02    5.7637108108813924e-06
     3.40     0.228    1.4485927406718353e-02    5.5226282855914377e-06
     3.50     0.234    1.4485925484320428e-02    5.1046136166356784e-06
     3.60     0.241    1.4485915495063229e-02    4.4260533952044410e-06
     3.70     0.248    1.4485891143689089e-02    3.0308185605309163e-06
     3.80     0.255    1.4485867703144500e-02    7.0861136253907867e-07
     3.90     0.262    1.4485866157296067e-02    9.9823049242190806e-08
     4.00     0.268    1.4485866129022838e-02    1.5570526189407925e-08
     4.10     0.276    1.4485866128448070e-02    6.5376329821736565e-09
     4.20     0.283    1.4485866128409132e-02    6.1506138145851655e-09
     4.30     0.289    1.4485866128408700e-02    6.1787796503038651e-09
     4.40     0.296    1.4485866128407295e-02    5.8664850348093419e-09
     4.50     0.303    1.4485866128404783e-02    5.5117611530241086e-09
     4.60     0.309    1.4485866128382541e-02    4.3291825800814980e-09
     4.70     0.316    1.4485866128343881e-02    1.9361580979297298e-09
     4.80     0.325    1.4485866128334253e-02    9.8944182816591841e-11
