    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0236336779911376e-01
     2.00     0.058    1.3343990640802258e-01    4.7952195777130981e-02
     3.00     0.086    5.2170018262509499e-02    1.6639950205739908e-02
     4.00     0.116    2.7092220446566555e-02    5.9153910808330840e-03
     5.00     0.148    1.8713205554771243e-02    2.0865418557981788e-03
     6.00     0.177    1.5699662748231924e-02    7.2800680134128273e-04
     7.00     0.207    1.4697376650416651e-02    2.3929208179228578e-04
     8.00     0.237    1.4497064394092752e-02    5.1696831534254377e-05
     9.00     0.267    1.4485893880505907e-02    2.9762977504553881e-06
    10.00     0.296    1.4485866128546576e-02    8.2724113384044506e-09
    11.00     0.325    1.4485866128334248e-02    6.7199501171955056e-14
