    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059174574e-01    1.9558814998385933e-03
     4.00    26.321    6.9159907419475375e-01    1.3560753009059612e-03
     8.00    52.673    6.3597475336193909e-01    3.8345656863439364e-03
    12.00    79.065    5.3722635254258033e-01    5.7738081044052280e-04
    16.00   105.445    5.3698955513642832e-01    4.3074879102461983e-04
    20.00   131.847    5.3540621759330209e-01    4.8781209673945332e-04
    24.00   158.260    5.1803717088822321e-01    2.8457276454048314e-04
    28.00   184.627    5.1703173551995463e-01    1.8799381855128336e-04
    32.00   211.017    5.1679807583072646e-01    1.6479465558958130e-04
    36.00   237.387    5.1202831291905160e-01    2.3850504009076255e-04
    40.00   263.761    5.1048737042601744e-01    1.3020587571749081e-04
    44.00   290.141    5.1043300740849529e-01    1.1639304690550912e-04
    48.00   316.514    5.0878003730634835e-01    9.6442385708938255e-05
    52.00   342.900    5.0723650223269701e-01    1.2304692008554858e-04
    56.00   369.299    5.0720983043987022e-01    1.1752406069206439e-04
    60.00   395.661    5.0635370967976256e-01    8.3896282478148170e-05
    64.00   422.058    5.0533148966715846e-01    8.2901260925437003e-05
    68.00   448.430    5.0531953346987757e-01    7.4771980759250105e-05
    72.00   474.807    5.0485519147556401e-01    6.9593541485506413e-05
    76.00   501.179    5.0344788517520056e-01    8.8831349670788734e-05
    80.00   527.542    5.0343809991951061e-01    8.1767753007224152e-05
    84.00   553.935    5.0316841210165941e-01    6.5808804751993049e-05
    88.00   580.309    5.0187789317476050e-01    8.9761061728574248e-05
    92.00   606.673    5.0186472984517438e-01    9.0057307031077546e-05
    96.00   633.072    5.0178256168282531e-01    7.1860487887938972e-05
   100.00   659.452    5.0084264188227279e-01    6.1329446824981063e-05
   104.00   685.830    5.0076680312375221e-01    5.7788463121789958e-05
   108.00   712.195    5.0074696717901357e-01    5.6717718249779028e-05
   112.00   738.570    5.0030936299363060e-01    6.0265896401142611e-05
   116.00   764.939    5.0013917695575683e-01    5.5954899348768099e-05
   120.00   791.329    5.0013307469842871e-01    4.9146104586415876e-05
   124.00   817.701    4.9992287411476033e-01    3.6071920792916714e-05
   128.00   844.058    4.9959634833155125e-01    3.8160175333831838e-05
   132.00   870.428    4.9959419933044896e-01    3.5135749643452750e-05
   136.00   896.789    4.9951079981532459e-01    2.7086798538351608e-05
   140.00   923.159    4.9922377406184532e-01    3.2214744919250579e-05
   144.00   949.529    4.9922227955475607e-01    2.9081385913914602e-05
   148.00   975.877    4.9919935490719802e-01    2.1081326626352708e-05
   152.00  1002.248    4.9885505265939578e-01    3.8417245069993963e-05
   156.00  1028.616    4.9880196030435914e-01    3.4029572417326418e-05
   160.00  1054.996    4.9879573171942465e-01    3.0070479249157108e-05
   164.00  1081.373    4.9864432217048033e-01    2.1676754375625081e-05
   168.00  1107.766    4.9856846084435774e-01    2.1925704244237214e-05
   172.00  1134.131    4.9856693994598145e-01    1.9654221650186583e-05
   176.00  1160.498    4.9851107538813971e-01    1.5670461461005327e-05
   180.00  1186.858    4.9839448779011508e-01    2.0314486187352001e-05
   184.00  1213.242    4.9839403651572739e-01    1.9510945624644318e-05
   188.00  1239.619    4.9837774637218341e-01    1.4612389593591937e-05
   192.00  1265.991    4.9826175238127662e-01    2.1135323338390517e-05
   196.00  1292.363    4.9825863090952921e-01    1.9010084046521871e-05
   200.00  1318.743    4.9825274955289023e-01    1.5902543707393349e-05
   204.00  1345.128    4.9816222723745862e-01    1.9433354361928230e-05
   208.00  1371.492    4.9814735072233657e-01    1.9671987596879627e-05
   212.00  1397.858    4.9814501817105750e-01    1.7624448910320100e-05
   216.00  1424.250    4.9808084943834180e-01    1.3137432966481992e-05
   220.00  1450.651    4.9803516536649117e-01    1.7575052382453905e-05
   224.00  1477.020    4.9803452027674988e-01    1.6326113921663853e-05
   228.00  1503.392    4.9801015765756801e-01    1.0165400768818283e-05
   232.00  1529.761    4.9795059028918326e-01    1.8270320152902110e-05
   236.00  1556.128    4.9795034152146728e-01    1.6947174244403332e-05
   240.00  1582.514    4.9794252065258382e-01    9.6719133647087941e-06
   244.00  1608.884    4.9788180545674104e-01    1.6035286689384300e-05
   248.00  1635.257    4.9787980860458020e-01    1.2963848602146973e-05
   252.00  1661.745    4.9787757100068630e-01    1.0134157089113939e-05
   256.00  1688.293    4.9783278796289432e-01    1.1286796322171300e-05
   260.00  1714.651    4.9781907314032320e-01    1.0336999119316310e-05
   264.00  1741.027    4.9781875561426436e-01    9.3104562103228799e-06
   268.00  1767.398    4.9780624818759067e-01    5.9170082715953933e-06
   272.00  1793.758    4.9776731726317236e-01    1.1057249580202455e-05
   276.00  1820.133    4.9776717869733900e-01    1.0394495460415439e-05
   280.00  1846.496    4.9776540806641439e-01    8.3502257376857458e-06
   284.00  1872.863    4.9773207922327295e-01    8.2265836819501987e-06
   288.00  1899.236    4.9772328758709966e-01    7.9380180120576243e-06
   292.00  1925.613    4.9772311140836112e-01    7.1773835506919394e-06
   296.00  1952.007    4.9771619050453997e-01    4.1442832507058845e-06
   300.00  1978.386    4.9769502367426294e-01    7.4405436289108387e-06
   304.00  2004.759    4.9769494342330284e-01    6.8639357556295571e-06
   308.00  2031.131    4.9769366716460872e-01    5.4332311223161779e-06
   312.00  2057.500    4.9767597349888160e-01    9.5960223815109285e-06
   316.00  2083.873    4.9767369887132323e-01    7.4363851862983368e-06
   320.00  2110.250    4.9767340938135723e-01    6.1987076116298090e-06
   324.00  2136.627    4.9766334274844770e-01    4.6723063250633014e-06
   328.00  2163.004    4.9764704653801672e-01    5.5025199752372086e-06
   332.00  2189.371    4.9764701407115813e-01    5.1693843284260532e-06
   336.00  2215.752    4.9764575802535471e-01    3.5147272468216918e-06
   340.00  2242.119    4.9763372117752036e-01    4.7118181317859273e-06
   344.00  2268.516    4.9763307197702994e-01    4.7692241805211455e-06
   348.00  2294.895    4.9763289296873836e-01    4.3828302743668619e-06
   352.00  2321.260    4.9762700373706065e-01    3.2563790769205891e-06
   356.00  2347.656    4.9761938648276904e-01    4.3115370901736771e-06
   360.00  2374.023    4.9761936989471406e-01    4.1455873133891411e-06
   364.00  2400.404    4.9761865111461046e-01    3.1207482994809186e-06
   368.00  2426.793    4.9760860516560673e-01    4.7699508610001783e-06
   372.00  2453.155    4.9760728985718916e-01    4.3911432824191503e-06
   376.00  2479.527    4.9760718493362166e-01    3.9947041334709170e-06
   380.00  2505.908    4.9760362203900355e-01    2.1772222452296059e-06
   384.00  2532.274    4.9759839831289771e-01    3.7642516627880942e-06
   388.00  2558.649    4.9759838283320212e-01    3.6074468434305064e-06
   392.00  2585.023    4.9759773861981998e-01    2.5488401052852262e-06
