    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059174574e-01    1.9558814998385933e-03
     8.00    52.448    6.9112339655676758e-01    1.4226923278766799e-03
    12.00    78.718    6.3347512095362446e-01    3.5196922618899646e-03
    16.00   105.021    5.2618246205069275e-01    4.9414214387445601e-04
    20.00   131.291    5.1751171182411548e-01    1.9809444335406947e-04
    24.00   157.578    5.1085820459970810e-01    2.8753279616283619e-04
    32.00   210.146    5.0955023578022385e-01    1.3063505452379917e-04
    40.00   262.773    5.0731423944779030e-01    1.6370435645176400e-04
    44.00   289.111    5.0511656026609819e-01    9.1859681823868946e-05
    52.00   341.780    5.0371090858668455e-01    1.2461052978704286e-04
    60.00   394.408    5.0207666930272843e-01    8.5527590773766139e-05
    76.00   499.698    5.0049909588626162e-01    5.8785622378852557e-05
    80.00   526.014    5.0007777450509183e-01    7.3929664020601067e-05
    84.00   552.352    4.9969703608478960e-01    5.1167264483386262e-05
    88.00   578.682    4.9952508785457700e-01    7.5111756080226998e-05
    96.00   631.354    4.9929224177652770e-01    8.0644657270936037e-05
   100.00   657.682    4.9894877664017817e-01    4.3551678745212538e-05
   108.00   710.432    4.9888052683708234e-01    3.6544467928071176e-05
   116.00   763.193    4.9867453923275451e-01    3.4911075256140897e-05
   120.00   789.574    4.9858441551095783e-01    2.9530473513814801e-05
   128.00   842.237    4.9850494945994711e-01    5.6936956715172916e-05
   132.00   868.572    4.9843733937146889e-01    2.4791418650477146e-05
   136.00   894.894    4.9824441757197424e-01    1.8263344464844169e-05
   140.00   921.212    4.9816763474133152e-01    1.8372346850401302e-05
   148.00   973.897    4.9815874944938682e-01    2.8885836083317992e-05
   152.00  1000.240    4.9811486335378863e-01    2.2759666836235790e-05
   156.00  1026.588    4.9801332321867803e-01    1.9689436883894598e-05
   164.00  1079.279    4.9796600703597510e-01    1.7038268205399505e-05
   168.00  1105.617    4.9793170039396983e-01    1.2152309608172363e-05
   172.00  1131.926    4.9790732002387555e-01    1.9281932792925086e-05
   176.00  1158.251    4.9789592466882682e-01    1.2337779612755294e-05
   184.00  1210.968    4.9786404221028263e-01    1.4061677162645693e-05
   192.00  1263.752    4.9780909609987917e-01    2.0406247087460509e-05
   196.00  1290.207    4.9778416792522684e-01    1.6211998634864900e-05
   204.00  1343.168    4.9776236427183362e-01    1.2491302332199260e-05
   208.00  1369.612    4.9773209495019016e-01    1.2113072964154679e-05
   212.00  1396.072    4.9772078683089088e-01    1.1473721384961276e-05
   216.00  1422.529    4.9771783937524589e-01    1.7842967767204478e-05
   220.00  1449.026    4.9769620288573962e-01    1.0076586426982015e-05
   224.00  1475.471    4.9769300403845629e-01    1.5868135238112214e-05
   232.00  1528.464    4.9767631968517578e-01    7.7096486530726119e-06
   240.00  1581.288    4.9767160888102990e-01    1.9282373910313233e-05
   244.00  1607.658    4.9766707762610352e-01    1.1902147521076669e-05
   256.00  1686.732    4.9765667607811476e-01    7.0808734054882825e-06
   264.00  1739.560    4.9765602905976591e-01    9.9108589099709972e-06
   268.00  1765.924    4.9765166089826790e-01    7.8022219818546415e-06
   272.00  1792.328    4.9764720975759891e-01    1.2402313774522308e-05
   276.00  1818.693    4.9764484032653089e-01    7.0375330415289956e-06
   280.00  1845.064    4.9764168158948258e-01    1.4083178638600588e-05
   296.00  1950.587    4.9763617917535902e-01    1.1009107302013052e-05
   300.00  1976.948    4.9762647868523519e-01    1.1204324143110073e-05
   304.00  2003.357    4.9762408226912541e-01    5.3844448942811574e-06
   308.00  2029.742    4.9762054766537539e-01    6.1671721847241123e-06
   316.00  2082.479    4.9761614187238357e-01    7.5136447802220223e-06
   324.00  2135.238    4.9761530961275863e-01    1.0915238047243345e-05
   328.00  2161.622    4.9761433320371140e-01    4.7648920491512548e-06
   336.00  2214.411    4.9761060656711315e-01    6.2530259225494600e-06
   340.00  2240.815    4.9760938481617678e-01    1.0945405293473463e-05
   344.00  2267.181    4.9760546748808232e-01    8.5502808775493374e-06
   348.00  2293.535    4.9760019503719016e-01    4.3671310490008169e-06
   352.00  2319.924    4.9759684706700513e-01    6.7181094881811031e-06
   356.00  2346.314    4.9759540214703180e-01    2.8642678319009912e-06
   364.00  2399.049    4.9759419684235762e-01    6.5920742274075132e-06
   368.00  2425.461    4.9759246074668323e-01    5.6551522467067451e-06
   372.00  2451.880    4.9759118226653432e-01    6.9485648488500469e-06
   376.00  2478.248    4.9758878176380333e-01    6.6474093438408646e-06
   380.00  2504.622    4.9758579492494337e-01    7.3547832918232677e-06
   384.00  2530.979    4.9758465008759467e-01    4.2886297432125891e-06
   388.00  2557.385    4.9758410451145613e-01    4.2640934138151457e-06
   392.00  2583.736    4.9758258715049236e-01    4.0781937595438723e-06
   404.00  2662.872    4.9758125169729517e-01    7.8871107946741275e-06
   408.00  2689.237    4.9758067413427415e-01    2.4891945406949193e-06
   412.00  2715.648    4.9757922941288113e-01    2.7028344595410571e-06
   416.00  2742.029    4.9757890910105546e-01    4.1156098324411450e-06
   424.00  2794.752    4.9757763386684134e-01    3.3401311345192203e-06
   428.00  2821.110    4.9757690229352397e-01    5.8210677592576739e-06
   436.00  2873.816    4.9757558075900898e-01    2.1524529365635061e-06
   444.00  2926.505    4.9757490926415465e-01    2.5561867990271036e-06
   448.00  2952.830    4.9757432315389932e-01    2.6956584580348081e-06
   456.00  3005.475    4.9757418001839399e-01    2.5889060505379867e-06
   468.00  3084.447    4.9757311571543067e-01    2.8423845810052651e-06
   480.00  3163.472    4.9757179289397474e-01    2.4084617306982442e-06
   488.00  3216.112    4.9757046016494982e-01    4.5113703734982126e-06
   492.00  3242.431    4.9756962545821998e-01    5.1337068890830825e-06
   496.00  3268.737    4.9756908094285629e-01    2.4532257348835079e-06
   504.00  3321.580    4.9756832651378918e-01    2.6067052174357270e-06
   508.00  3348.020    4.9756812796743305e-01    5.0991574404097166e-06
   512.00  3374.445    4.9756752409995925e-01    2.4831715979475719e-06
   524.00  3453.703    4.9756676658445176e-01    2.0329459762938641e-06
   532.00  3506.603    4.9756655590883214e-01    3.6500956206554229e-06
   536.00  3533.038    4.9756628630706928e-01    1.7521408117243261e-06
   540.00  3559.485    4.9756601313658050e-01    1.3000661467219252e-06
   544.00  3585.953    4.9756567308256622e-01    1.9063663299300502e-06
   548.00  3612.371    4.9756542317390046e-01    1.8805033671223965e-06
   556.00  3665.306    4.9756494668840073e-01    1.7060391665751168e-06
   560.00  3691.765    4.9756445596960908e-01    3.3233205296033253e-06
   564.00  3718.262    4.9756432767003606e-01    2.9874024428728655e-06
   568.00  3744.707    4.9756426758281236e-01    3.0342186652039121e-06
   572.00  3771.144    4.9756408282576514e-01    2.7476553425328078e-06
   576.00  3797.581    4.9756406565888406e-01    2.6493613592503581e-06
   580.00  3824.013    4.9756403735009258e-01    3.1411433328900545e-06
   588.00  3876.923    4.9756370771904845e-01    1.6606710107612928e-06
   596.00  3929.783    4.9756328555040669e-01    1.7750013216591498e-06
   600.00  3956.223    4.9756285003301859e-01    2.9053628340227930e-06
   608.00  4009.155    4.9756253837140912e-01    1.8028528363907138e-06
   612.00  4035.602    4.9756245792060311e-01    1.5878689927838435e-06
   620.00  4088.534    4.9756234084261419e-01    1.3870691285467501e-06
   632.00  4167.842    4.9756203330936422e-01    1.9325810598078250e-06
   640.00  4220.782    4.9756158849998988e-01    1.2103958862459737e-06
   656.00  4326.652    4.9756143350263782e-01    8.8764369029909090e-07
   660.00  4353.114    4.9756139822427881e-01    2.9018132742585619e-06
   664.00  4379.560    4.9756127623971319e-01    1.2140862839060672e-06
   676.00  4458.949    4.9756120878019960e-01    1.1037667354105400e-06
   688.00  4538.325    4.9756529616992951e-01    5.9901121468356398e-06
   692.00  4564.822    4.9756092397098900e-01    5.3786008471856241e-07
   696.00  4591.308    4.9756082994399792e-01    6.4578096489370997e-07
   700.00  4617.776    4.9756067536001009e-01    9.7132416091378136e-07
   704.00  4644.221    4.9756043476772438e-01    8.7974681821762651e-07
   708.00  4670.677    4.9756038199740443e-01    1.7849647371134861e-06
   712.00  4697.143    4.9756032345511475e-01    2.4461561810429413e-06
   716.00  4723.595    4.9756021767806841e-01    1.3724439473882855e-06
   720.00  4750.057    4.9756007168346134e-01    1.3622255325588517e-06
   724.00  4776.499    4.9756000223408881e-01    1.1699889775268900e-06
   728.00  4802.965    4.9755995983964224e-01    7.7909728187881952e-07
   732.00  4829.407    4.9757518442998061e-01    3.9297111093055457e-05
   736.00  4855.851    4.9755989217635549e-01    5.2249740481356369e-07
   740.00  4882.317    4.9755985214937876e-01    4.6653568784396877e-07
   744.00  4908.767    4.9755980562173663e-01    7.9654238502951130e-07
   748.00  4935.235    4.9755977955378111e-01    9.4568259515109244e-07
   752.00  4961.690    4.9755976155219422e-01    6.6906456377593074e-07
   756.00  4988.163    4.9755970314505582e-01    8.5863913427501169e-07
   760.00  5014.604    4.9755967711111748e-01    9.0736329891416904e-07
   764.00  5041.050    4.9755958525356253e-01    8.6659694483250021e-07
   768.00  5067.535    4.9755956102953075e-01    1.1212430536460428e-06
   776.00  5120.495    4.9755948565298652e-01    5.7196526836910815e-07
   780.00  5146.932    4.9755945599875856e-01    7.2361801590217306e-07
   784.00  5173.386    4.9755944372787375e-01    1.7165554724921986e-06
   788.00  5199.914    4.9755937802712386e-01    1.3453570873317131e-06
   796.00  5252.813    4.9755935830581738e-01    7.8555785692633149e-07
   800.00  5279.265    4.9755934247774702e-01    5.6177022048287743e-07
   804.00  5305.703    4.9755933713540101e-01    7.6286955859932985e-07
   808.00  5332.154    4.9755932299244282e-01    7.1823196202674450e-07
   812.00  5358.630    4.9755930960230860e-01    3.5580519710640148e-07
   816.00  5385.091    4.9755928750834827e-01    6.0442212185059554e-07
   820.00  5411.556    4.9755927891036661e-01    4.2794992105889557e-07
   824.00  5438.012    4.9755926852127713e-01    4.4673633056165385e-07
   828.00  5464.454    4.9755926607612100e-01    3.4914405250972759e-07
   832.00  5490.907    4.9755925979743509e-01    2.9584458378230124e-07
   836.00  5517.388    4.9755925495194725e-01    5.6420690063073077e-07
   840.00  5543.838    4.9755924417949426e-01    3.3480818101487282e-07
   844.00  5570.322    4.9755923901626925e-01    5.9624699320608196e-07
   848.00  5596.779    4.9755921806576248e-01    3.8299306234045611e-07
   852.00  5623.252    4.9755920718309915e-01    5.5749916423012815e-07
   856.00  5649.727    4.9755919665142900e-01    5.6827655984309013e-07
   860.00  5676.174    4.9755917671451061e-01    6.2166056517237026e-07
   864.00  5702.637    4.9755916332225181e-01    3.3807439587209439e-07
   868.00  5729.105    4.9755916111877552e-01    4.4139626040432007e-07
   872.00  5755.555    4.9755917427646884e-01    8.3740160643124811e-07
   876.00  5782.078    4.9755914321390177e-01    3.9130702419400165e-07
   880.00  5808.571    4.9755913813165581e-01    2.7106439866653622e-07
   884.00  5835.039    4.9755913129904311e-01    2.5093603041101347e-07
   888.00  5861.484    4.9755911190414065e-01    2.1981226440326764e-07
   892.00  5888.236    4.9755911062367941e-01    8.6157719700614555e-07
   896.00  5915.061    4.9755908938552795e-01    3.8554171324490318e-07
   900.00  5941.589    4.9755909789020392e-01    2.2595375390556611e-06
   904.00  5968.072    4.9755932903086642e-01    3.3273417439207301e-06
