    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059174574e-01    1.9558814998385933e-03
     0.10   290.100    5.0069470531286497e-01    6.4390103858600497e-05
     0.20   580.129    4.9922101496381793e-01    1.2823878671774938e-04
     0.30   870.251    4.9853078336174778e-01    1.2539266304836550e-04
     0.40  1162.520    4.9805565446752487e-01    7.6481777718948651e-05
     0.50  1460.949    4.9786734320714759e-01    7.0538329656108476e-05
     0.60  1759.625    4.9781055593596968e-01    1.0687590217706235e-04
     0.70  2057.837    4.9767195596431085e-01    3.8394860099827012e-05
     0.80  2356.264    4.9762337702542275e-01    2.6341264663901611e-05
     0.90  2654.822    4.9759040626416939e-01    7.4350156640501901e-06
     1.00  2950.112    4.9756560776012848e-01    5.9100089363037650e-06
     1.10  3240.166    4.9755937931054312e-01    1.2384488089279454e-06
     1.20  3530.214    4.9755910464397035e-01    7.6224366107401307e-07
     1.30  3820.335    4.9755902091340193e-01    4.4914286423963189e-07
     1.40  4112.594    4.9755899386024066e-01    2.7122832396065710e-07
     1.50  4410.853    4.9755898500287793e-01    1.7181085468274792e-07
     1.60  4709.503    4.9755898161705692e-01    9.4709345356946499e-08
     1.70  5007.681    4.9755898034970891e-01    4.4745588588834604e-08
     1.80  5306.176    4.9755897999961868e-01    1.9727495182268200e-08
     1.90  5604.529    4.9755897991791831e-01    8.0051438236365081e-09
     2.00  5899.631    4.9755897990343517e-01    1.0336797781682767e-09
     2.10  6189.533    4.9755897990335352e-01    2.3404328515612766e-10
