    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059174574e-01    1.9558814998385933e-03
     1.00   316.754    5.0103439205572253e-01    5.8262496465708513e-04
     2.00   531.774    5.0374910677625373e-01    1.3491800188742806e-03
     3.00   746.783    4.9841386738008886e-01    4.6426078018618847e-04
     4.00   961.770    4.9772446155873035e-01    1.8329106851607240e-04
     5.00  1176.739    4.9782787493369890e-01    2.7584084654626599e-04
     6.00  1391.670    4.9773785208672766e-01    2.2784508618271015e-04
     7.00  1606.775    4.9766244971393625e-01    1.7614633218094293e-04
     8.00  1821.777    4.9756488793845516e-01    3.8380867519447529e-05
     9.00  2036.673    4.9757162624278817e-01    6.1185477415117752e-05
    10.00  2251.746    4.9755989962741110e-01    1.4642239097033303e-05
    11.00  2466.828    4.9756303420110676e-01    3.5168622370145261e-05
    12.00  2681.727    4.9755911505860484e-01    5.8908339954427079e-06
    13.00  2896.642    4.9755905466660955e-01    4.3646827996839544e-06
    14.00  3111.666    4.9755898460826548e-01    4.4126287255982256e-07
    15.00  3326.669    4.9755901104405514e-01    3.0186644736991408e-06
    16.00  3541.586    4.9755898283962396e-01    8.4121570112010142e-07
    17.00  3756.571    4.9755899468168580e-01    2.1275238152757334e-06
    18.00  3971.597    4.9755898530285553e-01    1.2879266726438723e-06
    19.00  4186.556    4.9755898086992345e-01    5.3304799878330353e-07
    20.00  4401.586    4.9755898007145044e-01    2.1261932809302757e-07
    21.00  4616.522    4.9755897992504056e-01    6.7581750558913442e-08
    22.00  4831.509    4.9755897994336495e-01    1.0828643076122930e-07
    23.00  5046.520    4.9755897990948994e-01    4.0655434189228274e-08
    24.00  5261.354    4.9755897992181469e-01    7.5095989623788824e-08
    25.00  5476.425    4.9755897990346687e-01    1.7822651437085271e-09
    26.00  5691.662    4.9755897990528547e-01    2.4198874803454594e-08
    27.00  5906.676    4.9755897990341996e-01    5.5222696618007758e-09
    28.00  6121.755    4.9755897990334674e-01    2.3344489883021710e-09
    29.00  6337.815    4.9755897990333187e-01    1.8208592735792458e-09
    30.00  6552.820    4.9755897990332171e-01    2.2174912008925315e-09
    31.00  6767.777    4.9755897990329656e-01    7.3703792700502411e-10
