    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059174574e-01    1.9558814998385933e-03
     1.00   321.206    5.0924316524423896e-01    2.4070142363486778e-04
     2.00   642.659    5.0621700726015928e-01    1.4253691503950770e-04
     3.00   963.895    5.0494393850175290e-01    1.2523989651658289e-04
     4.00  1285.318    5.0418770286563441e-01    1.1048625053901637e-04
     5.00  1606.047    5.0365612947428495e-01    6.4588298099345866e-05
     6.00  1926.109    5.0327722780775463e-01    4.7907170592442408e-05
     7.00  2246.137    5.0297818890367318e-01    2.8553812298056339e-05
     8.00  2566.533    5.0274312691481504e-01    6.4175403433997026e-05
     9.00  2886.850    5.0255071310669019e-01    8.6203184190562069e-05
    10.00  3206.976    5.0237436180396045e-01    4.2490555967178723e-05
    11.00  3526.764    5.0225059493969781e-01    1.0695455314684652e-04
    12.00  3847.187    5.0220202210665221e-01    1.9954161698184739e-04
    13.00  4167.019    5.0203677791393042e-01    1.4719955837815891e-04
    14.00  4486.503    5.0192676895941557e-01    1.3403241423833251e-04
    15.00  4805.541    5.0179785622329443e-01    4.2717825013370125e-05
    16.00  5123.913    5.0171380436817825e-01    4.2430743910679895e-05
    17.00  5442.320    5.0167357311864524e-01    1.2722712058291268e-04
    18.00  5760.874    5.0156928582834903e-01    4.3890965378800454e-05
    19.00  6079.193    5.0150578771472210e-01    4.7986687344796671e-05
    20.00  6397.688    5.0144479992318602e-01    3.3760998180658885e-05
    21.00  6716.280    5.0139958244487526e-01    7.8357195647889473e-05
    22.00  7034.903    5.0134080414894489e-01    4.9593753534298853e-05
    23.00  7353.466    5.0129029926288715e-01    2.9965071988469810e-05
    24.00  7671.926    5.0125938662543124e-01    9.0155397381993244e-05
    25.00  7990.513    5.0122419273287477e-01    1.0334828294128119e-04
    26.00  8308.898    5.0123095478413149e-01    1.6791448219202266e-04
    27.00  8627.277    5.0112584340734700e-01    5.1296579721167004e-05
    28.00  8946.452    5.0110407896072451e-01    9.3039359153516756e-05
    29.00  9265.035    5.0109238341434781e-01    1.3170221385843788e-04
    30.00  9583.193    5.0101908495125336e-01    2.4022744863803308e-05
    31.00  9901.335    5.0098781940586101e-01    2.8561854319818519e-05
    32.00 10219.557    5.0098671566765762e-01    1.1484450929907379e-04
