    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8299081998376076e-01
    12.00     0.327    4.1390094049551962e-02    3.3982756286827075e-03
    16.00     0.433    2.8724582377187138e-02    4.0092390063461896e-03
    20.00     0.539    1.8758849074970597e-02    1.0399745947028756e-03
    24.00     0.646    1.8328825227413945e-02    1.4408778831414421e-03
    28.00     0.754    1.6208556739003638e-02    1.0758288186070249e-03
    32.00     0.861    1.5606157513366954e-02    2.6284021376556712e-04
    36.00     0.967    1.5596343991434936e-02    3.4110596863076779e-04
    40.00     1.075    1.5526774151682705e-02    4.3139859010810398e-04
    44.00     1.182    1.4505311846639186e-02    4.5745310879538505e-04
    48.00     1.288    1.4424076499855290e-02    2.1720007195748185e-04
    52.00     1.394    1.4398382517439365e-02    2.2447202217116982e-04
    56.00     1.500    1.3913483679230686e-02    1.6547607595103535e-04
    60.00     1.607    1.3687063105536685e-02    1.5389604067797378e-04
    64.00     1.713    1.3682841000741592e-02    1.6148525897143585e-04
    68.00     1.819    1.3535940006074063e-02    6.2356457118281563e-04
    72.00     1.926    1.3270343529429785e-02    5.9364905773371423e-05
    76.00     2.032    1.3269849089360535e-02    6.0393720514210499e-05
    80.00     2.138    1.3252040691409046e-02    1.2868697057443707e-04
    84.00     2.244    1.3143954654203517e-02    4.9705246787630397e-05
    88.00     2.351    1.3142021101348912e-02    2.9989057395341935e-05
    92.00     2.457    1.3140229573316873e-02    5.1673728116487748e-05
    96.00     2.566    1.3096222962587809e-02    1.2930833860777833e-04
   100.00     2.677    1.3075410030524657e-02    2.4240110496169931e-05
   104.00     2.795    1.3075179921362354e-02    2.2952714334931396e-05
   108.00     2.911    1.3066079160446156e-02    3.4257593030705550e-05
   112.00     3.043    1.3037019432000495e-02    1.7131487562946999e-05
   116.00     3.151    1.3036915194270532e-02    1.4880116532440784e-05
   120.00     3.258    1.3035871951883510e-02    1.7776309449868854e-05
   124.00     3.364    1.3024805971501760e-02    1.9217332109591973e-05
   128.00     3.482    1.3024068930146002e-02    1.2989723123889824e-05
   132.00     3.611    1.3023887456760339e-02    1.0231722709163057e-05
   136.00     3.721    1.3019275277866919e-02    1.5015954361663088e-05
   140.00     3.831    1.3016666841340440e-02    8.1199590060684588e-06
   144.00     3.942    1.3016632273372320e-02    8.0213375906859255e-06
   148.00     4.057    1.3015296923519475e-02    1.0439021509753525e-05
   152.00     4.184    1.3011602351895775e-02    6.1721539612795142e-06
   156.00     4.294    1.3011593404665015e-02    6.0727413481272895e-06
   160.00     4.403    1.3011490286291691e-02    5.6392211372926779e-06
   164.00     4.511    1.3010174998066650e-02    4.5117560008771943e-06
   168.00     4.620    1.3010037024988428e-02    4.2385647374533929e-06
   172.00     4.729    1.3010025603559716e-02    3.7525515173391457e-06
   176.00     4.838    1.3009695831633387e-02    2.3270220530364463e-06
   180.00     4.948    1.3009423695416687e-02    1.8982566234278346e-06
   184.00     5.058    1.3009422929077270e-02    1.7913450650531340e-06
   188.00     5.167    1.3009389824789934e-02    1.2426146857105577e-06
   192.00     5.275    1.3009133996239078e-02    1.3325270667896220e-06
   196.00     5.385    1.3009125864098092e-02    1.1527785971802439e-06
   200.00     5.494    1.3009122336551949e-02    1.0471189929880438e-06
   204.00     5.603    1.3009031121358863e-02    7.9463539239311184e-07
   208.00     5.718    1.3008976768508611e-02    7.1046597538480002e-07
   212.00     5.827    1.3008976560282551e-02    6.5183775836511801e-07
   216.00     5.936    1.3008967744548135e-02    4.7145439093968267e-07
   220.00     6.044    1.3008917021744457e-02    4.3281693933110607e-07
   224.00     6.153    1.3008916273632425e-02    3.3939318348133412e-07
   228.00     6.263    1.3008916018588803e-02    2.9349744177295331e-07
   232.00     6.372    1.3008909521860271e-02    2.5248776036291358e-07
   236.00     6.481    1.3008905808828608e-02    3.4114208323346354e-07
   240.00     6.590    1.3008905773831106e-02    3.0628700017720035e-07
   244.00     6.698    1.3008904430444546e-02    1.4754202352233276e-07
   248.00     6.806    1.3008900841150545e-02    2.2739808395713756e-07
   252.00     6.915    1.3008900830699497e-02    2.1952247444527693e-07
   256.00     7.023    1.3008900621135893e-02    1.6226675421407531e-07
   260.00     7.132    1.3008898149679468e-02    9.5328366673158626e-08
   264.00     7.239    1.3008897932543199e-02    9.0003599974181081e-08
   268.00     7.348    1.3008897922429489e-02    8.9185284064335023e-08
   272.00     7.457    1.3008897571410393e-02    6.9815570300593461e-08
   276.00     7.566    1.3008897007590003e-02    7.5274461994837173e-08
   280.00     7.677    1.3008897006471929e-02    7.1513157691157974e-08
   284.00     7.786    1.3008896963406284e-02    5.0308122277497095e-08
   288.00     7.895    1.3008896598883983e-02    2.9338706306577105e-08
   292.00     8.004    1.3008896584464857e-02    2.3284485605392868e-08
   296.00     8.114    1.3008896583409459e-02    2.2801034799402760e-08
   300.00     8.222    1.3008896549290123e-02    1.8974141453204400e-08
