    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8299081998376076e-01
     2.00     0.097    1.4716065494356592e-01    1.1251252032945219e-01
     3.00     0.171    7.1423175523032040e-02    3.7741014499930427e-02
     4.00     0.244    5.1070884229121878e-02    1.2883854750696453e-02
     5.00     0.346    2.6070261096799833e-02    1.1452588515721496e-02
     6.00     0.434    1.8445261924980732e-02    4.4229927814943655e-03
     7.00     0.524    1.5594613783125832e-02    1.5956667356429347e-03
     8.00     0.670    1.3482065022426076e-02    8.8638613375018385e-04
     9.00     0.817    1.3047489032276623e-02    2.2618466921028551e-04
    10.00     1.023    1.3009709355178286e-02    1.8881397806504210e-05
    11.00     1.377    1.3008896783393016e-02    3.5095949779956569e-07
    12.00     1.897    1.3008896458929893e-02    1.4950046452027728e-10
