    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8299081998376076e-01
    32.00     0.903    2.6673542514037890e-02    2.0222090132776894e-03
    36.00     1.019    1.5616548250875309e-02    5.5753567319603067e-04
    40.00     1.128    1.3730943717643657e-02    4.1276614661914961e-04
    44.00     1.237    1.3579874870097096e-02    1.1360658428293301e-04
    52.00     1.458    1.3366625656693824e-02    7.4547809693951010e-05
    56.00     1.575    1.3237303511612716e-02    3.7177314033342272e-04
    60.00     1.683    1.3154941029992359e-02    5.4254264836927446e-05
    68.00     1.914    1.3127828883790313e-02    2.0563528485897598e-05
    84.00     2.380    1.3092849080419565e-02    3.5610326417433027e-05
    88.00     2.488    1.3063843980995813e-02    5.0920634520764578e-05
    92.00     2.601    1.3057860234029771e-02    1.0226620519672598e-04
    96.00     2.707    1.3048380255934876e-02    6.5272581796819036e-05
   100.00     2.821    1.3033234797056070e-02    7.9177080656868165e-05
   104.00     2.929    1.3026433464466162e-02    5.5034921784920619e-05
   112.00     3.152    1.3024409080955928e-02    3.4353637929252766e-05
   116.00     3.282    1.3019816458539221e-02    1.1901311464080698e-05
   120.00     3.395    1.3018439178951747e-02    4.3278327706684253e-05
   124.00     3.535    1.3016459224916331e-02    1.9146842535813773e-05
   128.00     3.649    1.3013177932943345e-02    1.2666042566769859e-05
   132.00     3.759    1.3011992798303052e-02    9.9291377073735678e-06
   136.00     3.876    1.3011576465846686e-02    6.9862826631266304e-06
   140.00     3.996    1.3011189911486988e-02    1.4063750412479721e-05
   148.00     4.239    1.3010372753330770e-02    6.6502017082375870e-06
   152.00     4.349    1.3009916726708023e-02    8.7971134382564865e-06
   160.00     4.578    1.3009550065788819e-02    4.0954395212985684e-06
   164.00     4.690    1.3009429404995091e-02    3.5949272974399162e-06
   168.00     4.801    1.3009117417127364e-02    1.7151297307350551e-06
   176.00     5.026    1.3009037651832644e-02    1.6630315080748764e-06
   180.00     5.136    1.3008969411873678e-02    1.1673616267806607e-06
   184.00     5.251    1.3008969030591734e-02    1.6086809665627900e-06
   188.00     5.363    1.3008925493221662e-02    1.3542987762798695e-06
   192.00     5.474    1.3008911999290058e-02    4.0157847297697663e-07
   196.00     5.586    1.3008909781795901e-02    8.2836294697874364e-07
   200.00     5.696    1.3008904870187748e-02    1.0018466823645723e-06
   204.00     5.810    1.3008904171233963e-02    3.1803961661698461e-07
   208.00     5.920    1.3008903132280075e-02    6.8778943780948410e-07
   212.00     6.030    1.3008900071838383e-02    8.8626926657801655e-07
   216.00     6.139    1.3008899381987783e-02    2.1160327199208461e-07
   220.00     6.262    1.3008898910377032e-02    7.5143969975653693e-07
   224.00     6.377    1.3008898413457448e-02    1.4522820812185982e-07
   228.00     6.494    1.3008898200241410e-02    1.7709548139538734e-07
   232.00     6.612    1.3008898185018283e-02    4.1940181004043668e-07
   236.00     6.728    1.3008897256318633e-02    1.5750417273220076e-07
   240.00     6.839    1.3008924739121490e-02    4.1096046386429815e-06
   244.00     6.955    1.3008896719708844e-02    1.4607328536997186e-07
   248.00     7.074    1.3008897157239173e-02    1.6477480646766110e-06
   252.00     7.191    1.3008896570103162e-02    3.0869163771931663e-08
   256.00     7.307    1.3008896540335119e-02    5.0341716161374034e-08
   260.00     7.425    1.3008896520588849e-02    6.8647559604591692e-08
   264.00     7.539    1.3008896508174665e-02    2.4106377776046354e-08
   268.00     7.652    1.3008896498326629e-02    2.4767016360633401e-08
   272.00     7.777    1.3008896481229810e-02    2.1206843813996213e-08
   276.00     7.906    1.3008896479303313e-02    1.4886321625793333e-08
   280.00     8.014    1.3008897363252623e-02    6.8328277795298362e-07
   284.00     8.122    1.3008896472045058e-02    2.0805400528851772e-08
   288.00     8.229    1.3008896467005399e-02    2.3991658190584237e-08
