    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8299081998376076e-01
     1.00     0.211    7.6039048007041393e-02    4.1535105578433809e-03
     2.00     0.387    5.0128928376283868e-02    1.0158171606921831e-03
     3.00     0.563    5.1493292183781347e-02    3.3522236379725499e-03
     4.00     0.739    3.8683320822949410e-02    1.3200350902736468e-03
     5.00     0.914    2.8357973935816520e-02    1.2596596512312126e-03
     6.00     1.087    2.2286882663410244e-02    2.7842298528232287e-03
     7.00     1.261    1.6513061835916890e-02    1.1105259856094461e-03
     8.00     1.435    1.4651590100518287e-02    5.7556893904803122e-04
     9.00     1.609    1.4905805984632160e-02    1.7173091030615692e-03
    10.00     1.784    1.3821730219548540e-02    1.4348576015341477e-03
    11.00     1.960    1.3599474426359712e-02    1.0846045757735197e-03
    12.00     2.136    1.3231639227366478e-02    5.6919466425434594e-04
    13.00     2.311    1.3115083278355835e-02    1.4348146474534322e-04
    14.00     2.487    1.3078502521724262e-02    1.3770633648082242e-04
    15.00     2.665    1.3056267166376671e-02    1.0640236951716460e-04
    16.00     2.842    1.3042530230033182e-02    7.0059775663220273e-05
    17.00     3.016    1.3034758231789473e-02    8.4944857312184993e-05
    18.00     3.188    1.3027891996692270e-02    2.0734789018710937e-05
    19.00     3.361    1.3023622327679216e-02    6.9018043253916046e-06
    20.00     3.535    1.3020571150848906e-02    3.1067424322344642e-05
    21.00     3.709    1.3018139037871372e-02    2.9332273468491494e-05
    22.00     3.882    1.3016147958551489e-02    4.3558724947758496e-06
    23.00     4.056    1.3014687981090244e-02    5.7279751642826872e-06
    24.00     4.229    1.3013538855357634e-02    5.1740730256780219e-06
    25.00     4.402    1.3012630309196201e-02    3.6672090897253419e-06
    26.00     4.576    1.3011914414260275e-02    7.8187387498911507e-06
    27.00     4.749    1.3011341092565446e-02    9.6402860884553134e-06
    28.00     4.922    1.3010866147403721e-02    2.6560015384158042e-06
    29.00     5.096    1.3010494045944773e-02    3.0868088804398547e-06
    30.00     5.269    1.3010194225706000e-02    2.4137846165428716e-06
    31.00     5.444    1.3009951864268288e-02    1.7792697824381269e-06
    32.00     5.618    1.3009756013366755e-02    2.4348494123325655e-06
    33.00     5.792    1.3009597956919439e-02    2.5537391261144804e-06
    34.00     5.965    1.3009469047650992e-02    1.7483017095835922e-06
    35.00     6.140    1.3009364681828412e-02    1.6567260160704326e-06
    36.00     6.313    1.3009279638237781e-02    1.2313163707530888e-06
    37.00     6.487    1.3009210537529389e-02    1.4989814392941056e-06
    38.00     6.661    1.3009153987791117e-02    1.0170917265864016e-06
    39.00     6.835    1.3009107862771192e-02    1.2749890944305910e-06
    40.00     7.008    1.3009070055591123e-02    7.4570346638345943e-07
    41.00     7.181    1.3009039162311130e-02    6.1579492624472276e-07
    42.00     7.355    1.3009013868151165e-02    6.1480548504544831e-07
    43.00     7.527    1.3008993106780867e-02    5.3844158518287629e-07
    44.00     7.701    1.3008976064781191e-02    6.0483708655209414e-07
    45.00     7.875    1.3008962054983609e-02    4.2015857491109880e-07
    46.00     8.048    1.3008950578045258e-02    7.3679907784774469e-07
    47.00     8.221    1.3008941092540770e-02    5.4590447231456544e-07
