    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055994529e-01    4.8299081998375826e-01
     0.11     0.014    6.9282125603568967e-01    4.8282795555339797e-01
     0.21     0.033    1.0407142514154907e-01    7.1294104344396536e-02
     0.32     0.053    6.6522112255383084e-02    3.2445420086419319e-02
     0.42     0.071    4.8517245940895494e-02    9.9731061244973714e-03
     0.50     0.086    4.3255313858647199e-02    7.2606824401797504e-03
     0.61     0.107    4.1045629850707775e-02    2.7830004134302089e-02
     0.71     0.129    2.3804917964173014e-02    1.1814969882559831e-02
     0.82     0.151    1.8561001814967084e-02    2.7023403624381829e-03
     0.92     0.171    1.6492547432890373e-02    4.7774130970008503e-04
     1.00     0.187    1.6133010598334743e-02    4.2929864684010990e-04
     1.11     0.206    1.5416356327415018e-02    5.2555541600325239e-04
     1.21     0.227    1.4827881088782434e-02    3.9212558491101535e-04
     1.32     0.246    1.4231349956659632e-02    4.4463606864863370e-04
     1.42     0.268    1.4059954524843741e-02    5.4237658143473024e-04
     1.53     0.289    1.3967669327326716e-02    5.0967399331271874e-04
     1.61     0.303    1.3919498999632145e-02    3.9340538934701751e-04
     1.71     0.321    1.3915947883009356e-02    5.1108331739820045e-04
     1.82     0.340    1.3873140866061721e-02    3.4840261729451904e-04
     1.92     0.360    1.3856206348233402e-02    3.4144770898809923e-04
     2.00     0.376    1.3856171510927667e-02    3.8406495594340244e-04
     2.11     0.398    1.3837853128851416e-02    3.1106617342901760e-04
     2.21     0.417    1.3836666743417698e-02    3.2116007661982081e-04
     2.32     0.438    1.3816371837576160e-02    2.5466352029512049e-04
     2.42     0.457    1.3811126556916268e-02    2.6158085707928924e-04
     2.50     0.472    1.3808347550332402e-02    2.3542377269364666e-04
     2.61     0.491    1.3803407980187206e-02    1.8821175082236395e-04
     2.71     0.512    1.3798808534912414e-02    1.3679079073162921e-04
     2.82     0.533    1.3794842782614088e-02    1.4000369398544705e-04
     2.92     0.548    1.3793742082106255e-02    1.0736694083354554e-04
     3.03     0.568    1.3793144773231873e-02    1.3445942720736263e-04
     3.11     0.582    1.3792639153254699e-02    1.2917253855797408e-04
     3.21     0.601    1.3790140411280639e-02    1.3563364818720014e-04
     3.32     0.620    1.3789236990414653e-02    1.2305722446067792e-04
     3.42     0.643    1.3784399789673813e-02    1.1289575269695246e-04
     3.50     0.659    1.3773362373575997e-02    1.1047488531846735e-04
     3.61     0.681    1.3731533030822043e-02    9.8730973620673489e-05
     3.71     0.697    1.3628656725319677e-02    7.3889750614538322e-05
     3.82     0.712    1.3609697640515219e-02    7.5506867822819457e-05
     3.92     0.733    1.3605768636835920e-02    6.6811128305067506e-05
     4.00     0.750    1.3500808509250218e-02    9.5143979648263424e-05
     4.11     0.771    1.3404298111341074e-02    1.3204092941865468e-04
     4.21     0.794    1.3358958958478035e-02    1.3921746670880880e-04
     4.32     0.810    1.3345464479190635e-02    1.3624342140454256e-04
     4.42     0.830    1.3317188253584961e-02    1.3306216603345950e-04
     4.50     0.847    1.3301366716553830e-02    1.5289583906956329e-04
     4.61     0.868    1.3264134696254698e-02    1.5705339188078253e-04
     4.71     0.889    1.3196368703775265e-02    1.7625997922310176e-04
     4.82     0.912    1.3140153541438071e-02    1.5908402526661916e-04
     4.92     0.934    1.3117064203865580e-02    1.6419534603535950e-04
     5.00     0.949    1.3115339655120127e-02    1.7163075851639488e-04
     5.11     0.967    1.3105466431629553e-02    1.7316604482417743e-04
     5.21     0.987    1.3100852299006805e-02    1.1875732898405772e-04
     5.32     1.011    1.3094521072203571e-02    8.0241133831386856e-05
     5.42     1.032    1.3089064386777921e-02    3.1730132515320964e-05
     5.53     1.054    1.3086206014046494e-02    2.5383146263069694e-05
     5.61     1.072    1.3083139642672333e-02    3.3851324910797023e-05
     5.71     1.094    1.3073493974124679e-02    4.7676548673865492e-05
     5.82     1.117    1.3051321923530580e-02    5.0062943922567601e-05
