    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8299081998376076e-01
     1.00     0.191    1.9880532898806150e-02    2.1241708884860351e-03
     2.00     0.382    1.7537402180068887e-02    5.0328570550310929e-04
     3.00     0.593    1.6917688140690678e-02    5.6690644811134506e-04
     4.00     0.804    1.6528524802342369e-02    3.2248349510341994e-04
     5.00     0.991    1.6354353268706455e-02    6.1468751558919237e-04
     6.00     1.180    1.6142960107011189e-02    3.8930185670019797e-04
     7.00     1.368    1.6095129118492636e-02    8.0072614733336836e-04
     8.00     1.557    1.5910130951655388e-02    2.4013920176689773e-04
     9.00     1.753    1.5832826238088706e-02    2.7694978735205017e-04
    10.00     1.975    1.5770454656740391e-02    2.2534763630692727e-04
    11.00     2.167    1.5717668017034558e-02    3.3542036189745646e-04
    12.00     2.357    1.5656789967669879e-02    3.2452511081286684e-04
    13.00     2.559    1.5611225908853587e-02    2.1614703104570472e-04
    14.00     2.761    1.5590375405456052e-02    5.7059777460580501e-04
    15.00     2.951    1.5542512904705159e-02    3.8260885831215631e-04
    16.00     3.140    1.5524908079423319e-02    6.0979477984487171e-04
    17.00     3.330    1.5472076468974579e-02    2.1694783593748527e-04
    18.00     3.519    1.5455387288594736e-02    3.5568705110586209e-04
    19.00     3.709    1.5439113621611759e-02    4.5504254449301080e-04
    20.00     3.898    1.5397879120227418e-02    3.5772233159626655e-04
    21.00     4.089    1.5373366811517875e-02    3.1587061776500457e-04
    22.00     4.278    1.5358501223207317e-02    4.0629968893512059e-04
    23.00     4.467    1.5368872364736700e-02    6.3913101759480563e-04
    24.00     4.673    1.5314867145908599e-02    2.2562147708065979e-04
    25.00     4.890    1.5298605189539464e-02    2.2982214971485474e-04
    26.00     5.080    1.5283958666459452e-02    1.8959680647186698e-04
    27.00     5.280    1.5296333602118857e-02    5.9318138029394003e-04
    28.00     5.489    1.5260047383003716e-02    4.0325119541616375e-04
    29.00     5.677    1.5240129100529494e-02    1.7414383291512815e-04
    30.00     5.865    1.5226522688423514e-02    1.6995192748828458e-04
    31.00     6.055    1.5215361404047086e-02    1.7902345577471980e-04
    32.00     6.244    1.5208855521802027e-02    2.8687979825629215e-04
    33.00     6.433    1.5193229285806530e-02    3.2365433759567249e-04
    34.00     6.623    1.5180924599179560e-02    3.1468532583688231e-04
    35.00     6.812    1.5167215842049317e-02    1.7797121706853667e-04
    36.00     7.002    1.5163326388815922e-02    3.6792784439357420e-04
    37.00     7.191    1.5147704427919026e-02    2.0878267226098843e-04
    38.00     7.380    1.5152570473300091e-02    3.6335752332935996e-04
    39.00     7.569    1.5135023202880708e-02    3.4985756065309466e-04
    40.00     7.758    1.5124461450171956e-02    1.9968643030051725e-04
    41.00     7.967    1.5118967584594986e-02    2.5089839919688789e-04
    42.00     8.176    1.5133473615424109e-02    4.7267203612201867e-04
