    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8299081998376076e-01
     0.10     0.058    1.6489906833483500e-02    1.3596350479180431e-03
     0.20     0.116    1.5949397184865287e-02    3.7056537488435034e-03
     0.30     0.173    1.5106321873643993e-02    2.7055705715904373e-03
     0.40     0.231    1.4603729070729932e-02    1.9963154665009145e-03
     0.50     0.289    1.4343521502576867e-02    1.2672232611226507e-03
     0.60     0.347    1.4009331291935673e-02    1.0664982030630958e-03
     0.70     0.405    1.3830342290930895e-02    1.0448189788400237e-03
     0.80     0.462    1.3700602879513654e-02    9.5930775681701374e-04
     0.90     0.521    1.3597842151376041e-02    8.1514105088555165e-04
     1.00     0.579    1.3534810175725581e-02    7.2377530028450350e-04
     1.10     0.637    1.3226722338349733e-02    5.3756182931658750e-04
     1.20     0.695    1.3142472538133519e-02    3.6757728714091208e-04
     1.30     0.754    1.3099597242217948e-02    2.8250423672729536e-04
     1.40     0.812    1.3071616438443194e-02    2.1137618052231266e-04
     1.50     0.870    1.3051174830443621e-02    1.6022273712624485e-04
     1.60     0.929    1.3031034618025759e-02    1.3124674916650789e-04
     1.70     0.987    1.3024512900920691e-02    1.0795206751955796e-04
     1.80     1.045    1.3016723158612091e-02    8.6943980400622147e-05
     1.90     1.103    1.3013117540180832e-02    5.8592767990814719e-05
     2.00     1.161    1.3010545295783910e-02    3.7326107087444403e-05
     2.10     1.219    1.3009626588401390e-02    2.4054427621370490e-05
     2.20     1.277    1.3009136395224569e-02    1.4061048287368492e-05
     2.30     1.335    1.3008988762056953e-02    9.7863281828150953e-06
     2.40     1.393    1.3008942479389985e-02    6.1536847406347616e-06
     2.50     1.451    1.3008918320255403e-02    3.3859863735516936e-06
     2.60     1.509    1.3008900937617562e-02    1.9807689061086212e-06
     2.70     1.568    1.3008898164494955e-02    1.1960207247520436e-06
     2.80     1.626    1.3008896742009553e-02    6.0118545654421701e-07
     2.90     1.685    1.3008896509125005e-02    2.3343249854893675e-07
     3.00     1.743    1.3008896468862141e-02    9.5858781677574356e-08
     3.10     1.801    1.3008896461050223e-02    4.3290723380654477e-08
     3.20     1.859    1.3008896459126156e-02    1.5040271016867746e-08
     3.30     1.918    1.3008896458959137e-02    7.0230614251662877e-09
     3.40     1.977    1.3008896458933869e-02    2.9846953683550166e-09
     3.50     2.036    1.3008896458927761e-02    9.1361432545198208e-10
