    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8299081998376076e-01
     2.00     0.544    1.3896382946784155e-01    1.1362697572790841e-01
     3.00     0.822    5.6365270811392296e-02    3.9053987352788880e-02
     4.00     1.098    2.9367074827010231e-02    1.3798966320285044e-02
     5.00     1.373    1.9054653453957581e-02    5.0180261035959409e-03
     6.00     1.648    1.4839562523790305e-02    1.9197926299710085e-03
     7.00     1.923    1.3368972797146517e-02    6.9266368803940740e-04
     8.00     2.199    1.3037341442561086e-02    1.8168633478196530e-04
     9.00     2.474    1.3009189158294228e-02    1.9064391078138263e-05
    10.00     2.749    1.3008896497667035e-02    2.2694265843200613e-07
    11.00     3.027    1.3008896458926549e-02    3.1024089104361903e-11
