    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2837419783665921e-01
     4.00     0.038    6.3577324191462203e-01    9.4061584998027831e-02
     8.00     0.080    5.7594020060159323e-01    1.7249379977134688e-02
    12.00     0.120    5.6575296227469529e-01    1.5041672006120154e-02
    16.00     0.159    5.5115513177845832e-01    1.6039021924858142e-02
    20.00     0.199    5.4898373201517892e-01    4.7277755986376612e-03
    24.00     0.240    5.4730899474480943e-01    8.5787389416309874e-03
    28.00     0.281    5.4561940244658569e-01    4.3687840756160270e-03
    32.00     0.321    5.4461636519182266e-01    3.7177013221557590e-03
    36.00     0.361    5.4387454846015171e-01    1.9928071915391353e-03
    40.00     0.399    5.4369177737936503e-01    1.8701670294217702e-03
    44.00     0.438    5.4349658222856567e-01    1.4044621791589153e-03
    48.00     0.477    5.4342645927799405e-01    7.7341283411242238e-04
    52.00     0.518    5.4340477137071996e-01    5.2193159512760020e-04
    56.00     0.558    5.4338240603465005e-01    7.6992782869724863e-04
    60.00     0.597    5.4335740227818952e-01    4.5525541491439543e-04
    64.00     0.637    5.4334704578115856e-01    4.1273846774308337e-04
    68.00     0.675    5.4332165109566333e-01    3.7918617254531392e-04
    72.00     0.713    5.4331283382181161e-01    3.4799437365039433e-04
    76.00     0.752    5.4330586160451955e-01    2.8031194139438865e-04
    80.00     0.791    5.4329569435706837e-01    2.0122205218229400e-04
    84.00     0.828    5.4329354573879252e-01    1.3341848468062664e-04
    88.00     0.867    5.4329192732789633e-01    2.1993284711564726e-04
    92.00     0.904    5.4328607885483071e-01    3.1450292461960601e-04
    96.00     0.943    5.4327639772118719e-01    4.2727887978145543e-04
   100.00     0.981    5.4326137618066994e-01    3.4495355204905095e-04
   104.00     1.019    5.4324857742229593e-01    3.9283627646126418e-04
   108.00     1.057    5.4323986489729381e-01    3.5703801871484722e-04
   112.00     1.096    5.4323088693682586e-01    9.2962364189977623e-05
   116.00     1.133    5.4322656992158003e-01    2.5739047577987630e-04
   120.00     1.172    5.4322295816432331e-01    1.6198575602373750e-04
   124.00     1.210    5.4322014632788895e-01    1.0642196382585195e-04
   128.00     1.249    5.4321925350666023e-01    7.5999176250738995e-05
   132.00     1.287    5.4321353653682491e-01    1.2853212470786670e-04
   136.00     1.325    5.4321120448347038e-01    1.2986298778048790e-04
   140.00     1.363    5.4320065542957319e-01    1.2622016356872949e-04
   144.00     1.403    5.4319931201444893e-01    1.0804577793278935e-04
   148.00     1.441    5.4319371440369091e-01    9.1509542853581945e-05
   152.00     1.480    5.4319236036421437e-01    9.4299288999011990e-05
   156.00     1.519    5.4318952831237732e-01    9.9402532840607325e-05
   160.00     1.558    5.4318861182114864e-01    5.2005687716085523e-05
   164.00     1.597    5.4318816610926524e-01    4.0845350418000273e-05
   168.00     1.635    5.4318719267508753e-01    5.2465521965583602e-05
