    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2837419783665921e-01
     8.00     0.083    6.0418699848368729e-01    5.4056905095877371e-02
    12.00     0.122    5.6393080340764024e-01    1.2507073771236046e-02
    16.00     0.160    5.4799017415222628e-01    4.3630710149396732e-03
    20.00     0.200    5.4645166203749096e-01    3.7972337836012192e-03
    24.00     0.237    5.4445226944173597e-01    5.4835310929543454e-03
    28.00     0.275    5.4386785097915957e-01    3.7207279322274867e-03
    32.00     0.313    5.4372378939417410e-01    1.7236403244753813e-03
    40.00     0.391    5.4346581352742185e-01    9.6352999671181071e-04
    48.00     0.469    5.4339737110300601e-01    4.5896573941644336e-04
    52.00     0.506    5.4336674577305921e-01    3.8300374374783272e-04
    56.00     0.545    5.4333461899714686e-01    8.3898077389800701e-04
    60.00     0.584    5.4332306168851263e-01    6.5634282860755418e-04
    64.00     0.624    5.4331008262554492e-01    5.7388007787971085e-04
    68.00     0.662    5.4329882437783639e-01    2.2783271959416564e-04
    72.00     0.700    5.4329354321670620e-01    2.9480903444927361e-04
    76.00     0.738    5.4329050510721733e-01    1.9767617589870623e-04
    80.00     0.776    5.4328554895876591e-01    2.9761224917665516e-04
    84.00     0.814    5.4327724472200045e-01    2.8442281565774972e-04
    88.00     0.852    5.4326992381909744e-01    3.8731366654879031e-04
    96.00     0.929    5.4324757882713359e-01    3.0260081388450789e-04
   100.00     0.966    5.4323928927499820e-01    3.7924729353895961e-04
   104.00     1.004    5.4322828401343159e-01    2.0280913287988085e-04
   108.00     1.042    5.4322411461964160e-01    1.2974071248263839e-04
   112.00     1.080    5.4322316282233241e-01    1.3929446982854666e-04
   116.00     1.120    5.4322106109500923e-01    2.7366221248067242e-04
   120.00     1.157    5.4322065543390563e-01    3.6227804184591568e-04
   124.00     1.195    5.4321474651000079e-01    2.4431950512935425e-04
   128.00     1.233    5.4321218205526245e-01    1.4919370295422095e-04
   132.00     1.272    5.4320916408268116e-01    2.3799664891074377e-04
   136.00     1.309    5.4320762524503230e-01    1.6663507567189209e-04
   144.00     1.386    5.4320452678770659e-01    2.7562514852337615e-04
   148.00     1.424    5.4320232924097223e-01    3.2327748810357065e-04
   152.00     1.462    5.4319698566583063e-01    2.6866771361531619e-04
   156.00     1.500    5.4319361201510186e-01    4.5576618017821076e-04
   160.00     1.538    5.4319199237769977e-01    2.1978690423835769e-04
   164.00     1.576    5.4319033090040725e-01    1.3525824299753206e-04
   168.00     1.615    5.4318880929310775e-01    1.5776239216762112e-04
   172.00     1.652    5.4318799041046328e-01    1.5414252040379500e-04
