    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2837419783665921e-01
     1.00     0.054    6.5235983279290644e-01    1.3257949804478661e-01
     2.00     0.102    6.5321653054484863e-01    1.4985829569536030e-01
     3.00     0.150    6.3749821847308652e-01    1.4753977678125160e-01
     4.00     0.198    6.3769721412280456e-01    1.5332561338789805e-01
     5.00     0.245    5.6342982925810103e-01    3.4847412460407567e-02
     6.00     0.291    5.7501067232320391e-01    8.9685241001600399e-02
     7.00     0.338    5.6429450523463154e-01    6.7953073385771015e-02
     8.00     0.385    5.5046578613018471e-01    2.8222673546424364e-02
     9.00     0.433    5.4804836419613978e-01    2.7697811885562182e-02
    10.00     0.481    5.5075549558668158e-01    3.0317706236660788e-02
    11.00     0.529    5.4607629261998814e-01    2.3559331850241307e-02
    12.00     0.578    5.4399909691981918e-01    9.1778679499519376e-03
    13.00     0.626    5.4485157486693803e-01    2.0712941590068559e-02
    14.00     0.674    5.4500993688241850e-01    2.3993712928772951e-02
    15.00     0.723    5.4333232762581885e-01    3.3360853432567320e-03
    16.00     0.771    5.4414841796320212e-01    1.6960642318997968e-02
    17.00     0.819    5.4516858845525251e-01    2.5752792209156345e-02
    18.00     0.866    5.4337358226263910e-01    6.9150808466708191e-03
    19.00     0.914    5.4334241551238527e-01    3.7675533422872136e-03
    20.00     0.961    5.4348215352505025e-01    8.1996706118128860e-03
    21.00     1.009    5.4380385092124628e-01    1.3775847804787423e-02
    22.00     1.055    5.4325773207376304e-01    3.0079587648913371e-03
    23.00     1.102    5.4324667025651330e-01    2.7777523150713805e-03
    24.00     1.149    5.4323127300469620e-01    2.6817249473822923e-03
    25.00     1.197    5.4330664604885615e-01    5.8879802862345648e-03
    26.00     1.244    5.4324315806168388e-01    3.7199264663071840e-03
    27.00     1.291    5.4323406719459499e-01    3.8926288769239241e-03
    28.00     1.338    5.4318941068956716e-01    6.0728330670062325e-04
    29.00     1.386    5.4323080027012582e-01    3.7912346092666195e-03
    30.00     1.434    5.4319939638622516e-01    2.0210882355675783e-03
    31.00     1.481    5.4318638692341070e-01    6.1958326259182539e-04
    32.00     1.529    5.4319649426825656e-01    1.9710037719866389e-03
    33.00     1.577    5.4318601843095782e-01    6.1150003940292673e-04
    34.00     1.625    5.4318482181603212e-01    2.0479078982556226e-04
