    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055994529e-01    1.2837419783665946e-01
     0.12     0.007    6.9314657690745196e-01    1.2837392591205313e-01
     0.20     0.014    6.1682449356803970e-01    5.7709305486721769e-02
     0.32     0.023    6.0326036802303207e-01    5.5606049572763314e-02
     0.40     0.030    6.0199608189247333e-01    5.4704333256266044e-02
     0.52     0.041    5.8535001871854797e-01    4.3011471148755434e-02
     0.60     0.047    5.7494209699946230e-01    1.6072555743983481e-02
     0.72     0.059    5.7127078820730537e-01    1.3697915492174613e-02
     0.80     0.065    5.6920145333211358e-01    2.2817503426993058e-02
     0.92     0.075    5.6221793427108580e-01    1.0485691384958130e-02
     1.00     0.082    5.6016225247029661e-01    9.0567046776863867e-03
     1.12     0.092    5.5755122405527369e-01    9.3858020579353878e-03
     1.20     0.099    5.5072848894433979e-01    1.0472985317675990e-02
     1.32     0.109    5.5062235729715470e-01    9.6303780447337395e-03
     1.40     0.117    5.4997086236133230e-01    1.0660714936872227e-02
     1.52     0.128    5.4935979624540698e-01    7.2157257350750417e-03
     1.60     0.134    5.4938661051246063e-01    9.4948815044851829e-03
     1.72     0.143    5.4912927130870526e-01    5.2502440269366867e-03
     1.80     0.150    5.4910304788443254e-01    5.0586352550903730e-03
     1.92     0.159    5.4907767457828327e-01    5.0379385949028948e-03
     2.00     0.165    5.4905981256183023e-01    5.0306443471805481e-03
     2.12     0.178    5.4900825830246702e-01    4.9620213505636463e-03
     2.20     0.185    5.4898719040804778e-01    4.9747360009198922e-03
     2.32     0.195    5.4896811568694859e-01    4.9477321976645148e-03
     2.40     0.199    5.4896811568694859e-01    4.9477321976645148e-03
     2.52     0.209    5.4895636114160551e-01    4.9483396885061232e-03
     2.60     0.217    5.4894260774397030e-01    4.9331082876869952e-03
     2.72     0.228    5.4892174622697198e-01    4.9148239078899945e-03
     2.80     0.235    5.4881269904666474e-01    4.8091010713955428e-03
     2.92     0.246    5.4860275103366163e-01    4.5848705230135565e-03
     3.00     0.253    5.4832184912782500e-01    4.3436717633210803e-03
     3.12     0.265    5.4794526919090647e-01    3.8746103897305609e-03
     3.20     0.272    5.4755796501462228e-01    3.7470680649397442e-03
     3.32     0.284    5.4734648301810729e-01    3.3430267192268528e-03
     3.40     0.291    5.4724785980399415e-01    3.3610594769226503e-03
     3.52     0.303    5.4694706982011942e-01    3.3174480027933361e-03
     3.60     0.311    5.4691202238928494e-01    3.2207916427815578e-03
     3.72     0.322    5.4636129454602755e-01    3.0855720876228417e-03
     3.80     0.330    5.4572293092163748e-01    3.0850218459688473e-03
     3.92     0.340    5.4515151746056212e-01    4.9712522389405382e-03
     4.00     0.348    5.4491030772977200e-01    7.8799387126058957e-03
     4.12     0.360    5.4455627867316836e-01    5.7132730381179234e-03
     4.20     0.367    5.4440743825708138e-01    8.0977896651387316e-03
     4.32     0.376    5.4440487503428492e-01    6.9455873126203624e-03
     4.40     0.383    5.4431077167918318e-01    4.2670596302143808e-03
     4.52     0.393    5.4419223667184724e-01    2.3102155591413929e-03
     4.60     0.400    5.4418525429952935e-01    1.9794122347652088e-03
     4.72     0.411    5.4413544275958980e-01    1.7379113910817061e-03
     4.80     0.419    5.4413360291292545e-01    3.3939849541123955e-03
     4.92     0.433    5.4413319672202332e-01    3.8122514715844117e-03
     5.00     0.440    5.4410871463620347e-01    3.8919814838878461e-03
     5.12     0.451    5.4411243687347399e-01    4.6127117242027952e-03
     5.20     0.460    5.4406954224223736e-01    3.1167717083576962e-03
     5.32     0.472    5.4394114380890868e-01    1.3962305027988300e-03
     5.40     0.480    5.4387993387030642e-01    1.5943336572584817e-03
     5.52     0.492    5.4385697348275475e-01    3.9347994558063971e-03
     5.60     0.500    5.4374495943794554e-01    2.6800545825616602e-03
     5.72     0.512    5.4359463571096678e-01    2.4608751480123246e-03
     5.80     0.520    5.4352891439060413e-01    2.0286677264240004e-03
     5.92     0.532    5.4347735157433463e-01    2.2614098241664137e-03
     6.00     0.541    5.4343723165513691e-01    1.6463179266832965e-03
     6.12     0.554    5.4339408209276374e-01    1.1967961805384169e-03
     6.20     0.563    5.4338784817388519e-01    7.5979499599763555e-04
     6.32     0.577    5.4339811215487810e-01    1.8448524133831987e-03
     6.40     0.585    5.4336343270512022e-01    7.1714921224898807e-04
     6.52     0.599    5.4336433483056346e-01    1.4822660020654449e-03
     6.60     0.608    5.4335013181505454e-01    1.2569451244349543e-03
     6.72     0.620    5.4333275393139890e-01    7.5598345324814280e-04
     6.80     0.628    5.4332817206817119e-01    7.8579970603192650e-04
     6.92     0.638    5.4332458294128438e-01    6.6842811604168905e-04
     7.00     0.647    5.4332404872750839e-01    6.7657884343326198e-04
     7.12     0.660    5.4332111247511294e-01    8.2089797953310373e-04
     7.20     0.669    5.4331067226784158e-01    4.6796495417122827e-04
     7.32     0.681    5.4330427742799725e-01    4.9019408463934480e-04
     7.40     0.689    5.4330127943348616e-01    2.9751563203662691e-04
     7.52     0.702    5.4329796865254498e-01    4.7639430347083439e-04
     7.60     0.711    5.4329633604286065e-01    5.1723881542887064e-04
     7.72     0.725    5.4329445629327333e-01    4.1661996463206912e-04
     7.80     0.734    5.4329091696492182e-01    3.6295311382874120e-04
     7.92     0.749    5.4328736305517755e-01    3.9175825370128142e-04
     8.00     0.757    5.4328459819049335e-01    3.3887115799633929e-04
     8.12     0.770    5.4328094640331170e-01    2.7217182138421767e-04
     8.20     0.778    5.4327774001257678e-01    2.5580918802636067e-04
     8.32     0.791    5.4327307280599857e-01    2.2209185886303912e-04
     8.40     0.800    5.4327131209936297e-01    3.8681624365773868e-04
     8.52     0.813    5.4326681654860909e-01    2.6230013871907055e-04
     8.60     0.822    5.4326404650657023e-01    1.9800410504827671e-04
     8.72     0.839    5.4325950892511854e-01    3.3327001883881201e-04
     8.80     0.848    5.4325459202801230e-01    3.4899934833488905e-04
     8.92     0.862    5.4324680301410699e-01    2.4352317296119752e-04
     9.00     0.872    5.4324180832536229e-01    2.4811476065224336e-04
     9.12     0.886    5.4323599185118465e-01    3.1709295234281571e-04
     9.20     0.894    5.4323262098845682e-01    3.1127346585614173e-04
     9.32     0.907    5.4322718964756489e-01    4.2884006934708449e-04
     9.40     0.917    5.4322478610169622e-01    6.8133723968582063e-04
     9.52     0.935    5.4321901532279449e-01    2.0992619807257642e-04
     9.60     0.944    5.4321715166580997e-01    4.1966586559270456e-04
     9.72     0.959    5.4321210603715020e-01    4.2346494333168021e-04
     9.80     0.969    5.4321066703355469e-01    3.7527691536362991e-04
     9.92     0.983    5.4320685376303213e-01    5.1237348097774439e-04
    10.00     0.992    5.4320276897547404e-01    1.9556958717304208e-04
    10.12     1.005    5.4320344053679215e-01    4.2523872418518066e-04
    10.20     1.014    5.4319936455536066e-01    3.8304150843749424e-04
    10.32     1.028    5.4319826993123033e-01    3.4425085598707218e-04
    10.40     1.039    5.4319939233172054e-01    7.0306811242662221e-04
    10.52     1.053    5.4319502475409764e-01    3.0913881017476759e-04
    10.60     1.062    5.4319511648716245e-01    5.6152039965962498e-04
    10.72     1.075    5.4319211123462630e-01    2.9123047122453781e-04
    10.80     1.085    5.4319030579606509e-01    3.0765514989955950e-04
    10.92     1.098    5.4319016439241696e-01    3.3994021338253235e-04
    11.00     1.107    5.4318937071264306e-01    3.4435618457733728e-04
    11.12     1.122    5.4318856058021137e-01    3.2424286478423248e-04
    11.20     1.132    5.4319063122443689e-01    5.1697925352480801e-04
    11.32     1.148    5.4318763605650044e-01    2.1304803048672021e-04
    11.40     1.157    5.4318726384291327e-01    2.9128499693347577e-04
    11.52     1.170    5.4318691499903993e-01    3.4898942387264474e-04
    11.60     1.176    5.4318691499903993e-01    3.4898942387264474e-04
    11.72     1.191    5.4318651972983178e-01    2.5111234375923836e-04
    11.80     1.201    5.4318633419150308e-01    2.0015486078999096e-04
    11.92     1.216    5.4318542952212889e-01    2.3327832128172772e-04
    12.00     1.225    5.4318553512253431e-01    1.8329860830387692e-04
    12.12     1.240    5.4318587118616235e-01    2.2563503082724000e-04
    12.20     1.251    5.4318529874204113e-01    2.3124305586171010e-04
    12.32     1.264    5.4318537539117728e-01    2.7978970263115694e-04
    12.40     1.273    5.4318530127155729e-01    1.7692021577116047e-04
    12.52     1.288    5.4318524040026794e-01    1.8010368933824513e-04
    12.60     1.299    5.4318491147630499e-01    2.2541741660206179e-04
    12.72     1.314    5.4318497647937192e-01    1.8175229979953622e-04
    12.80     1.324    5.4318478190754960e-01    7.5187346359372373e-05
    12.92     1.334    5.4318469597910335e-01    1.2253446539027706e-04
    13.00     1.344    5.4318474326076283e-01    1.4659457146828651e-04
    13.12     1.358    5.4318452670622819e-01    7.9757175602844266e-05
    13.20     1.368    5.4318448809652653e-01    8.9177083812266755e-05
    13.32     1.383    5.4318452507526915e-01    1.0102063531272871e-04
    13.40     1.392    5.4318451053288297e-01    1.4893276292130377e-04
    13.52     1.403    5.4318441474045820e-01    1.2942330752298533e-04
    13.60     1.414    5.4318445028550399e-01    1.0045514581078535e-04
    13.72     1.429    5.4318437501125560e-01    6.1337716253438219e-05
    13.80     1.439    5.4318433226235696e-01    8.6224839715484761e-05
    13.92     1.452    5.4318440111015154e-01    6.3530795823797754e-05
    14.00     1.462    5.4318432404290473e-01    4.7813466259230496e-05
    14.12     1.477    5.4318428163749710e-01    7.5925344535377173e-05
    14.20     1.486    5.4318432167675457e-01    8.0965801408549895e-05
    14.32     1.501    5.4318427559219462e-01    5.3130598937078632e-05
    14.40     1.512    5.4318425541203785e-01    5.0167580908921460e-05
    14.52     1.526    5.4318425400425530e-01    4.6806484000030252e-05
    14.60     1.534    5.4318423264092497e-01    4.3476571025917037e-05
    14.72     1.549    5.4318422898125063e-01    2.5912862878293044e-05
    14.80     1.559    5.4318422056017768e-01    2.0883266588279196e-05
    14.92     1.573    5.4318423744539490e-01    5.8215808798272324e-05
    15.00     1.582    5.4318422241004727e-01    3.7401056044618419e-05
    15.12     1.597    5.4318423042842334e-01    4.8565286389380167e-05
    15.20     1.607    5.4318421727140453e-01    3.5559771641654778e-05
    15.32     1.621    5.4318421533622485e-01    3.0227816237074262e-05
    15.40     1.631    5.4318421025403596e-01    1.5560965131326265e-05
    15.52     1.646    5.4318420883600782e-01    1.9506937258261365e-05
    15.60     1.656    5.4318421298611264e-01    2.2001676745279836e-05
    15.72     1.671    5.4318421133529615e-01    1.2940825185345032e-05
    15.80     1.680    5.4318420607186413e-01    1.1817133001032585e-05
    15.92     1.695    5.4318420547665902e-01    1.1245560377924602e-05
    16.00     1.705    5.4318420814900226e-01    1.6806271661445910e-05
    16.12     1.720    5.4318420478275720e-01    1.4206170008800453e-05
    16.20     1.729    5.4318420517848698e-01    1.4679962393652177e-05
    16.32     1.744    5.4318420192490413e-01    1.0277721578235855e-05
    16.40     1.754    5.4318420176375792e-01    7.1308434669014644e-06
    16.52     1.768    5.4318420121244571e-01    5.7548715951674501e-06
    16.60     1.777    5.4318420137175205e-01    3.2782075343716465e-06
    16.72     1.791    5.4318420097018738e-01    4.2803882601429240e-06
    16.80     1.801    5.4318420109694598e-01    8.6279164392160121e-06
    16.92     1.816    5.4318420144872781e-01    7.8916627883688128e-06
    17.00     1.825    5.4318420055108052e-01    5.1938644912156940e-06
    17.12     1.839    5.4318420108878174e-01    4.3237178313715491e-06
    17.20     1.849    5.4318420075969853e-01    4.3778185179922559e-06
    17.32     1.863    5.4318420046644333e-01    3.0347709352451159e-06
    17.40     1.872    5.4318420053626348e-01    4.5064738509396524e-06
    17.52     1.885    5.4318420007187118e-01    3.8676810996806795e-06
    17.60     1.894    5.4318420019000657e-01    3.2659828656490146e-06
    17.72     1.907    5.4318420017040370e-01    3.9660651129919100e-06
    17.80     1.918    5.4318419996357326e-01    3.1396385619336984e-06
    17.92     1.932    5.4318419988833067e-01    2.1614525236665262e-06
    18.00     1.942    5.4318419997238376e-01    4.1761054291231127e-06
    18.12     1.956    5.4318419986692790e-01    2.3090039047258869e-06
    18.20     1.966    5.4318419986349842e-01    2.0919590863300541e-06
    18.32     1.980    5.4318419979337795e-01    1.7693725092679890e-06
    18.40     1.990    5.4318419981994359e-01    1.3631592773114164e-06
    18.52     2.004    5.4318419974607235e-01    1.2650233701984459e-06
    18.60     2.015    5.4318419976772869e-01    1.1040983870128045e-06
    18.72     2.029    5.4318419974343002e-01    1.2359392256667386e-06
    18.80     2.039    5.4318419973955356e-01    2.1212558098829412e-06
    18.92     2.053    5.4318419969208109e-01    8.1192686229961762e-07
    19.00     2.062    5.4318419969522247e-01    9.1526543398481622e-07
    19.12     2.077    5.4318419967762377e-01    7.7088300757540725e-07
    19.20     2.086    5.4318419968635756e-01    8.4948627790087307e-07
    19.32     2.101    5.4318419967443488e-01    7.2784125584158037e-07
    19.40     2.110    5.4318419967545883e-01    5.7382051081328248e-07
    19.52     2.125    5.4318419968205445e-01    8.9190916242932106e-07
    19.60     2.135    5.4318419966998555e-01    6.9371777377646220e-07
    19.72     2.149    5.4318419967924025e-01    1.2244773045588352e-06
    19.80     2.159    5.4318419967325915e-01    1.3047120693200347e-06
    19.92     2.172    5.4318419966929454e-01    4.6626310556264268e-07
    20.00     2.183    5.4318419966502995e-01    3.7269536625648684e-07
    20.12     2.196    5.4318419966345288e-01    4.0130238571192711e-07
    20.20     2.206    5.4318419966317888e-01    2.6359186504856933e-07
    20.32     2.221    5.4318419966226539e-01    4.3078384878103757e-07
    20.40     2.231    5.4318419966181930e-01    2.2671343053828576e-07
    20.52     2.246    5.4318419966164988e-01    2.4204099308068525e-07
    20.60     2.255    5.4318419966082632e-01    1.0305837526514186e-07
    20.72     2.270    5.4318419966111187e-01    2.4783808748640758e-07
    20.80     2.279    5.4318419966142761e-01    2.7014585167660680e-07
    20.92     2.293    5.4318419966093823e-01    1.8198657839464062e-07
    21.00     2.304    5.4318419966086606e-01    1.5999636466743919e-07
    21.12     2.319    5.4318419966098019e-01    1.8175992562731715e-07
    21.20     2.329    5.4318419966080111e-01    1.5648294563479007e-07
    21.32     2.343    5.4318419966066456e-01    1.3328571559400273e-07
    21.40     2.354    5.4318419966052922e-01    1.2731630887561695e-07
    21.52     2.368    5.4318419966050624e-01    1.0080843645208838e-07
    21.60     2.378    5.4318419966043663e-01    5.1263709045348058e-08
    21.72     2.392    5.4318419966047649e-01    6.7863509364685586e-08
    21.80     2.402    5.4318419966048392e-01    1.1838350637686515e-07
    21.92     2.417    5.4318419966039444e-01    3.4913675319317157e-08
    22.00     2.427    5.4318419966043663e-01    7.5388094850542585e-08
    22.12     2.442    5.4318419966038711e-01    1.7397406589631649e-08
    22.20     2.452    5.4318419966038090e-01    3.1840376156814584e-08
    22.32     2.469    5.4318419966038045e-01    4.2718404752819467e-08
    22.40     2.480    5.4318419966037512e-01    3.1126318051603337e-08
    22.52     2.498    5.4318419966036291e-01    2.4294434685576243e-08
    22.60     2.508    5.4318419966036524e-01    3.4748804593021484e-08
    22.72     2.524    5.4318419966035669e-01    2.1109947232337195e-08
    22.80     2.533    5.4318419966035003e-01    1.0994208665335366e-08
    22.92     2.549    5.4318419966034526e-01    2.4176771694413103e-08
    23.00     2.557    5.4318419966034381e-01    1.5115298582284947e-08
    23.12     2.573    5.4318419966034148e-01    2.9459514630846248e-08
    23.20     2.583    5.4318419966033638e-01    1.6736403622407649e-08
    23.32     2.598    5.4318419966033271e-01    1.8241474756259374e-08
    23.40     2.608    5.4318419966033216e-01    1.9885189232584203e-08
    23.52     2.625    5.4318419966032572e-01    1.5834561579499528e-08
    23.60     2.636    5.4318419966032294e-01    8.2895588460787165e-09
    23.72     2.650    5.4318419966032061e-01    8.3406402292482755e-09
    23.80     2.660    5.4318419966032083e-01    1.5794187712547097e-08
    23.92     2.674    5.4318419966031939e-01    1.3270318264673710e-08
    24.00     2.684    5.4318419966032061e-01    1.6326204953972057e-08
    24.12     2.699    5.4318419966031872e-01    7.0084300297931965e-09
    24.20     2.709    5.4318419966032117e-01    2.0459391626868571e-08
    24.32     2.725    5.4318419966031783e-01    8.6380341460993317e-09
    24.40     2.734    5.4318419966031761e-01    9.4511960808381967e-09
    24.52     2.748    5.4318419966031706e-01    9.0595387332340920e-09
    24.60     2.757    5.4318419966031739e-01    7.8567259455818397e-09
    24.72     2.771    5.4318419966031684e-01    8.7864688788155958e-09
    24.80     2.782    5.4318419966031628e-01    4.4768141314974657e-09
    24.92     2.796    5.4318419966031606e-01    3.8124273329158130e-09
    25.00     2.806    5.4318419966031584e-01    3.0513283366859258e-09
    25.12     2.821    5.4318419966031595e-01    4.1653344445073581e-09
    25.20     2.831    5.4318419966031639e-01    7.6404737102323645e-09
    25.32     2.846    5.4318419966031606e-01    5.1634431433166481e-09
    25.40     2.856    5.4318419966031584e-01    3.7763966857970501e-09
    25.52     2.870    5.4318419966031561e-01    1.9247752848763609e-09
    25.60     2.880    5.4318419966031573e-01    4.2860170524128353e-09
    25.72     2.894    5.4318419966031573e-01    2.8935595414425588e-09
    25.80     2.904    5.4318419966031573e-01    2.2797946778746825e-09
    25.92     2.920    5.4318419966031550e-01    1.6474133464162036e-09
    26.00     2.929    5.4318419966031550e-01    1.8451141481321370e-09
    26.12     2.944    5.4318419966031550e-01    1.5990880318525035e-09
    26.20     2.955    5.4318419966031561e-01    1.1493776109227749e-09
    26.32     2.970    5.4318419966031561e-01    2.1439666173732828e-09
    26.40     2.980    5.4318419966031550e-01    1.0442499084235354e-09
    26.52     2.996    5.4318419966031550e-01    1.2190138849400804e-09
    26.60     3.005    5.4318419966031550e-01    1.1054458104857869e-09
    26.72     3.020    5.4318419966031550e-01    1.1446084855614340e-09
    26.80     3.030    5.4318419966031550e-01    1.0749450695886704e-09
    26.92     3.043    5.4318419966031561e-01    1.1214863386073929e-09
    27.00     3.053    5.4318419966031550e-01    1.1728390553783043e-09
    27.12     3.069    5.4318419966031550e-01    5.9422691354669695e-10
    27.20     3.078    5.4318419966031539e-01    5.3224391363917372e-10
    27.32     3.092    5.4318419966031561e-01    4.4008327643730800e-10
    27.40     3.101    5.4318419966031550e-01    4.9456389825748489e-10
    27.52     3.115    5.4318419966031539e-01    4.7021436484456168e-10
    27.60     3.126    5.4318419966031550e-01    4.8242246295042283e-10
    27.72     3.141    5.4318419966031561e-01    2.5037244489409469e-10
    27.80     3.151    5.4318419966031561e-01    3.4308591850080537e-10
    27.92     3.166    5.4318419966031539e-01    2.1566181344932956e-10
    28.00     3.176    5.4318419966031550e-01    4.4677981604863060e-10
    28.12     3.191    5.4318419966031561e-01    4.0113252898701160e-10
    28.20     3.200    5.4318419966031550e-01    3.3810477923517898e-10
    28.32     3.215    5.4318419966031561e-01    2.1010170313022437e-10
    28.40     3.224    5.4318419966031550e-01    3.3830982912436326e-10
    28.52     3.237    5.4318419966031550e-01    2.0008545581882195e-10
    28.60     3.246    5.4318419966031550e-01    1.8923608677761061e-10
    28.72     3.261    5.4318419966031550e-01    2.6305090104593857e-10
    28.80     3.270    5.4318419966031550e-01    1.0965353970110199e-10
    28.92     3.284    5.4318419966031539e-01    1.3059465118984998e-10
    29.00     3.294    5.4318419966031550e-01    1.4952736698394901e-10
    29.12     3.308    5.4318419966031550e-01    9.1397294287444246e-11
    29.20     3.318    5.4318419966031550e-01    1.2862358406169187e-10
    29.32     3.331    5.4318419966031550e-01    1.3094038521560289e-10
    29.40     3.341    5.4318419966031550e-01    1.5055905966971329e-10
    29.52     3.356    5.4318419966031561e-01    5.4187918753131142e-11
    29.60     3.367    5.4318419966031561e-01    1.8224329290584864e-10
    29.72     3.383    5.4318419966031561e-01    1.8956460874469591e-10
    29.80     3.393    5.4318419966031561e-01    1.2733152387017911e-10
    29.92     3.408    5.4318419966031550e-01    1.7196925435624159e-10
    30.00     3.417    5.4318419966031561e-01    1.2760957066494039e-10
    30.12     3.431    5.4318419966031550e-01    1.3875137887007718e-10
    30.20     3.441    5.4318419966031539e-01    6.8457804428130785e-11
