    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2837419783665921e-01
     1.00     0.044    5.6902551277456503e-01    8.4436878569957463e-02
     2.00     0.089    5.4497567568527294e-01    1.4492182852889317e-02
     3.00     0.133    5.4551084343020217e-01    1.6708002096714386e-02
     4.00     0.177    5.4538817787366289e-01    1.6613727760496272e-02
     5.00     0.220    5.4414778712278966e-01    5.8422274624589012e-03
     6.00     0.264    5.4421203573053212e-01    9.7563386236078388e-03
     7.00     0.306    5.5002565341337339e-01    4.5958649072440350e-02
     8.00     0.349    5.4419254198534339e-01    1.3240030204919867e-02
     9.00     0.392    5.4437060617975697e-01    1.5076175502518108e-02
    10.00     0.436    5.4651036982765477e-01    3.0494235009779953e-02
    11.00     0.480    5.4399067111243737e-01    8.2847259482954835e-03
    12.00     0.524    5.4364690841955210e-01    4.2258563314369543e-03
    13.00     0.568    5.4398473329088670e-01    9.9843602601791918e-03
    14.00     0.612    5.4495919018877559e-01    2.1344313229612662e-02
    15.00     0.656    5.4408208300171357e-01    1.3808005709028320e-02
    16.00     0.700    5.4362771410048449e-01    5.5633550043818619e-03
    17.00     0.743    5.4368937266830542e-01    5.1662456942461249e-03
    18.00     0.787    5.4569530445521897e-01    2.6492091216378560e-02
    19.00     0.829    5.4518833183963722e-01    2.5248027417498431e-02
    20.00     0.873    5.4370805790409849e-01    7.0377963973403098e-03
    21.00     0.916    5.4367527289445805e-01    8.3495637406401698e-03
    22.00     0.959    5.4352284737975165e-01    6.5569738562772989e-03
    23.00     1.002    5.4397954969637508e-01    1.4166713199927317e-02
    24.00     1.045    5.4373759810714539e-01    1.0008796536617353e-02
    25.00     1.088    5.4343435837269638e-01    2.6160153561145352e-03
    26.00     1.131    5.4344539546330062e-01    3.7977631431170252e-03
    27.00     1.175    5.4361997206862900e-01    8.9527242041958603e-03
    28.00     1.217    5.4599825882360487e-01    3.0590064606309933e-02
    29.00     1.260    5.4347304617569658e-01    6.6295167645817115e-03
    30.00     1.303    5.4390629148298841e-01    1.2087760423510499e-02
    31.00     1.346    5.4359141025993074e-01    7.6895014997067513e-03
    32.00     1.389    5.4410704032802992e-01    1.6745402267523975e-02
    33.00     1.433    5.4388751953136538e-01    1.2531078413081110e-02
    34.00     1.477    5.4380490602172393e-01    1.2982225307367229e-02
    35.00     1.521    5.4358606931289866e-01    8.7137869131538384e-03
    36.00     1.565    5.4363521698650752e-01    9.4138767879140498e-03
    37.00     1.610    5.4350384214079173e-01    6.0169301267239536e-03
    38.00     1.653    5.4397301145351173e-01    1.3464217623522248e-02
