    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2837419783665921e-01
     0.10     0.016    5.4879683732316364e-01    1.0045999694870657e-02
     0.20     0.032    5.4553474295913018e-01    8.1292620365793003e-03
     0.30     0.048    5.4444070780725218e-01    6.2518758694980201e-03
     0.40     0.064    5.4395681565687481e-01    2.4015865530398611e-03
     0.50     0.080    5.4381202138511597e-01    2.1265985263757238e-03
     0.60     0.097    5.4359988887821098e-01    2.5324434657288497e-03
     0.70     0.113    5.4340335590069955e-01    1.4900329907000418e-03
     0.80     0.129    5.4332982107487837e-01    1.0797371900392221e-03
     0.90     0.145    5.4325799149019227e-01    9.6782054384788653e-04
     1.00     0.161    5.4319359754469598e-01    4.6837819420133262e-04
     1.10     0.178    5.4318508291591383e-01    1.5252333033392463e-04
     1.20     0.194    5.4318454420171747e-01    9.3262657628729659e-05
     1.30     0.210    5.4318436030011530e-01    6.1877401750756351e-05
     1.40     0.226    5.4318428358805282e-01    4.2000469881709650e-05
     1.50     0.242    5.4318422743087613e-01    2.4956630401756895e-05
     1.60     0.257    5.4318420624227215e-01    1.3379943261018703e-05
     1.70     0.273    5.4318420134208190e-01    6.2496898565845579e-06
     1.80     0.289    5.4318420051517979e-01    3.0873923524324862e-06
     1.90     0.305    5.4318419971356713e-01    1.1363552073565700e-06
     2.00     0.321    5.4318419966358777e-01    1.8365436346200245e-07
     2.10     0.337    5.4318419966059595e-01    4.7187964546729394e-08
     2.20     0.354    5.4318419966037756e-01    2.0708598597102034e-08
     2.30     0.371    5.4318419966032749e-01    9.3532627165233170e-09
     2.40     0.387    5.4318419966031894e-01    3.5134270913014169e-09
     2.50     0.404    5.4318419966031317e-01    8.7587777623276318e-10
