    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6792297332609699e-01
     4.00     0.091    2.8600249323756921e-01    2.2235399488676023e-02
     8.00     0.181    2.0551567548898472e-01    4.4331007873716658e-03
    12.00     0.271    2.0016163110139620e-01    5.6027566622490902e-03
    16.00     0.360    1.6745215502031630e-01    3.2968907690648875e-03
    20.00     0.449    1.6093377962204070e-01    2.4651917080909711e-03
    24.00     0.539    1.5694946852142777e-01    1.8197651986353190e-03
    28.00     0.640    1.5061388661124867e-01    1.6966060180099785e-03
    32.00     0.750    1.4980080132471554e-01    1.3662955449523766e-03
    36.00     0.859    1.4014337094216128e-01    1.7699530420780957e-03
    40.00     0.949    1.3780821990181413e-01    1.3909348165984737e-03
    44.00     1.038    1.3713682800190102e-01    1.2668686225335345e-03
    48.00     1.130    1.3396798742768823e-01    1.1485864858380508e-03
    52.00     1.223    1.3385370434019037e-01    1.2063212238655695e-03
    56.00     1.314    1.3205940643558395e-01    9.3546807067269378e-04
    60.00     1.406    1.3146334551132352e-01    7.0689945700316793e-04
    64.00     1.495    1.3115123424898470e-01    3.9228450097425688e-04
    68.00     1.585    1.2950617672251707e-01    8.1307561239931487e-04
    72.00     1.677    1.2946172726949060e-01    5.8497537833736638e-04
    76.00     1.768    1.2875088158317038e-01    5.0757228972452158e-04
    80.00     1.859    1.2835648989100140e-01    4.4811979771076850e-04
    84.00     1.951    1.2829774557130119e-01    3.0950393402349096e-04
    88.00     2.041    1.2766328535782839e-01    5.0735375912640691e-04
    92.00     2.131    1.2761963341352844e-01    3.6287408464041133e-04
    96.00     2.221    1.2744418281361369e-01    2.5527831116925205e-04
   100.00     2.310    1.2702782157612563e-01    2.8968038325794134e-04
   104.00     2.399    1.2701636480537873e-01    2.2347277354574835e-04
   108.00     2.488    1.2680347581522819e-01    2.7382542884105555e-04
   112.00     2.579    1.2674574415825454e-01    2.1382910121791520e-04
   116.00     2.668    1.2671679313418260e-01    8.7520698334082037e-05
