    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6792297332609699e-01
     2.00     0.099    3.9545494870589004e-01    6.0093096350634242e-02
     3.00     0.171    2.8020639741673159e-01    2.5459079923881398e-02
     4.00     0.263    2.0647022777070509e-01    1.2091711838531619e-02
     5.00     0.351    1.7027662384858711e-01    4.1227480365050133e-03
     6.00     0.592    1.3831316064390053e-01    2.3668007271651333e-03
     7.00     0.819    1.2875407630555993e-01    6.6928637946588141e-04
     8.00     1.112    1.2649724143157021e-01    1.2369996105135290e-04
     9.00     1.591    1.2619879959069324e-01    1.5281019183307773e-05
    10.00     2.224    1.2618082976964082e-01    1.7048665621997600e-06
    11.00     2.967    1.2618068652494058e-01    2.2838228044701518e-08
    12.00     4.012    1.2618068651051939e-01    4.3349139382253821e-12
