    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6792297332609699e-01
     4.00     0.092    2.0234433440976723e-01    3.4625604357321010e-03
     8.00     0.182    1.3987783365549505e-01    1.2311878794433390e-03
    12.00     0.277    1.3097272730617437e-01    3.1696224273000277e-04
    16.00     0.367    1.2783897759544632e-01    3.1549168643396272e-04
    20.00     0.457    1.2656147244656737e-01    3.3292683369046789e-04
    24.00     0.547    1.2633888207010624e-01    3.2843894501053897e-04
    28.00     0.636    1.2622700728816483e-01    4.8062703035353242e-05
    32.00     0.726    1.2619659301912173e-01    1.6654907404146187e-05
    36.00     0.816    1.2618539160931200e-01    3.6020360885129490e-05
    40.00     0.906    1.2618238211136315e-01    1.1454092512885020e-05
    44.00     1.003    1.2618172262151742e-01    2.2247564761844260e-05
    48.00     1.093    1.2618098362681959e-01    4.5895116557393118e-06
    52.00     1.182    1.2618076744559464e-01    1.3818360487699593e-06
    56.00     1.272    1.2618080070599744e-01    1.3352875758730105e-05
    60.00     1.362    1.2618069687164385e-01    9.2601318409542131e-07
    64.00     1.452    1.2618069068345211e-01    4.7480551926924668e-07
    68.00     1.541    1.2618068754425979e-01    1.1273944172058129e-06
    72.00     1.631    1.2618068685698131e-01    1.0640218917221847e-07
    76.00     1.723    1.2618068663026652e-01    5.3148311170796554e-08
    80.00     1.813    1.2618068655695458e-01    3.2005800426747631e-08
    84.00     1.902    1.2618068652992062e-01    1.2716100402757158e-07
    88.00     1.992    1.2618068651617279e-01    6.4921028705334127e-08
    92.00     2.081    1.2618068651299910e-01    1.1042937962339316e-08
    96.00     2.172    1.2618068651175879e-01    3.4303719811385857e-09
   100.00     2.261    1.2618068651095743e-01    2.1470047753411247e-09
   104.00     2.351    1.2618068651070560e-01    2.0339561265569689e-09
   108.00     2.440    1.2618068651059572e-01    1.0278057583558322e-09
   112.00     2.530    1.2618068651055150e-01    7.4965917796891192e-10
