    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6792297332609699e-01
     0.10     0.242    3.4074812733393184e-01    3.9868783664193878e-02
     0.20     0.484    2.9097535963066740e-01    2.7466433427831154e-02
     0.30     0.726    1.8806975885527835e-01    1.5271922490355829e-02
     0.40     0.968    1.7693850296866173e-01    1.2483665715574970e-02
     0.50     1.210    1.6492777882216397e-01    8.9472385583789921e-03
     0.60     1.453    1.5976576937825074e-01    7.2738679660796224e-03
     0.70     1.696    1.5517412562896912e-01    5.9128324338322269e-03
     0.80     1.939    1.5262110487636044e-01    5.2314588509355013e-03
     0.90     2.182    1.5128106178962095e-01    4.9358485203405350e-03
     1.00     2.424    1.4985146333347543e-01    4.4446807056709474e-03
     1.10     2.666    1.4136388249682946e-01    3.6870147682810110e-03
     1.20     2.907    1.3852619434940028e-01    3.2027417853117877e-03
     1.30     3.149    1.3480930207292741e-01    2.6158868263486514e-03
     1.40     3.392    1.3325812189893349e-01    2.2923154718290993e-03
     1.50     3.635    1.3177517372511183e-01    1.7839988897684100e-03
     1.60     3.876    1.3072418836427749e-01    1.4546253622997835e-03
     1.70     4.118    1.2973440575999864e-01    1.1417625832945979e-03
     1.80     4.359    1.2890874198672583e-01    9.7564029744440716e-04
     1.90     4.600    1.2820575364518424e-01    7.9058130548152175e-04
     2.00     4.842    1.2754411946337257e-01    5.9546435815521347e-04
     2.10     5.083    1.2710242553653164e-01    4.8286538823863896e-04
     2.20     5.324    1.2684808915218160e-01    4.3712053415002883e-04
     2.30     5.566    1.2660465643597149e-01    3.3551141298840365e-04
     2.40     5.808    1.2646450129715989e-01    2.8447159138699618e-04
     2.50     6.049    1.2637420541125921e-01    2.0047445583844584e-04
     2.60     6.290    1.2630090378792169e-01    1.4164516079577430e-04
     2.70     6.532    1.2625265996978904e-01    8.9425033156828837e-05
     2.80     6.773    1.2621494938548672e-01    6.4527144632939726e-05
     2.90     7.015    1.2619683728676118e-01    4.2155510587835201e-05
     3.00     7.256    1.2618957871543285e-01    2.7287283461017528e-05
     3.10     7.497    1.2618575103052640e-01    2.1299790373907768e-05
     3.20     7.738    1.2618387941427231e-01    1.6538856170226380e-05
     3.30     7.982    1.2618160649295398e-01    1.0792737789345115e-05
     3.40     8.226    1.2618113951691123e-01    8.1274199926425067e-06
     3.50     8.470    1.2618089076481337e-01    4.4899010168447293e-06
     3.60     8.713    1.2618075124237962e-01    2.1636270240436465e-06
     3.70     8.956    1.2618072009041933e-01    1.2212876230113716e-06
     3.80     9.200    1.2618069947198149e-01    6.6822729406145555e-07
     3.90     9.444    1.2618068764597029e-01    2.3398672885133072e-07
     4.00     9.688    1.2618068716491271e-01    2.1678841424727845e-07
     4.10     9.931    1.2618068690232359e-01    1.1897589226938046e-07
     4.20    10.175    1.2618068685501452e-01    1.1897589226938046e-07
     4.30    10.418    1.2618068651407632e-01    1.4234966510952936e-08
     4.40    10.661    1.2618068651205419e-01    1.3051614184431213e-08
     4.50    10.904    1.2618068651085021e-01    6.6702636818163062e-09
     4.60    11.149    1.2618068651055453e-01    1.3607823670722475e-09
     4.70    11.392    1.2618068651053641e-01    7.0425983000519353e-10
