    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6792297332609699e-01
     1.00     0.240    2.5920152059262075e-01    6.3197782019475384e-03
     2.00     0.438    1.9652843138864326e-01    6.2795257522538809e-03
     3.00     0.636    1.5234507547296619e-01    1.8907466869839170e-03
     4.00     0.833    1.4253783676708556e-01    2.3367796698892042e-03
     5.00     1.031    1.3483884494700021e-01    1.9303014849930402e-03
     6.00     1.229    1.3104626351559484e-01    7.5615800775969896e-04
     7.00     1.427    1.2954077856723009e-01    5.3335861114005778e-04
     8.00     1.625    1.2874585649538314e-01    4.5483669329977612e-04
     9.00     1.822    1.2811729141295089e-01    1.2522952701135391e-04
    10.00     2.020    1.2780396880619144e-01    2.0129341356929007e-04
    11.00     2.218    1.2751073835415319e-01    1.4575295203602453e-04
    12.00     2.415    1.2729834863153333e-01    8.6234718888468368e-05
    13.00     2.612    1.2713438127192925e-01    7.8363740857182739e-05
    14.00     2.811    1.2699194332533209e-01    7.1787076141707938e-05
    15.00     3.008    1.2687574726305778e-01    6.6161579947557499e-05
    16.00     3.205    1.2677743110384673e-01    5.9970718283613540e-05
    17.00     3.403    1.2669414507804611e-01    5.7443009414497372e-05
    18.00     3.601    1.2662322519683900e-01    5.4767701822811176e-05
    19.00     3.800    1.2656292158782981e-01    5.2279848473456810e-05
    20.00     3.997    1.2651128740477913e-01    4.9981440054276894e-05
    21.00     4.195    1.2646725051844965e-01    4.7823213024128752e-05
    22.00     4.393    1.2642942220540446e-01    4.5702211375397780e-05
    23.00     4.592    1.2639702608093425e-01    4.3662062412326273e-05
    24.00     4.789    1.2636919958844453e-01    4.1676026345753404e-05
    25.00     4.987    1.2634521603654625e-01    3.9803645099821867e-05
    26.00     5.184    1.2632446948852830e-01    3.8078012145452325e-05
    27.00     5.381    1.2630658310631518e-01    3.6355147028558097e-05
    28.00     5.578    1.2629114227905078e-01    3.4735842497007866e-05
    29.00     5.776    1.2627773951553084e-01    3.3217098359565505e-05
    30.00     5.973    1.2626609106115194e-01    3.1705577730510345e-05
    31.00     6.170    1.2625593051039419e-01    3.0253311864217417e-05
    32.00     6.367    1.2624711524473498e-01    2.8943773463169391e-05
    33.00     6.566    1.2623940663000977e-01    2.7627341168636404e-05
    34.00     6.764    1.2623268904791932e-01    2.6439702237815961e-05
    35.00     6.962    1.2622679535144182e-01    2.5263093449114907e-05
    36.00     7.160    1.2622162103334567e-01    2.4130308130876433e-05
    37.00     7.357    1.2621707525053541e-01    2.3073405981831080e-05
    38.00     7.556    1.2621306472647204e-01    2.2029928419546756e-05
    39.00     7.754    1.2620953340049379e-01    2.1076451914481232e-05
    40.00     7.952    1.2620641264969740e-01    2.0119837012492114e-05
    41.00     8.150    1.2620364750088617e-01    1.9242528902301340e-05
    42.00     8.348    1.2620119768936086e-01    1.8398951990116969e-05
    43.00     8.547    1.2619902952098741e-01    1.7588966379718268e-05
    44.00     8.744    1.2619710337165913e-01    1.6813227229615972e-05
    45.00     8.942    1.2619539076090550e-01    1.6060160190484892e-05
    46.00     9.141    1.2619386525041898e-01    1.5358983826553358e-05
    47.00     9.338    1.2619250734348889e-01    1.4681321291796977e-05
    48.00     9.536    1.2619129538130303e-01    1.4030216816221199e-05
    49.00     9.733    1.2619021199533675e-01    1.3396284217654042e-05
    50.00     9.931    1.2618924540202003e-01    1.2806490037341460e-05
    51.00    10.129    1.2618838265314297e-01    1.2235882419612404e-05
    52.00    10.327    1.2618760976237067e-01    1.1692327449518288e-05
    53.00    10.525    1.2618691646931773e-01    1.1161735043154527e-05
    54.00    10.723    1.2618629672827514e-01    1.0679380612708015e-05
    55.00    10.920    1.2618573987377463e-01    1.0203492619823376e-05
    56.00    11.118    1.2618523951332480e-01    9.7420773640798938e-06
    57.00    11.315    1.2618478941430741e-01    9.2928466819722325e-06
    58.00    11.512    1.2618438699498108e-01    8.8994248262243400e-06
    59.00    11.709    1.2618402562815853e-01    8.5053887244817628e-06
    60.00    11.906    1.2618370064389303e-01    8.1292912627609965e-06
    61.00    12.104    1.2618340817286097e-01    7.7680684718774981e-06
    62.00    12.302    1.2618314410077128e-01    7.4229374143265533e-06
    63.00    12.499    1.2618290612965544e-01    7.0817872572693933e-06
    64.00    12.696    1.2618269189413092e-01    6.7665811353704799e-06
    65.00    12.894    1.2618249938209580e-01    6.4721583462344553e-06
    66.00    13.091    1.2618232591235792e-01    6.1839439771695624e-06
    67.00    13.289    1.2618216963429957e-01    5.9120700978888856e-06
    68.00    13.487    1.2618202865599504e-01    5.6482531089137490e-06
    69.00    13.683    1.2618190138310717e-01    5.3960921250184569e-06
    70.00    13.881    1.2618178628268228e-01    5.1517853777542915e-06
    71.00    14.078    1.2618168204777711e-01    4.9200066919188022e-06
    72.00    14.275    1.2618158817495961e-01    4.7047396606751576e-06
    73.00    14.472    1.2618150316574381e-01    4.4973092766569862e-06
    74.00    14.669    1.2618142638151600e-01    4.2946009137439183e-06
    75.00    14.866    1.2618135706257969e-01    4.1042009953055230e-06
    76.00    15.064    1.2618129427977945e-01    3.9171694838193366e-06
    77.00    15.261    1.2618123736061956e-01    3.7421159279305910e-06
    78.00    15.458    1.2618118581449253e-01    3.5728402376095368e-06
    79.00    15.655    1.2618113946125312e-01    3.4176579763334095e-06
    80.00    15.852    1.2618109745603320e-01    3.2634767324391688e-06
    81.00    16.049    1.2618105939325866e-01    3.1183667839087664e-06
    82.00    16.245    1.2618102497940178e-01    2.9806948628724570e-06
    83.00    16.442    1.2618099372451991e-01    2.8458463839518610e-06
    84.00    16.639    1.2618096538344797e-01    2.7184511097447841e-06
    85.00    16.836    1.2618093963630023e-01    2.5938516635773287e-06
    86.00    17.034    1.2618091641626145e-01    2.4809071600088176e-06
    87.00    17.232    1.2618089535035909e-01    2.3701170821208059e-06
    88.00    17.428    1.2618087624628002e-01    2.2649419131926289e-06
    89.00    17.626    1.2618085887050548e-01    2.1621660275498056e-06
    90.00    17.823    1.2618084308595678e-01    2.0649257432977332e-06
    91.00    18.019    1.2618082878542525e-01    1.9737088566930731e-06
    92.00    18.215    1.2618081576533882e-01    1.8841308471543168e-06
    93.00    18.411    1.2618080396584302e-01    1.7999682236229412e-06
    94.00    18.608    1.2618079330173426e-01    1.7208690287897564e-06
    95.00    18.805    1.2618078360082891e-01    1.6422786962493827e-06
    96.00    19.001    1.2618077478669637e-01    1.5689124090554637e-06
    97.00    19.199    1.2618076680101403e-01    1.4995246611452248e-06
    98.00    19.395    1.2618075954292002e-01    1.4324885535625643e-06
    99.00    19.593    1.2618075293936937e-01    1.3681646448828963e-06
   100.00    19.790    1.2618074695245726e-01    1.3073839694872338e-06
   101.00    19.986    1.2618074150129316e-01    1.2487437395691163e-06
   102.00    20.190    1.2618073654553469e-01    1.1924873884924510e-06
   103.00    20.390    1.2618073204491967e-01    1.1393782404001590e-06
   104.00    20.610    1.2618072795375912e-01    1.0888112627941798e-06
   105.00    20.808    1.2618072423488236e-01    1.0404267444006168e-06
   106.00    21.005    1.2618072084141832e-01    9.9292020502657796e-07
   107.00    21.202    1.2618071774251308e-01    9.4690623099963963e-07
   108.00    21.398    1.2618071491342883e-01    9.0273323584810891e-07
   109.00    21.596    1.2618071237243711e-01    8.6440541641561862e-07
   110.00    21.792    1.2618071006328710e-01    8.2625458483743229e-07
   111.00    21.990    1.2618070795660560e-01    7.8849144872308625e-07
   112.00    22.187    1.2618070603775733e-01    7.5313637662819549e-07
   113.00    22.383    1.2618070429687475e-01    7.1957864714364663e-07
   114.00    22.579    1.2618070270644804e-01    6.8705815167946450e-07
   115.00    22.783    1.2618070126055181e-01    6.5607350851182007e-07
   116.00    22.989    1.2618069994977768e-01    6.2721486282877475e-07
   117.00    23.188    1.2618069875685137e-01    5.9930344132459702e-07
   118.00    23.387    1.2618069766675888e-01    5.7203758594961886e-07
   119.00    23.584    1.2618069667354570e-01    5.4618098297374294e-07
   120.00    23.782    1.2618069576748212e-01    5.2131586007694863e-07
   121.00    23.980    1.2618069494041756e-01    4.9726400569224537e-07
   122.00    24.186    1.2618069418633585e-01    4.7451195520190103e-07
   123.00    24.405    1.2618069350752992e-01    4.5406278694862007e-07
   124.00    24.605    1.2618069288847289e-01    4.3388611575354160e-07
   125.00    24.806    1.2618069232396029e-01    4.1425981975928079e-07
   126.00    25.012    1.2618069181092598e-01    3.9581146885262863e-07
   127.00    25.224    1.2618069134218782e-01    3.7819266585434200e-07
   128.00    25.419    1.2618069091624998e-01    3.6136854303566726e-07
   129.00    25.614    1.2618069052866138e-01    3.4541539244950688e-07
   130.00    25.811    1.2618069017529215e-01    3.3008822320756688e-07
   131.00    26.013    1.2618068985247272e-01    3.1511436712092992e-07
   132.00    26.212    1.2618068955842601e-01    3.0111419537632265e-07
   133.00    26.407    1.2618068929034099e-01    2.8753352590457333e-07
   134.00    26.605    1.2618068904612625e-01    2.7466449103242033e-07
   135.00    26.804    1.2618068882290501e-01    2.6212497929028208e-07
   136.00    27.004    1.2618068861853829e-01    2.5000692493002297e-07
   137.00    27.204    1.2618068843240957e-01    2.3862253042185875e-07
   138.00    27.402    1.2618068826215059e-01    2.2749382031684196e-07
   139.00    27.604    1.2618068810700106e-01    2.1714397612135046e-07
   140.00    27.808    1.2618068796713164e-01    2.0792226543285325e-07
   141.00    28.008    1.2618068783966421e-01    1.9878566482048798e-07
   142.00    28.207    1.2618068772340038e-01    1.8978480479337151e-07
   143.00    28.411    1.2618068761705856e-01    1.8112716944117333e-07
   144.00    28.612    1.2618068751971359e-01    1.7284242159500412e-07
   145.00    28.810    1.2618068743091110e-01    1.6499995623831649e-07
   146.00    29.033    1.2618068734975302e-01    1.5741533006141824e-07
   147.00    29.242    1.2618068727561285e-01    1.5011288418576723e-07
   148.00    29.438    1.2618068720836936e-01    1.4354663678234987e-07
   149.00    29.641    1.2618068714753194e-01    1.3723663993547310e-07
   150.00    29.861    1.2618068709204969e-01    1.3123115170956515e-07
   151.00    30.062    1.2618068704135843e-01    1.2523475830778061e-07
   152.00    30.260    1.2618068699494969e-01    1.1958134222083924e-07
   153.00    30.457    1.2618068695272672e-01    1.1428654229365574e-07
   154.00    30.656    1.2618068691425260e-01    1.0917493395684163e-07
   155.00    30.853    1.2618068687906350e-01    1.0426626499388349e-07
   156.00    31.060    1.2618068684689843e-01    9.9553008423247614e-08
   157.00    31.293    1.2618068681769939e-01    9.5171323882508175e-08
   158.00    31.492    1.2618068679102554e-01    9.0910802646621837e-08
   159.00    31.689    1.2618068676669342e-01    8.6880580005098537e-08
   160.00    31.885    1.2618068674444463e-01    8.2940310446087771e-08
   161.00    32.108    1.2618068672410401e-01    7.9200588332250404e-08
   162.00    32.326    1.2618068670555063e-01    7.5670447553704613e-08
   163.00    32.523    1.2618068668861179e-01    7.2280067368163652e-08
   164.00    32.721    1.2618068667314244e-01    6.9003161101821434e-08
   165.00    32.919    1.2618068665904533e-01    6.5958410444777417e-08
   166.00    33.117    1.2618068664621412e-01    6.3028118969015649e-08
   167.00    33.315    1.2618068663444373e-01    6.0170767513746041e-08
   168.00    33.514    1.2618068662367846e-01    5.7420584798152153e-08
   169.00    33.713    1.2618068661387405e-01    5.4848056264179975e-08
   170.00    33.911    1.2618068660494525e-01    5.2445038310666085e-08
   171.00    34.108    1.2618068659679063e-01    5.0092788921824523e-08
   172.00    34.306    1.2618068658933998e-01    4.7848772279587034e-08
   173.00    34.503    1.2618068658255782e-01    4.5745144894467332e-08
   174.00    34.701    1.2618068657635026e-01    4.3700985914808051e-08
   175.00    34.898    1.2618068657067605e-01    4.1732460316420560e-08
   176.00    35.094    1.2618068656548234e-01    3.9849936358087317e-08
   177.00    35.291    1.2618068656072834e-01    3.8023408460745789e-08
   178.00    35.489    1.2618068655638595e-01    3.6317487470962587e-08
   179.00    35.685    1.2618068655243284e-01    3.4722279753767729e-08
   180.00    35.883    1.2618068654881978e-01    3.3159160522060324e-08
   181.00    36.080    1.2618068654552261e-01    3.1685060518539662e-08
   182.00    36.278    1.2618068654251491e-01    3.0287410994863295e-08
   183.00    36.475    1.2618068653976275e-01    2.8925585318642579e-08
   184.00    36.673    1.2618068653724882e-01    2.7630049731223647e-08
