    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055994518e-01    1.6792297332609699e-01
     0.12     0.010    6.9314408983816689e-01    1.6792204526998147e-01
     0.20     0.019    3.8179292193172404e-01    5.6489100779694691e-02
     0.32     0.034    3.2903575284059433e-01    3.8236977268597212e-02
     0.40     0.043    2.6916973541731443e-01    2.1720177310852185e-02
     0.52     0.056    2.4257848365733650e-01    1.4265153591983024e-02
     0.60     0.065    2.0603346832448755e-01    7.0950929425671909e-03
     0.72     0.079    1.9614763138958741e-01    6.3480121520466063e-03
     0.80     0.089    1.7522290926216580e-01    4.3568254851994300e-03
     0.92     0.104    1.6226074848497704e-01    1.4814025689845278e-03
     1.00     0.113    1.6037459258945175e-01    1.5603585476750203e-03
     1.12     0.128    1.4908443036165428e-01    1.1709819915043001e-03
     1.20     0.139    1.4685334472460904e-01    7.6596127512278719e-04
     1.32     0.153    1.4228312302634902e-01    9.7486431322452746e-04
     1.40     0.165    1.3920728537887950e-01    6.6697529112301577e-04
     1.52     0.179    1.3744056649931372e-01    8.0719388208323013e-04
     1.60     0.188    1.3706589834848176e-01    8.3884762497379731e-04
     1.72     0.202    1.3664050368164984e-01    8.4603391497505194e-04
     1.80     0.212    1.3629130353187413e-01    6.2221494834043770e-04
     1.92     0.226    1.3510938686415039e-01    7.2339933297716711e-04
     2.00     0.237    1.3458244014681553e-01    6.0591818275096681e-04
     2.12     0.251    1.3410847840984305e-01    4.8695704658001317e-04
     2.20     0.261    1.3393033377903030e-01    4.5200311923040368e-04
     2.32     0.276    1.3383544558118657e-01    4.6812037779111625e-04
     2.40     0.285    1.3319094618410121e-01    4.8349152464358472e-04
     2.52     0.299    1.3302710828379180e-01    4.6377639941856121e-04
     2.60     0.309    1.3296784759792304e-01    3.9344668735192715e-04
     2.72     0.328    1.3276564574297967e-01    3.9837894716978695e-04
     2.80     0.343    1.3274120075802118e-01    4.2275106803272395e-04
     2.92     0.366    1.3246661542990576e-01    3.1330909889811182e-04
     3.00     0.378    1.3228972257015212e-01    3.1078671461547797e-04
     3.12     0.403    1.3205420404470042e-01    3.0730050306204747e-04
     3.20     0.413    1.3185801381723811e-01    3.0721740305336129e-04
     3.32     0.427    1.3179511021178467e-01    3.1596588481407501e-04
     3.40     0.438    1.3173118781895940e-01    3.0424457983439725e-04
     3.52     0.454    1.3147198589100068e-01    2.9268147801273675e-04
     3.60     0.464    1.3126776484966318e-01    2.8476823347345175e-04
     3.72     0.480    1.3101544547201482e-01    2.7849753368542360e-04
     3.80     0.490    1.3087330659795318e-01    2.6966593897144496e-04
     3.92     0.506    1.3002404387321012e-01    2.2755856467727634e-04
     4.00     0.516    1.2976091943190654e-01    2.4145184485680762e-04
     4.12     0.532    1.2918499097872810e-01    1.9978681075561591e-04
     4.20     0.550    1.2864986915769547e-01    1.7466155612169123e-04
     4.32     0.566    1.2782274969672414e-01    2.2457690186242338e-04
     4.40     0.577    1.2764854620034449e-01    1.7813758198037229e-04
     4.52     0.593    1.2749363457953325e-01    2.3558681830974338e-04
     4.60     0.603    1.2736948958351141e-01    2.9642889929075444e-04
     4.72     0.619    1.2725560080998694e-01    3.0675979558143345e-04
     4.80     0.629    1.2710681607739657e-01    3.1833872298871993e-04
     4.92     0.646    1.2702892907354824e-01    3.2604454192278171e-04
     5.00     0.657    1.2690009756345380e-01    2.2938846159903639e-04
     5.12     0.673    1.2677478734812789e-01    1.9994268474345727e-04
     5.20     0.693    1.2674679298127919e-01    2.6137744935948975e-04
     5.32     0.708    1.2670062754621439e-01    3.8557278543798406e-04
     5.40     0.719    1.2664807198231767e-01    2.6322482951430192e-04
     5.52     0.735    1.2656096827425900e-01    2.7575697671183071e-04
     5.60     0.746    1.2652565734736806e-01    1.7608973578313986e-04
     5.72     0.764    1.2648895896344106e-01    2.5611167667364176e-04
     5.80     0.774    1.2646336675737441e-01    2.5126492109250995e-04
     5.92     0.792    1.2642580984806184e-01    2.9341852957299758e-04
     6.00     0.802    1.2643056299909353e-01    3.0592735083303271e-04
     6.12     0.820    1.2640355188713970e-01    1.8976897424662301e-04
     6.20     0.832    1.2636505195575853e-01    1.9140699244037511e-04
     6.32     0.857    1.2633935929558501e-01    2.0546470243419939e-04
     6.40     0.867    1.2631937776278876e-01    1.6871703325488301e-04
     6.52     0.886    1.2630369872002511e-01    2.3778043476860647e-04
     6.60     0.899    1.2629184775208341e-01    2.3426335161012344e-04
     6.72     0.917    1.2628334038675068e-01    1.9753263197077225e-04
     6.80     0.928    1.2627247366020813e-01    2.1842355310214677e-04
     6.92     0.944    1.2625289536845544e-01    2.1123423423416863e-04
     7.00     0.955    1.2623975337877483e-01    1.3509337423200612e-04
     7.12     0.970    1.2623439344116608e-01    1.1302594344501183e-04
     7.20     0.982    1.2623060820861265e-01    1.3294563111342683e-04
     7.32     1.006    1.2622751128932444e-01    1.5322795317770997e-04
     7.40     1.018    1.2622235023594899e-01    1.8429860233295928e-04
     7.52     1.036    1.2621108695330113e-01    9.3918523415238063e-05
     7.60     1.047    1.2620747708330493e-01    9.5188119550851028e-05
     7.72     1.066    1.2620594393455922e-01    9.1867414576663153e-05
     7.80     1.077    1.2620539718088278e-01    8.0126196249978926e-05
     7.92     1.096    1.2620407832304989e-01    1.0379556578998149e-04
     8.00     1.108    1.2620502907437961e-01    1.3237389895927990e-04
     8.12     1.127    1.2619289759590507e-01    5.4160200298538155e-05
     8.20     1.139    1.2619264050513487e-01    5.2378057596376188e-05
     8.32     1.164    1.2619400404968140e-01    8.1795931830395342e-05
     8.40     1.176    1.2619415933182454e-01    9.8501196778779887e-05
     8.52     1.194    1.2618715770220640e-01    5.2341109433640168e-05
     8.60     1.205    1.2618779223978419e-01    3.8109780744839965e-05
     8.72     1.223    1.2618530295307756e-01    3.4471331041901264e-05
     8.80     1.235    1.2618356918747101e-01    2.2936655380828524e-05
     8.92     1.252    1.2618429724457136e-01    4.5275295414447573e-05
     9.00     1.263    1.2618670783120065e-01    7.2044538388704946e-05
     9.12     1.280    1.2618679185856113e-01    8.9306857529466288e-05
     9.20     1.293    1.2618369458919240e-01    3.7783702796244615e-05
     9.32     1.311    1.2618309784972823e-01    2.7267130358034278e-05
     9.40     1.331    1.2618286114163918e-01    3.0864437611449771e-05
     9.52     1.350    1.2618226725346832e-01    2.3207463272446565e-05
     9.60     1.362    1.2618254936973014e-01    2.4352205128450870e-05
     9.72     1.379    1.2618173552705184e-01    1.9173652916582271e-05
     9.80     1.392    1.2618157078425185e-01    1.4566458840932774e-05
     9.92     1.411    1.2618145301248801e-01    2.0152856023946463e-05
    10.00     1.418    1.2618145301248801e-01    2.0152856023946463e-05
    10.12     1.436    1.2618130601409555e-01    1.4942561384763041e-05
    10.20     1.449    1.2618132637781945e-01    1.3941576290704760e-05
    10.32     1.468    1.2618111136346347e-01    1.6270561718461643e-05
    10.40     1.490    1.2618113681604337e-01    1.6102609957080320e-05
    10.52     1.510    1.2618135674579598e-01    1.9862738584838482e-05
    10.60     1.522    1.2618111433025139e-01    1.2017832080916308e-05
    10.72     1.542    1.2618104100620289e-01    1.5869211072437980e-05
    10.80     1.555    1.2618089368205399e-01    1.0887564765558578e-05
    10.92     1.574    1.2618095201038532e-01    9.9252084121651747e-06
    11.00     1.588    1.2618088934345328e-01    1.1788142523945587e-05
    11.12     1.607    1.2618086787917132e-01    7.4586943916545523e-06
    11.20     1.620    1.2618083164411711e-01    5.7204742284189999e-06
    11.32     1.639    1.2618075964643266e-01    5.2805461492900708e-06
    11.40     1.651    1.2618076154692312e-01    4.9454473628373884e-06
    11.52     1.677    1.2618076963240055e-01    7.0393595243106299e-06
    11.60     1.689    1.2618077443574882e-01    5.5222072254054913e-06
    11.72     1.707    1.2618075927934369e-01    3.4450322375667586e-06
    11.80     1.719    1.2618073230127116e-01    3.3663482507485626e-06
    11.92     1.738    1.2618073450237363e-01    3.1179397564166475e-06
    12.00     1.751    1.2618072418767909e-01    3.1273675393047286e-06
    12.12     1.770    1.2618070794098935e-01    2.1850382168500069e-06
    12.20     1.783    1.2618071538915901e-01    4.0348643385024863e-06
    12.32     1.802    1.2618072016630355e-01    3.3383078746066520e-06
    12.40     1.814    1.2618070731420800e-01    2.9212409240391091e-06
    12.52     1.839    1.2618069969330042e-01    1.9723227675717174e-06
    12.60     1.853    1.2618070575662965e-01    2.8893459330598235e-06
    12.72     1.872    1.2618069989149905e-01    2.4824201473610813e-06
