    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6792297332609699e-01
     1.00     0.196    1.6795121772842478e-01    1.4892369429658427e-03
     2.00     0.390    1.5971403779813284e-01    1.1542973437551917e-03
     3.00     0.583    1.5639411682932258e-01    1.0651550544301055e-03
     4.00     0.778    1.5435707066206003e-01    9.6797417871368515e-04
     5.00     0.973    1.5275416220953528e-01    8.6822852524104637e-04
     6.00     1.168    1.5157637028448909e-01    8.1411661691803904e-04
     7.00     1.363    1.5061495219313753e-01    7.8798267424297027e-04
     8.00     1.557    1.4986245728442577e-01    7.7377458941311789e-04
     9.00     1.751    1.4919741280979001e-01    7.4202045747424721e-04
    10.00     1.946    1.4867981205031489e-01    7.3201152241093317e-04
    11.00     2.141    1.4821220056946122e-01    7.3290817099393450e-04
    12.00     2.336    1.4778817713894249e-01    7.1502446706650090e-04
    13.00     2.531    1.4742372282739297e-01    7.1069185354919720e-04
    14.00     2.725    1.4709485142967271e-01    7.0063098429637340e-04
    15.00     2.918    1.4679419882944569e-01    6.9029813935242489e-04
    16.00     3.113    1.4651599002941990e-01    6.8727697716380073e-04
    17.00     3.307    1.4628159582994932e-01    6.7509794974178580e-04
    18.00     3.501    1.4605135471027489e-01    6.7265208514479067e-04
    19.00     3.695    1.4582119962495207e-01    6.6836331335554913e-04
    20.00     3.888    1.4562030721744273e-01    6.6575510130282428e-04
    21.00     4.083    1.4542525465524075e-01    6.6307215934648632e-04
    22.00     4.276    1.4524487984374745e-01    6.6648070165152605e-04
    23.00     4.470    1.4507592178763046e-01    6.5978370910097579e-04
    24.00     4.665    1.4491923229490999e-01    6.5954468313699920e-04
    25.00     4.860    1.4477247638188082e-01    6.5550839315402633e-04
    26.00     5.054    1.4462634142430789e-01    6.5665426245606427e-04
    27.00     5.249    1.4449339999289240e-01    6.5332117413795156e-04
    28.00     5.443    1.4437127720622803e-01    6.5560983247074287e-04
    29.00     5.637    1.4426164950920672e-01    6.5580198729601731e-04
    30.00     5.832    1.4415363261857048e-01    6.5912069809647615e-04
    31.00     6.026    1.4404731891515737e-01    6.5632659932531143e-04
    32.00     6.222    1.4395298140053325e-01    6.5858377083156299e-04
    33.00     6.417    1.4383788695219918e-01    6.4717968669617757e-04
    34.00     6.612    1.4373909743538715e-01    6.4379457816408946e-04
    35.00     6.808    1.4364746357509792e-01    6.4378069155948941e-04
    36.00     7.004    1.4356275061874846e-01    6.4469150177323513e-04
    37.00     7.199    1.4347202540434145e-01    6.4008599067515420e-04
    38.00     7.394    1.4338847591137757e-01    6.3944143775169463e-04
    39.00     7.590    1.4331492532536536e-01    6.4289545687294680e-04
    40.00     7.786    1.4324320958305140e-01    6.4424013005847378e-04
    41.00     7.980    1.4317408483690186e-01    6.4479091634441355e-04
    42.00     8.175    1.4309954465701288e-01    6.4036018082472810e-04
    43.00     8.371    1.4301798080089390e-01    6.3527179951719764e-04
    44.00     8.566    1.4294481647167370e-01    6.2922377536018701e-04
    45.00     8.761    1.4287427100197991e-01    6.2855366490498048e-04
    46.00     8.956    1.4280824494196073e-01    6.2717748518095263e-04
    47.00     9.151    1.4274829968761696e-01    6.2719405738014390e-04
    48.00     9.347    1.4268543389295177e-01    6.2380245202718870e-04
    49.00     9.542    1.4262384974471806e-01    6.2024781287189825e-04
    50.00     9.737    1.4256531333840236e-01    6.1624873624969620e-04
    51.00     9.933    1.4250735209356813e-01    6.1477162866025771e-04
    52.00    10.127    1.4245325800612180e-01    6.1459760491760899e-04
    53.00    10.321    1.4240083518480559e-01    6.1359566721938433e-04
    54.00    10.517    1.4234806322550228e-01    6.1538780707973638e-04
    55.00    10.712    1.4229308983018912e-01    6.1188057228812398e-04
    56.00    10.906    1.4224345596920498e-01    6.1086304074690141e-04
    57.00    11.101    1.4219474394108261e-01    6.1018382590327755e-04
    58.00    11.297    1.4214565191515241e-01    6.0627157603494752e-04
    59.00    11.492    1.4209805428338682e-01    6.0567054301637090e-04
    60.00    11.686    1.4205182588879378e-01    6.0378930940674152e-04
    61.00    11.880    1.4200751003252229e-01    6.0217444326144418e-04
    62.00    12.076    1.4196846583592238e-01    6.0423867752251237e-04
    63.00    12.271    1.4192639086132736e-01    6.0415775054658942e-04
    64.00    12.466    1.4188543751643051e-01    6.0145068539583211e-04
    65.00    12.660    1.4184174400783525e-01    5.9961156048521141e-04
    66.00    12.854    1.4180027410586968e-01    5.9836930099561446e-04
    67.00    13.049    1.4176028428867635e-01    5.9838285559775622e-04
    68.00    13.243    1.4172240199562774e-01    5.9853627230329459e-04
    69.00    13.438    1.4168491082352605e-01    5.9798399590095660e-04
    70.00    13.633    1.4164749647571140e-01    5.9726050932585163e-04
    71.00    13.827    1.4161012451527277e-01    5.9526290693580634e-04
    72.00    14.021    1.4157279760521504e-01    5.9280642159434990e-04
    73.00    14.216    1.4153817817941045e-01    5.9187379664249907e-04
    74.00    14.410    1.4150280161009868e-01    5.9173409983340468e-04
    75.00    14.605    1.4147063530971685e-01    5.9060769298765851e-04
    76.00    14.799    1.4143643794788674e-01    5.9004858033969917e-04
    77.00    14.994    1.4140493019821551e-01    5.9160423489933915e-04
    78.00    15.189    1.4137474101310593e-01    5.9138118662399651e-04
    79.00    15.383    1.4134294820322593e-01    5.8843536323734754e-04
    80.00    15.577    1.4130953467400253e-01    5.8550171408927078e-04
    81.00    15.772    1.4128046469547231e-01    5.8762848955037385e-04
    82.00    15.967    1.4124908118244089e-01    5.8472252842142888e-04
    83.00    16.161    1.4121906777398235e-01    5.8347904152378791e-04
    84.00    16.356    1.4118960515443646e-01    5.8176776073939407e-04
    85.00    16.550    1.4116151749978323e-01    5.8197964162522121e-04
    86.00    16.745    1.4113350705268185e-01    5.8249121831453483e-04
    87.00    16.940    1.4110380528248062e-01    5.8027927887810795e-04
    88.00    17.134    1.4107712953766480e-01    5.8083620007098142e-04
    89.00    17.329    1.4105057697603027e-01    5.8030554816388053e-04
    90.00    17.524    1.4102546965136517e-01    5.7954118525960750e-04
    91.00    17.719    1.4099823077122023e-01    5.7793482123502020e-04
    92.00    17.913    1.4097162305246530e-01    5.7724223304998702e-04
    93.00    18.107    1.4094280280685348e-01    5.7379028371904947e-04
    94.00    18.302    1.4091730158659352e-01    5.7301703852162805e-04
    95.00    18.496    1.4089257003892752e-01    5.7046991891278049e-04
    96.00    18.691    1.4086732864635904e-01    5.6883308196672619e-04
    97.00    18.886    1.4084228174924099e-01    5.6836885349518227e-04
    98.00    19.080    1.4081782402806750e-01    5.6764070782631721e-04
    99.00    19.275    1.4079479713045384e-01    5.6813265120151909e-04
   100.00    19.470    1.4077152759444850e-01    5.6691938564268970e-04
   101.00    19.664    1.4074898447942891e-01    5.6735175650996417e-04
   102.00    19.858    1.4072531903614460e-01    5.6594836013266591e-04
   103.00    20.053    1.4070112587028102e-01    5.6426856842838741e-04
   104.00    20.247    1.4067867995541164e-01    5.6300038072028139e-04
   105.00    20.442    1.4065575030418137e-01    5.6203739192056798e-04
   106.00    20.636    1.4063393447843273e-01    5.6283368152431224e-04
   107.00    20.831    1.4061144984765700e-01    5.6328097823217201e-04
   108.00    21.026    1.4059001557351045e-01    5.6273495527594164e-04
   109.00    21.220    1.4056883015312541e-01    5.6347748600948889e-04
   110.00    21.414    1.4054755912636033e-01    5.6249588904265513e-04
   111.00    21.608    1.4052739575188783e-01    5.6197105113395284e-04
   112.00    21.802    1.4050629694601510e-01    5.6188062103874263e-04
   113.00    21.996    1.4048585732675439e-01    5.6074225501549237e-04
   114.00    22.191    1.4046559293998137e-01    5.6009527310380827e-04
   115.00    22.385    1.4044517663934586e-01    5.5853389337220363e-04
   116.00    22.580    1.4042542409849967e-01    5.5778935718905833e-04
   117.00    22.774    1.4040602348651279e-01    5.5687072610426471e-04
   118.00    22.969    1.4038890668748596e-01    5.5755171837168634e-04
   119.00    23.164    1.4036900569969374e-01    5.5633012801605865e-04
   120.00    23.358    1.4035094610650029e-01    5.5568381597421643e-04
   121.00    23.552    1.4033340165775762e-01    5.5584467160937478e-04
   122.00    23.747    1.4031536107926099e-01    5.5546500363234431e-04
   123.00    23.941    1.4029738405580205e-01    5.5452905567819958e-04
   124.00    24.136    1.4027978205103994e-01    5.5457328833040690e-04
   125.00    24.330    1.4025976426772641e-01    5.5152564705630998e-04
   126.00    24.524    1.4024309138405777e-01    5.5126179074572871e-04
   127.00    24.719    1.4022524708909173e-01    5.5023405651966550e-04
   128.00    24.913    1.4020723070677740e-01    5.4851997169286031e-04
   129.00    25.108    1.4019086301991496e-01    5.4895608692900031e-04
   130.00    25.304    1.4017514271220607e-01    5.4841977856478141e-04
   131.00    25.499    1.4015834321996565e-01    5.4934397271217078e-04
   132.00    25.694    1.4014249120765646e-01    5.4794440624401312e-04
   133.00    25.890    1.4012625064455378e-01    5.4738086897773849e-04
   134.00    26.085    1.4011012507478512e-01    5.4704162102800654e-04
   135.00    26.281    1.4009427723661610e-01    5.4611331302477893e-04
   136.00    26.475    1.4007881112375359e-01    5.4459426211060451e-04
   137.00    26.670    1.4006340074155391e-01    5.4462022968185394e-04
   138.00    26.866    1.4004738941858166e-01    5.4376105598108167e-04
   139.00    27.061    1.4003133961029249e-01    5.4217920437950513e-04
   140.00    27.256    1.4001561041290747e-01    5.4126046305874641e-04
   141.00    27.450    1.4000099669512758e-01    5.4029877087716769e-04
   142.00    27.645    1.3998670987232256e-01    5.3899896594816928e-04
   143.00    27.841    1.3997159681721347e-01    5.3928187955458787e-04
   144.00    28.035    1.3995651171573259e-01    5.3826133120653068e-04
   145.00    28.230    1.3994133317506982e-01    5.3768794207785964e-04
   146.00    28.426    1.3992704107196591e-01    5.3619650575820752e-04
   147.00    28.621    1.3991286140185019e-01    5.3641320533719811e-04
   148.00    28.816    1.3989795127087143e-01    5.3645538732268383e-04
   149.00    29.011    1.3988319487529238e-01    5.3682330031251918e-04
   150.00    29.206    1.3986863577980010e-01    5.3767917460290819e-04
   151.00    29.401    1.3985484266100326e-01    5.3631393546155583e-04
   152.00    29.596    1.3984098862287428e-01    5.3643266498046847e-04
   153.00    29.791    1.3982813853262213e-01    5.3710046666013078e-04
   154.00    29.986    1.3981457406783795e-01    5.3687518828519497e-04
   155.00    30.181    1.3980099540204816e-01    5.3618083808821236e-04
   156.00    30.375    1.3978715980253753e-01    5.3673699236835991e-04
   157.00    30.571    1.3977394145060590e-01    5.3627002838395343e-04
   158.00    30.768    1.3976063969127375e-01    5.3758729326445348e-04
   159.00    30.964    1.3974803601121338e-01    5.3607698735761713e-04
   160.00    31.161    1.3973531454012161e-01    5.3591861354550436e-04
   161.00    31.356    1.3972228594692565e-01    5.3573216640477172e-04
   162.00    31.551    1.3971012101025720e-01    5.3601639693758062e-04
   163.00    31.747    1.3969772557035876e-01    5.3490203730457964e-04
   164.00    31.945    1.3968494741494678e-01    5.3625283145763633e-04
   165.00    32.140    1.3967187903300834e-01    5.3487000442521270e-04
   166.00    32.335    1.3965997458559090e-01    5.3455975012136085e-04
   167.00    32.529    1.3964811994084605e-01    5.3506054430633087e-04
   168.00    32.725    1.3963583068940005e-01    5.3440253063441858e-04
   169.00    32.920    1.3962419754262878e-01    5.3404342691664190e-04
   170.00    33.115    1.3961196587479474e-01    5.3354847859011123e-04
   171.00    33.309    1.3960081879859476e-01    5.3301325985276489e-04
   172.00    33.504    1.3958975593708628e-01    5.3328763748111414e-04
   173.00    33.699    1.3957777179981284e-01    5.3255055642165150e-04
   174.00    33.894    1.3956632675640102e-01    5.3254956782656506e-04
   175.00    34.089    1.3955497706228109e-01    5.3144997630902562e-04
   176.00    34.284    1.3954313076992036e-01    5.3023021586201362e-04
   177.00    34.479    1.3953177147763965e-01    5.2915189001221145e-04
   178.00    34.674    1.3952030855445630e-01    5.2893642799904856e-04
   179.00    34.870    1.3950915611726489e-01    5.2931748348930736e-04
   180.00    35.065    1.3949763530355766e-01    5.2901680422801490e-04
   181.00    35.261    1.3948630362373904e-01    5.2803060375513505e-04
   182.00    35.456    1.3947499727130300e-01    5.2812874738930181e-04
   183.00    35.651    1.3946397640853395e-01    5.2780347379947099e-04
   184.00    35.846    1.3945288770377659e-01    5.2693950032891592e-04
   185.00    36.042    1.3944201485233917e-01    5.2691210857681750e-04
   186.00    36.236    1.3943136539237214e-01    5.2785357357996196e-04
   187.00    36.432    1.3942056368439706e-01    5.2823070354533492e-04
   188.00    36.627    1.3940962894690731e-01    5.2768730879290476e-04
   189.00    36.823    1.3939885243662833e-01    5.2715255203146126e-04
   190.00    37.019    1.3938878779740121e-01    5.2724391998201022e-04
   191.00    37.214    1.3937887812530630e-01    5.2806312943231681e-04
   192.00    37.410    1.3936908743186108e-01    5.2874148715461103e-04
   193.00    37.605    1.3935845283274784e-01    5.2783083137877146e-04
   194.00    37.800    1.3934790718905637e-01    5.2636126604493276e-04
   195.00    37.996    1.3933837184114783e-01    5.2670105895016785e-04
   196.00    38.191    1.3932833782392134e-01    5.2666798569326375e-04
   197.00    38.386    1.3931800472810127e-01    5.2582653770395142e-04
   198.00    38.582    1.3930764267450294e-01    5.2543345531093637e-04
   199.00    38.777    1.3929758683063304e-01    5.2523974180870836e-04
   200.00    38.972    1.3928766518447730e-01    5.2455410906160696e-04
   201.00    39.168    1.3927793489123735e-01    5.2370827316177847e-04
   202.00    39.363    1.3926833702245078e-01    5.2378791291811714e-04
   203.00    39.558    1.3925832616244890e-01    5.2422303053918217e-04
   204.00    39.753    1.3924871920684026e-01    5.2423721213650410e-04
   205.00    39.948    1.3923871053275660e-01    5.2384756891518788e-04
   206.00    40.143    1.3922899066999372e-01    5.2319030490908364e-04
   207.00    40.338    1.3921987517820042e-01    5.2309082804276644e-04
   208.00    40.534    1.3921106758729704e-01    5.2357506182711653e-04
   209.00    40.729    1.3920226861251700e-01    5.2362534181751071e-04
   210.00    40.925    1.3919331736823273e-01    5.2294797743862153e-04
   211.00    41.120    1.3918448935708630e-01    5.2275793996053356e-04
   212.00    41.315    1.3917479931275739e-01    5.2190168967788735e-04
   213.00    41.510    1.3916540582348200e-01    5.2117045192582527e-04
