    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6792297332609699e-01
     2.00     2.485    3.1673552819221867e-01    4.7032085223367395e-02
     3.00     3.665    2.1875087104353508e-01    1.8555305959703335e-02
     4.00     4.847    1.6895591725363548e-01    7.4715559741321026e-03
     5.00     6.032    1.4307423759697196e-01    2.9046204010612022e-03
     6.00     7.224    1.3114746779923367e-01    9.9439590944013986e-04
     7.00     8.462    1.2708549878785141e-01    2.5404939652505097e-04
     8.00     9.657    1.2625374157237304e-01    4.3846148252440787e-05
     9.00    10.842    1.2618199583551631e-01    4.3327872158091462e-06
    10.00    12.039    1.2618068741656593e-01    1.5619681312581114e-07
    11.00    13.227    1.2618068651052680e-01    1.8128506240790024e-10
