    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.6884333791234342e-02
     4.00     5.390    4.1282652605118580e-01    1.8429754214917621e-02
     8.00    10.775    2.6646831515592906e-01    9.5139490803441452e-03
    12.00    16.158    2.0668942633450774e-01    5.8003693671804272e-03
    16.00    21.526    1.8873732296524301e-01    3.8926539009848543e-03
    20.00    26.901    1.6951127090570431e-01    2.6685076117293474e-03
    24.00    32.271    1.6517779168547472e-01    1.9540954676394284e-03
    28.00    37.663    1.5826894525663707e-01    2.0681400612868831e-03
    32.00    43.036    1.5363739922409106e-01    2.0847921786412977e-03
    36.00    48.422    1.4906334649115197e-01    1.5143345513018115e-03
    40.00    53.789    1.4771150864632121e-01    1.4385467780834288e-03
    44.00    59.155    1.4406676950340469e-01    1.5970573598282907e-03
    48.00    64.512    1.4276536632832157e-01    1.0709763380221231e-03
    52.00    69.878    1.4088856803012187e-01    7.2225703823175318e-04
    56.00    75.247    1.4064134179249285e-01    4.4763204325554606e-04
    60.00    80.619    1.3954321416117121e-01    6.7821842790910904e-04
    64.00    85.992    1.3914805082147025e-01    5.8818149920286157e-04
    68.00    91.358    1.3830969438777213e-01    4.2914120048638841e-04
    72.00    96.722    1.3818693492353226e-01    4.1129410899432516e-04
    76.00   102.085    1.3776908159080936e-01    5.3506592442763095e-04
    80.00   107.448    1.3768113720375136e-01    6.1941398326454235e-04
    84.00   112.829    1.3721710662074757e-01    3.7249235901045004e-04
    88.00   118.191    1.3716313551006559e-01    2.7924155104258928e-04
    92.00   123.551    1.3697856312949316e-01    3.0904787183613379e-04
    96.00   128.911    1.3686838521314920e-01    2.9345833127816069e-04
   100.00   134.289    1.3664631020198462e-01    3.2802162669671423e-04
   104.00   139.673    1.3660147393859484e-01    2.6492306480785578e-04
   108.00   145.035    1.3641645185420817e-01    1.6181420625939138e-04
   112.00   150.398    1.3639558603636434e-01    1.5208361572461028e-04
   116.00   155.767    1.3630886874609854e-01    2.8887011398720866e-04
   120.00   161.123    1.3628765753514213e-01    1.7942160641684927e-04
   124.00   166.480    1.3623782905003406e-01    1.5489877355459643e-04
   128.00   171.849    1.3622192850615331e-01    1.5914756074990089e-04
   132.00   177.212    1.3616990358786935e-01    1.1279719973645077e-04
   136.00   182.573    1.3616177341214644e-01    7.8476479965944944e-05
   140.00   187.945    1.3610931013269423e-01    7.4572538245182030e-05
   144.00   193.315    1.3610643737411335e-01    7.5011665435011676e-05
   148.00   198.679    1.3607669924995669e-01    9.6373351483894758e-05
   152.00   204.038    1.3606823236601714e-01    6.0326003762329896e-05
   156.00   209.396    1.3605511571546752e-01    4.8499736984444288e-05
   160.00   214.800    1.3604517962606041e-01    6.8844917328193177e-05
   164.00   220.171    1.3604112278501149e-01    5.1713227833554158e-05
   168.00   225.528    1.3602845184989654e-01    4.4887441874602445e-05
   172.00   230.892    1.3602760773717743e-01    3.8695172411086731e-05
   176.00   236.258    1.3602013548514641e-01    3.3571728974404001e-05
   180.00   241.619    1.3601963536637415e-01    1.9410527998146153e-05
   184.00   246.977    1.3601683645032212e-01    1.6663315711383495e-05
   188.00   252.341    1.3601524679750426e-01    1.7679645049591989e-05
   192.00   257.744    1.3601471670447188e-01    1.8233317361952676e-05
   196.00   263.116    1.3601353578006131e-01    1.1893081851211330e-05
   200.00   268.476    1.3601337551814721e-01    9.1775707360205581e-06
   204.00   273.849    1.3601238376138097e-01    1.1402655811478711e-05
   208.00   279.242    1.3601233890831457e-01    8.1309834573110392e-06
   212.00   284.601    1.3601185406201743e-01    8.4976611154688307e-06
   216.00   289.959    1.3601170170639676e-01    6.4634334117583926e-06
   220.00   295.322    1.3601159852058839e-01    3.9961224373235316e-06
   224.00   300.710    1.3601147026603747e-01    5.5128392491813577e-06
   228.00   306.067    1.3601144303066220e-01    3.8144751411950077e-06
   232.00   311.465    1.3601132657072990e-01    5.0189406077702663e-06
   236.00   316.828    1.3601132197400298e-01    3.5916087019997485e-06
   240.00   322.192    1.3601126858654200e-01    3.8472360154322757e-06
   244.00   327.561    1.3601126033514438e-01    2.9760070490764799e-06
   248.00   332.923    1.3601123981458349e-01    2.9809505485822425e-06
   252.00   338.287    1.3601122221983217e-01    1.7961654127543626e-06
   256.00   343.670    1.3601121859216631e-01    1.9527386715044256e-06
   260.00   349.053    1.3601120068320882e-01    9.9905676692240127e-07
   264.00   354.444    1.3601120012253623e-01    9.1903156963640261e-07
