    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.6884333791234342e-02
     4.00     5.361    2.3509091222656658e-01    9.9382324688449351e-03
     8.00    10.733    1.6291428925708998e-01    2.0235759942537636e-03
    12.00    16.093    1.4138520840532776e-01    6.3456797061156220e-04
    16.00    21.452    1.3784720082881771e-01    5.1323371366740163e-04
    20.00    26.806    1.3696912543338308e-01    3.6375904458863439e-04
    24.00    32.170    1.3656438789952316e-01    1.9397402144460100e-04
    28.00    37.535    1.3621407379161907e-01    1.8204272179121614e-04
    32.00    42.888    1.3613193389766104e-01    1.0137915070537006e-04
    36.00    48.251    1.3606070138192358e-01    4.2252735285033484e-05
    40.00    53.617    1.3603163910757402e-01    3.8821643473252668e-05
    44.00    58.974    1.3602073801192793e-01    3.5684986596062557e-05
    48.00    64.324    1.3601433335794666e-01    1.4614119294965714e-05
    52.00    69.674    1.3601240620360061e-01    1.0237542352964700e-05
    56.00    75.028    1.3601190303007332e-01    7.7842786007408087e-06
    60.00    80.381    1.3601150219891645e-01    1.0294822000016590e-05
    64.00    85.741    1.3601130975273443e-01    8.2742994818822380e-06
    68.00    91.099    1.3601123314998614e-01    2.6530493250774467e-06
    72.00    96.454    1.3601121082950263e-01    2.4498196694256187e-06
    76.00   101.805    1.3601119103444972e-01    1.3219867154920753e-06
    80.00   107.156    1.3601119072241571e-01    2.8398690005929852e-06
    84.00   112.512    1.3601118463707518e-01    4.6052971160735562e-07
    88.00   117.868    1.3601118365291198e-01    2.4329112758751176e-07
    92.00   123.237    1.3601118332026846e-01    1.9603841465394048e-07
    96.00   128.587    1.3601118321111696e-01    7.9352207626693834e-08
   100.00   133.940    1.3601118314370766e-01    6.6181701693529299e-08
   104.00   139.299    1.3601118311695104e-01    3.4926537006732953e-08
   108.00   144.670    1.3601118310904153e-01    3.0605227485111205e-08
   112.00   150.023    1.3601118310057086e-01    2.9521663154365838e-08
   116.00   155.374    1.3601118309778512e-01    1.0725454950162561e-08
   120.00   160.735    1.3601118309730525e-01    6.7235049683323024e-09
   124.00   166.100    1.3601118309701174e-01    4.9589521983799035e-09
   128.00   171.450    1.3601118309689114e-01    2.6812833113963803e-09
   132.00   176.782    1.3601118309685498e-01    1.6672950396855804e-09
   136.00   182.128    1.3601118309683949e-01    1.1050190543698522e-09
   140.00   187.458    1.3601118309682744e-01    6.3842043190514089e-10
