    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.6884333791234342e-02
     1.00    42.031    3.0747023367602427e-01    1.1425736052238318e-03
     2.00    67.643    2.7095884372364554e-01    1.1004784681743250e-03
     3.00    93.296    1.8317663511050111e-01    1.0838260449540923e-03
     4.00   118.801    1.5699220213248710e-01    1.1182356627689664e-03
     5.00   144.292    1.5215142710309976e-01    1.1368466983026028e-03
     6.00   169.765    1.4593712030845138e-01    1.0294564176678101e-03
     7.00   195.167    1.4272047003986099e-01    7.9958942079974137e-04
     8.00   220.572    1.4048822931002952e-01    6.3151374914408042e-04
     9.00   246.035    1.3893146341551613e-01    3.9494368596433284e-04
    10.00   271.416    1.3805063457711636e-01    3.8444967709348450e-04
    11.00   296.789    1.3754388779538201e-01    6.2652165194876678e-04
    12.00   322.135    1.3706162251523596e-01    4.8478707332139863e-04
    13.00   347.512    1.3669166646736086e-01    3.2078960282872447e-04
    14.00   372.982    1.3647596056294484e-01    2.0959034893755453e-04
    15.00   398.321    1.3632401915853964e-01    1.0268360642210436e-04
    16.00   423.646    1.3621876665161328e-01    1.1558678105427065e-04
    17.00   449.086    1.3615934654397746e-01    1.7232663606222854e-04
    18.00   474.475    1.3610715365512410e-01    7.9969288605330938e-05
    19.00   499.833    1.3607963935139028e-01    6.9145638784069236e-05
    20.00   525.243    1.3605869579982832e-01    1.1679061967998250e-04
    21.00   550.639    1.3604280299643706e-01    6.3801257946251050e-05
    22.00   576.050    1.3603359862943201e-01    5.6652969333486612e-05
    23.00   601.495    1.3602554388203059e-01    3.5375072836280619e-05
    24.00   627.057    1.3602086892631496e-01    1.8998290126281679e-05
    25.00   652.513    1.3601804949741841e-01    2.4879829238814859e-05
    26.00   677.978    1.3601623908071780e-01    3.0751590322495982e-05
    27.00   703.417    1.3601448400155228e-01    2.4869081053816506e-05
    28.00   728.867    1.3601330688719007e-01    1.0708615119623289e-05
    29.00   754.526    1.3601253878944572e-01    1.1228810429352416e-05
    30.00   780.536    1.3601208371363313e-01    5.0677125730231015e-06
    31.00   806.686    1.3601180842897442e-01    5.1904572138239939e-06
    32.00   832.123    1.3601162058923111e-01    6.4977487530214433e-06
    33.00   857.537    1.3601149054515241e-01    3.9006998075706110e-06
    34.00   882.920    1.3601138064458737e-01    3.5894596552975394e-06
    35.00   908.340    1.3601132544081676e-01    4.1310626477578479e-06
    36.00   933.834    1.3601129068546161e-01    3.5031022871517204e-06
    37.00   959.291    1.3601125656004703e-01    2.9584694016875011e-06
    38.00   984.725    1.3601123374012722e-01    2.8303906955268666e-06
    39.00  1010.306    1.3601121464636981e-01    1.4976886744988498e-06
    40.00  1035.836    1.3601120497237529e-01    1.1151292957076183e-06
    41.00  1061.321    1.3601119760889921e-01    8.7344188737190335e-07
    42.00  1086.775    1.3601119331335632e-01    9.4842933168390614e-07
    43.00  1112.293    1.3601119031426614e-01    1.1858919512315583e-06
    44.00  1137.824    1.3601118811185309e-01    1.3889264938432103e-06
    45.00  1163.353    1.3601118636706924e-01    6.4209467982559839e-07
    46.00  1188.835    1.3601118514994440e-01    3.4357683710404458e-07
    47.00  1214.377    1.3601118453523267e-01    3.4841916674198994e-07
    48.00  1239.894    1.3601118412006338e-01    2.9242715841009354e-07
    49.00  1265.342    1.3601118383771782e-01    3.3197288422493114e-07
    50.00  1290.748    1.3601118355178082e-01    1.8295398092213144e-07
    51.00  1316.182    1.3601118342035376e-01    1.9903745231147205e-07
    52.00  1341.649    1.3601118332624682e-01    1.5406914320695844e-07
    53.00  1367.082    1.3601118325302106e-01    1.2426244135025600e-07
    54.00  1392.529    1.3601118320041358e-01    8.6503187824712101e-08
    55.00  1417.908    1.3601118316610222e-01    8.9559521363176042e-08
    56.00  1443.391    1.3601118315034677e-01    9.1607973447036306e-08
    57.00  1468.921    1.3601118313189164e-01    7.3538882587128117e-08
    58.00  1494.346    1.3601118312383459e-01    6.2170498624218244e-08
    59.00  1519.891    1.3601118311275576e-01    3.4799462635411799e-08
    60.00  1545.399    1.3601118310889732e-01    3.9945519509845841e-08
    61.00  1570.829    1.3601118310410409e-01    1.9126741697849345e-08
    62.00  1596.253    1.3601118310119614e-01    1.3512643515836340e-08
    63.00  1621.821    1.3601118310000779e-01    1.3881208252779623e-08
    64.00  1647.287    1.3601118309899876e-01    1.4274223705073826e-08
    65.00  1672.753    1.3601118309823884e-01    9.6193943431499097e-09
    66.00  1698.278    1.3601118309787763e-01    1.2329673592083267e-08
    67.00  1723.853    1.3601118309747240e-01    6.3982268755967789e-09
    68.00  1749.450    1.3601118309730892e-01    1.1140991052129823e-08
    69.00  1775.040    1.3601118309715088e-01    3.5259163084132071e-09
    70.00  1800.641    1.3601118309706361e-01    6.1688794255658880e-09
    71.00  1826.189    1.3601118309698249e-01    4.0611892536764380e-09
    72.00  1851.794    1.3601118309692334e-01    2.0750460671418981e-09
    73.00  1877.427    1.3601118309689789e-01    1.7971840668421015e-09
    74.00  1902.984    1.3601118309687341e-01    1.6458623107637252e-09
    75.00  1928.482    1.3601118309685609e-01    1.1427520736930702e-09
    76.00  1954.052    1.3601118309684365e-01    1.3512091948642048e-09
    77.00  1979.588    1.3601118309684018e-01    1.0042140839633145e-09
    78.00  2005.109    1.3601118309683735e-01    1.0171949017923343e-09
    79.00  2030.635    1.3601118309682989e-01    5.7360450402018748e-10
