    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.6884333791234342e-02
     1.00    37.081    1.4238102531676777e-01    5.2280943404275329e-04
     2.00    74.182    1.3970328469728982e-01    3.2531481716198082e-04
     3.00   111.287    1.3866901310447990e-01    3.3494552507076656e-04
     4.00   148.358    1.3824893909913477e-01    4.5483582431658001e-04
     5.00   185.410    1.3777276289050006e-01    2.7809707479339299e-04
     6.00   222.491    1.3744302522504445e-01    2.6564681787732481e-04
     7.00   259.576    1.3731308787120614e-01    3.8802540575707601e-04
     8.00   296.630    1.3715444007306063e-01    2.0207479136009746e-04
     9.00   333.721    1.3710343459760105e-01    3.9075597758972419e-04
    10.00   370.810    1.3698838304036440e-01    2.3625552500507595e-04
    11.00   407.887    1.3693859096286404e-01    2.8054180955053114e-04
    12.00   445.084    1.3690409209154758e-01    5.6166164476014119e-04
    13.00   482.159    1.3680889110656835e-01    3.8988071572672219e-04
    14.00   519.260    1.3667318073356058e-01    1.7677752773117246e-04
    15.00   556.329    1.3666653335958320e-01    1.8451354073475396e-04
    16.00   593.405    1.3663242613934989e-01    1.6786307157251194e-04
    17.00   630.470    1.3658375604832854e-01    2.0932140841757176e-04
    18.00   667.560    1.3653455464108002e-01    2.1218424939013016e-04
    19.00   704.620    1.3652716526677108e-01    2.0578436758544909e-04
    20.00   741.685    1.3650308386151180e-01    1.5625618015017125e-04
    21.00   778.756    1.3648005055899365e-01    1.8657769180947941e-04
    22.00   815.838    1.3644178279381991e-01    1.3094797293237932e-04
    23.00   852.907    1.3645131406981256e-01    1.5781022723936313e-04
    24.00   889.971    1.3641044133387048e-01    1.4159963652362161e-04
    25.00   927.051    1.3641650895172538e-01    1.7463651045855218e-04
    26.00   964.151    1.3639131304008362e-01    1.4044529569377497e-04
    27.00  1001.227    1.3640218728194939e-01    1.9714277175525438e-04
    28.00  1038.286    1.3636668484381012e-01    1.5480153303777300e-04
    29.00  1075.373    1.3635359055799154e-01    1.0811917703360009e-04
    30.00  1112.471    1.3637321845835415e-01    2.7403142640210296e-04
    31.00  1149.530    1.3632449213224873e-01    1.2444996666675668e-04
    32.00  1186.605    1.3632305014229984e-01    1.9281154552214106e-04
    33.00  1223.679    1.3632820555974956e-01    2.1519244024613722e-04
    34.00  1260.759    1.3629276619030042e-01    1.7995819512689877e-04
    35.00  1297.832    1.3628016020880920e-01    1.1908992212211232e-04
    36.00  1334.895    1.3628148440257429e-01    2.1878820733635949e-04
    37.00  1371.982    1.3626612091434626e-01    1.3215082114010696e-04
    38.00  1409.090    1.3628524816399812e-01    2.0724303504016857e-04
    39.00  1446.163    1.3625768557852574e-01    1.5377229355987917e-04
    40.00  1483.218    1.3624034943775901e-01    1.5581238941253774e-04
    41.00  1520.298    1.3629708725466666e-01    2.9913974200740400e-04
    42.00  1557.364    1.3623388018596003e-01    1.2327562672858472e-04
    43.00  1594.467    1.3624321066430323e-01    1.9699545245818793e-04
    44.00  1631.548    1.3621773970156156e-01    9.4803521913297702e-05
    45.00  1668.616    1.3621815077341864e-01    1.4401564334284975e-04
    46.00  1705.727    1.3620978005074574e-01    1.2301044079868857e-04
    47.00  1742.789    1.3621581199267460e-01    1.5011633226651560e-04
    48.00  1779.848    1.3620953943030406e-01    1.2762611332634203e-04
    49.00  1816.934    1.3619988147318557e-01    8.3449925068075371e-05
    50.00  1854.000    1.3619836158404433e-01    8.2735353627295320e-05
    51.00  1891.083    1.3619235167455560e-01    9.2310744239603284e-05
    52.00  1928.197    1.3618878754414937e-01    8.0622969767660802e-05
    53.00  1965.289    1.3618588306078613e-01    1.3056752983268573e-04
    54.00  2002.338    1.3618832371298456e-01    1.2929340187147026e-04
    55.00  2039.418    1.3619067155652939e-01    9.4278194804185472e-05
    56.00  2076.501    1.3618326752026988e-01    1.1036523412367371e-04
    57.00  2113.782    1.3620708994955702e-01    2.1539786543683194e-04
    58.00  2150.839    1.3618294135585773e-01    1.1190340910781997e-04
    59.00  2187.915    1.3616942987784153e-01    1.0409951355880104e-04
    60.00  2224.976    1.3617081564094397e-01    1.2761370516156179e-04
