    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    2.6884333791234342e-02
     0.10   124.127    1.6422131537293147e-01    1.5482518059142263e-03
     0.20   248.485    1.5155641236256698e-01    9.6620087746937045e-04
     0.30   372.688    1.4671587266274824e-01    7.5435043440465752e-04
     0.40   498.194    1.4411202730094841e-01    5.9948672535527475e-04
     0.50   623.942    1.4248404965251016e-01    5.5168665798715621e-04
     0.60   750.206    1.4129589737455961e-01    4.8894030934655737e-04
     0.70   874.843    1.4042377036140133e-01    4.7822883992475906e-04
     0.80   999.052    1.3973792825447809e-01    4.6381239109438520e-04
     0.90  1122.965    1.3916013067412400e-01    4.3693829902047981e-04
     1.00  1250.972    1.3870150749202925e-01    3.8868143878072143e-04
     1.10  1375.534    1.3668689002490972e-01    1.7439591401084361e-04
     1.20  1498.986    1.3640872650743494e-01    1.2468272485131760e-04
     1.30  1622.525    1.3626684484591703e-01    9.9594933241503846e-05
     1.40  1746.076    1.3617971863086872e-01    7.9450722774840812e-05
     1.50  1869.993    1.3612186070184992e-01    6.4127686331519318e-05
     1.60  1993.921    1.3608097043368445e-01    5.2244685993741836e-05
     1.70  2118.011    1.3605235175170094e-01    4.0954671577980613e-05
     1.80  2241.828    1.3603264795310285e-01    2.9706631413463364e-05
     1.90  2365.616    1.3601985237638825e-01    1.8340742829909485e-05
     2.00  2494.400    1.3601297154298653e-01    8.1408558217778287e-06
     2.10  2619.606    1.3601172212691923e-01    4.5493490125890209e-06
     2.20  2748.202    1.3601139803240789e-01    2.7528731090036305e-06
     2.30  2876.774    1.3601126953369991e-01    1.7761738340094340e-06
     2.40  3004.825    1.3601121624070867e-01    1.0860698619461404e-06
     2.50  3131.515    1.3601119471130271e-01    6.3487078692097655e-07
     2.60  3258.250    1.3601118657378378e-01    3.5783994688729332e-07
     2.70  3387.940    1.3601118392749656e-01    1.7915965727243078e-07
     2.80  3512.827    1.3601118323577202e-01    7.3758647517291976e-08
     2.90  3637.247    1.3601118310983562e-01    2.1858846426578241e-08
     3.00  3761.529    1.3601118309758287e-01    5.2130959521532654e-09
     3.10  3885.414    1.3601118309692309e-01    2.0443200773518803e-09
     3.20  4009.480    1.3601118309683616e-01    7.4897236698637481e-10
